indicateur,branche_d_activit,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Production et distribution d'électricité et de de gaz,FCFA,2016,67531000000,67531000000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,"Agriculture, sylviculture, pêche",FCFA,2016,9446000000,9446000000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Activités extractives,FCFA,2016,6632000000,6632000000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,"Activités artistiques, sportives et récréatives",FCFA,2016,6000000000,6000000000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,"Production et distribution d'eau, assainissement, traitement des déchets et dépollution",FCFA,2016,2116000000,2116000000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Information et communication,FCFA,2016,863990000,863990000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Activités de fabrication,FCFA,2016,746530000,746530000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Commerce,FCFA,2016,620020000,620020000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Transports et entreposage,FCFA,2016,591410000,591410000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Activités immobilières,FCFA,2016,254930000,254930000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Construction,FCFA,2016,219130000,219130000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Activités financières et d'assurance,FCFA,2016,167490000,167490000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Activités pour la santé humaine et l'action sociale,FCFA,2016,159690000,159690000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Hébergement et restauration,FCFA,2016,112870000,112870000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,"Activités spécialisées, scientifiques et techniques",FCFA,2016,93210000,93210000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Activités de services de soutien et de bureau,FCFA,2016,87850000,87850000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Autres activités de services n.c.a.,FCFA,2016,85180000,85180000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Enseignement,FCFA,2016,51070000,51070000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Activités d'administration publique,FCFA,2016,13270000,13270000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
Chiffre d’affaire moyen par branche d’activité en million de FCFA,ND,FCFA,2016,85450000,85450000,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques
