indicateur,branche,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,source_fichier,domaine
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2007 T1,1.3,1.3,2007 T1,2007 T1,trimestrielle,2007,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2007 T2,1.3,1.3,2007 T2,2007 T2,trimestrielle,2007,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2007 T3,108.7,108.7,2007 T3,2007 T3,trimestrielle,2007,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2007 T4,288.8,288.8,2007 T4,2007 T4,trimestrielle,2007,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2008 T1,463.6,463.6,2008 T1,2008 T1,trimestrielle,2008,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2008 T2,379.2,379.2,2008 T2,2008 T2,trimestrielle,2008,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2008 T3,22.2,22.2,2008 T3,2008 T3,trimestrielle,2008,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2008 T4,275.7,275.7,2008 T4,2008 T4,trimestrielle,2008,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2009 T1,820.4,820.4,2009 T1,2009 T1,trimestrielle,2009,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2009 T2,737.3,737.3,2009 T2,2009 T2,trimestrielle,2009,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2009 T3,906.0,906.0,2009 T3,2009 T3,trimestrielle,2009,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2009 T4,1160.2,1160.2,2009 T4,2009 T4,trimestrielle,2009,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2010 T1,1113.2,1113.2,2010 T1,2010 T1,trimestrielle,2010,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2010 T2,1108.5,1108.5,2010 T2,2010 T2,trimestrielle,2010,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2010 T3,1083.3,1083.3,2010 T3,2010 T3,trimestrielle,2010,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2010 T4,1379.8,1379.8,2010 T4,2010 T4,trimestrielle,2010,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2011 T1,1336.5,1336.5,2011 T1,2011 T1,trimestrielle,2011,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2011 T2,1236.9,1236.9,2011 T2,2011 T2,trimestrielle,2011,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
