indicateur,domaine_d_activit_s,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Commerce,Nombre,2018,6221,6221,2018,2018,annuelle,2018,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Commerce,Nombre,2019,6362,6362,2019,2019,annuelle,2019,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Commerce,Nombre,2020,7676,7676,2020,2020,annuelle,2020,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Commerce,Nombre,2021,8043,8043,2021,2021,annuelle,2021,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Commerce,Nombre,2022,8118,8118,2022,2022,annuelle,2022,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Commerce,Nombre,2023,10356,10356,2023,2023,annuelle,2023,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Industrie,Nombre,2018,662,662,2018,2018,annuelle,2018,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Industrie,Nombre,2019,279,279,2019,2019,annuelle,2019,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Industrie,Nombre,2020,310,310,2020,2020,annuelle,2020,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Industrie,Nombre,2021,276,276,2021,2021,annuelle,2021,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Industrie,Nombre,2022,498,498,2022,2022,annuelle,2022,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Industrie,Nombre,2023,843,843,2023,2023,annuelle,2023,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Service,Nombre,2018,5257,5257,2018,2018,annuelle,2018,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Service,Nombre,2019,5427,5427,2019,2019,annuelle,2019,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Service,Nombre,2020,6634,6634,2020,2020,annuelle,2020,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Service,Nombre,2021,7569,7569,2021,2021,annuelle,2021,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Service,Nombre,2022,8317,8317,2022,2022,annuelle,2022,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,Service,Nombre,2023,10107,10107,2023,2023,annuelle,2023,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités.csv,activites_economiques
