annee,indicateur,valeur_moyenne
2003,Répartition des travailleurs par branches d'activités selon le sexe,11.11111111111111
2005,Répartition des travailleurs par branches d'activités selon le sexe,11.315328630917477
2007,Evolution de l'indice de la Production Industrielle par Branches Regroupées,100.11818181818181
2007,Répartition des travailleurs par branches d'activités selon le sexe,11.108148148148148
2008,Evolution de l'indice de la Production Industrielle par Branches Regroupées,129.4522727272727
2009,Evolution de l'indice de la Production Industrielle par Branches Regroupées,173.82954545454547
2010,Evolution de l'indice de la Production Industrielle par Branches Regroupées,215.13636363636363
2010,Répartition des travailleurs par branches d'activités selon le sexe,11.11111111111111
2011,Evolution de l'indice de la Production Industrielle par Branches Regroupées,215.78863636363639
2012,Evolution de l'indice de la Production Industrielle par Branches Regroupées,210.68636363636367
2013,Evolution de l'indice de la Production Industrielle par Branches Regroupées,196.51136363636363
2014,Evolution de l'indice de la Production Industrielle par Branches Regroupées,197.22727272727272
2015,Evolution de l'indice de la Production Industrielle par Branches Regroupées,181.64318181818183
2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA,4793854500.0
2016,Evolution de l'indice de la Production Industrielle par Branches Regroupées,207.68863636363633
2017,Evolution de l'indice de la Production Industrielle par Branches Regroupées,219.97045454545457
2018,Evolution de l'indice de la Production Industrielle par Branches Regroupées,272.7409090909091
2018,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,5004.4
2019,Evolution de l'indice de la Production Industrielle par Branches Regroupées,256.1368288409091
2019,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,5254.8
2020,Evolution de l'indice de la Production Industrielle par Branches Regroupées,295.5204545454545
2020,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,6257.2
2021,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,6756.0
2022,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,7018.0
2023,Répartition des entreprises enregistrées au CEFORE suivant les domaines d’activités,8714.8
