indicateur,branche_d_activit,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,branche,trimestre,domaine_d_activit_s,sexe
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Production et distribution d'électricité et de de gaz,FCFA,2016,67531000000.0,67531000000.0,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques,,,,
Chiffre d’affaire moyen par branche d’activité en million de FCFA,"Agriculture, sylviculture, pêche",FCFA,2016,9446000000.0,9446000000.0,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques,,,,
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Activités extractives,FCFA,2016,6632000000.0,6632000000.0,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques,,,,
Chiffre d’affaire moyen par branche d’activité en million de FCFA,"Activités artistiques, sportives et récréatives",FCFA,2016,6000000000.0,6000000000.0,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques,,,,
Chiffre d’affaire moyen par branche d’activité en million de FCFA,"Production et distribution d'eau, assainissement, traitement des déchets et dépollution",FCFA,2016,2116000000.0,2116000000.0,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques,,,,
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Information et communication,FCFA,2016,863990000.0,863990000.0,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques,,,,
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Activités de fabrication,FCFA,2016,746530000.0,746530000.0,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques,,,,
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Commerce,FCFA,2016,620020000.0,620020000.0,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques,,,,
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Transports et entreposage,FCFA,2016,591410000.0,591410000.0,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques,,,,
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Activités immobilières,FCFA,2016,254930000.0,254930000.0,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques,,,,
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Construction,FCFA,2016,219130000.0,219130000.0,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques,,,,
Chiffre d’affaire moyen par branche d’activité en million de FCFA,Activités financières et d'assurance,FCFA,2016,167490000.0,167490000.0,2016,2016,annuelle,2016,Chiffre d’affaire moyen par branche d’activité en million de FCFA.csv,activites_economiques,,,,
