annee,indicateur,valeur_moyenne
1990,,26.325
1991,,25.525
1992,,27.3
1993,,26.0
1994,Evolution du taux de chômage selon le milieu de résidence,6.333333333333333
1994,Taux de chômage,6.333333333333333
1994,,346.76842105263154
1995,,27.375
1996,,22.88
1997,,29.925
1998,Evolution du taux de chômage selon le milieu de résidence,6.1000000000000005
1998,Taux de chômage,6.1000000000000005
1998,,339.0263157894737
1999,,28.275
2000,,29.425
2001,,32.2
2002,,33.125
2003,Evolution du taux de chômage selon le milieu de résidence,5.800000000000001
2003,Taux de chômage,5.800000000000001
2003,,26.53846153846154
2004,,36.55
2005,Evolution du taux de chômage selon le milieu de résidence,4.645469228426602
2005,Taux de chômage,4.645469228426602
2005,,30.96666666666667
2006,,36.4
2007,Evolution du taux de chômage selon le milieu de résidence,4.7
2007,Taux de chômage,4.7
2007,,49.699999999999996
2008,,61.0
2009,Effectif des enfants handicapés,402.0
2009,,42.4
2010,Effectif des enfants handicapés,637.3333333333334
2010,Evolution du taux de chômage selon le milieu de résidence,8.650169996475837
2010,Taux de chômage,8.650169996475837
2010,,40.13333333333333
2011,Effectif des enfants handicapés,1071.3333333333333
2011,,72.6
2012,Effectif des enfants handicapés,1212.0
2012,,74.75
2013,Effectif des enfants handicapés,62.0
2013,,74.64999999999999
2014,Effectif des enfants handicapés,88.66666666666667
2014,Evolution du taux de chômage selon le milieu de résidence,13.866666666666667
2014,Taux de chômage,13.866666666666667
2014,,48.62
2015,Effectif des enfants handicapés,66.19047619047619
2015,Evolution du taux de chômage selon le milieu de résidence,5.733333333333333
2015,Taux de chômage,5.733333333333333
2015,,505.48421052631585
2016,Effectif des enfants handicapés,44.476190476190474
2016,Effectif du personnel du MFSNF,1398.0
2016,,93.825
2017,Effectif des enfants handicapés,112.57142857142857
2017,Effectif du personnel du MFSNF,1506.0
2017,,100.125
2018,Effectif des enfants handicapés,201.8095238095238
2018,Effectif du personnel du MFSNF,1609.3333333333333
2018,Evolution du taux de chômage selon le milieu de résidence,5.133333333333334
2018,Taux de chômage,5.133333333333334
2018,,48.1764705882353
2019,Effectif des enfants handicapés,19.904761904761905
2019,Effectif du personnel du MFSNF,1611.3333333333333
2019,Taux d'emploi (Ratio emploi/Population),41.09444444444445
2019,,113.625
2020,Effectif des enfants handicapés,31.238095238095237
2020,Effectif du personnel du MFSNF,1504.0
2020,,117.75
2021,Effectif des enfants handicapés,27.61904761904762
2021,Effectif du personnel du MFSNF,1340.6666666666667
2021,Evolution du taux de chômage selon le milieu de résidence,4.533333333333333
2021,,51.74
2022,Effectif des enfants handicapés,13.428571428571429
2022,Effectif du personnel du MFSNF,1386.0
2022,,123.55
2023,,399.05625
2024,,126.22500000000001
