indicateur,tranche_d_age,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2010,649,649,2010,2010,annuelle,2010,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2012,1297,1297,2012,2012,annuelle,2012,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2013,1514,1514,2013,2013,annuelle,2013,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2014,1516,1516,2014,2014,annuelle,2014,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2015,1293,1293,2015,2015,annuelle,2015,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2016,2435,2435,2016,2016,annuelle,2016,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2017,2670,2670,2017,2017,annuelle,2017,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2018,4961,4961,2018,2018,annuelle,2018,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,18 à 30 ans,Nombre,2019,5878,5878,2019,2019,annuelle,2019,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,30 à 55 ans,Nombre,2010,3192,3192,2010,2010,annuelle,2010,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises
