indicateur,localit,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2011,2,2,2011,2011,annuelle,2011,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2012,74,74,2012,2012,annuelle,2012,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2013,100,100,2013,2013,annuelle,2013,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2014,141,141,2014,2014,annuelle,2014,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2015,115,115,2015,2015,annuelle,2015,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2016,216,216,2016,2016,annuelle,2016,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2017,264,264,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2018,218,218,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2019,241,241,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2020,250,250,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2021,323,323,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2022,401,401,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dédougou,Nombre,2023,463,463,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2010,3611,3611,2010,2010,annuelle,2010,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2011,3771,3771,2011,2011,annuelle,2011,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2012,4374,4374,2012,2012,annuelle,2012,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2013,5293,5293,2013,2013,annuelle,2013,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2014,5760,5760,2014,2014,annuelle,2014,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2015,5223,5223,2015,2015,annuelle,2015,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2016,7466,7466,2016,2016,annuelle,2016,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2017,8133,8133,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2018,8332,8332,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2019,8837,8837,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2020,10691,10691,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2021,12093,12093,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2022,12895,12895,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ouagadougou,Nombre,2023,14953,14953,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2010,126,126,2010,2010,annuelle,2010,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2011,141,141,2011,2011,annuelle,2011,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2012,189,189,2012,2012,annuelle,2012,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2013,195,195,2013,2013,annuelle,2013,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2014,289,289,2014,2014,annuelle,2014,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2015,235,235,2015,2015,annuelle,2015,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2016,472,472,2016,2016,annuelle,2016,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2017,321,321,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2018,266,266,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2019,355,355,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2020,537,537,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2021,278,278,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2022,250,250,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Tenkodogo,Nombre,2023,391,391,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2010,70,70,2010,2010,annuelle,2010,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2011,88,88,2011,2011,annuelle,2011,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2012,94,94,2012,2012,annuelle,2012,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2013,138,138,2013,2013,annuelle,2013,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2014,191,191,2014,2014,annuelle,2014,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2015,155,155,2015,2015,annuelle,2015,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2016,284,284,2016,2016,annuelle,2016,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2017,280,280,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2018,182,182,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2019,197,197,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2020,245,245,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2021,288,288,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2022,313,313,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Kaya,Nombre,2023,448,448,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2010,79,79,2010,2010,annuelle,2010,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2011,98,98,2011,2011,annuelle,2011,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2012,143,143,2012,2012,annuelle,2012,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2013,195,195,2013,2013,annuelle,2013,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2014,305,305,2014,2014,annuelle,2014,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2015,211,211,2015,2015,annuelle,2015,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2016,406,406,2016,2016,annuelle,2016,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2017,431,431,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2018,359,359,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2019,366,366,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2020,393,393,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2021,439,439,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koudougou,Nombre,2022,417,417,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
