annee,indicateur,valeur_moyenne
2003,Nombre et coût de projets financés par type de fonds,239250313.75
2004,Nombre et coût de projets financés par type de fonds,228075343.5
2005,Nombre et coût de projets financés par type de fonds,327500364.25
2006,Nombre et coût de projets financés par type de fonds,380512949.25
2007,Nombre et coût de projets financés par type de fonds,356575452.0
2008,Nombre et coût de projets financés par type de fonds,292310348.2
2009,Nombre et coût de projets financés par type de fonds,493040577.0
2010,Création des entreprises enregistrées au CEFORE par localité,1015.5555555555555
2010,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,2285.0
2010,Nombre et coût de projets financés par type de fonds,542500185.0
2011,Création des entreprises enregistrées au CEFORE par localité,989.8
2011,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,2930.5
2011,Nombre et coût de projets financés par type de fonds,274120420.8
2012,Création des entreprises enregistrées au CEFORE par localité,1077.8181818181818
2012,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,2964.0
2012,Nombre et coût de projets financés par type de fonds,327290458.0
2013,Création des entreprises enregistrées au CEFORE par localité,1305.4545454545455
2013,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,3590.0
2013,Nombre et coût de projets financés par type de fonds,1467099102.5
2014,Création des entreprises enregistrées au CEFORE par localité,1556.5454545454545
2014,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,4280.5
2014,Nombre et coût de projets financés par type de fonds,1668068594.3333333
2015,Création des entreprises enregistrées au CEFORE par localité,1375.2727272727273
2015,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,3782.0
2015,Nombre et coût de projets financés par type de fonds,1972852091.6666667
2016,Création des entreprises enregistrées au CEFORE par localité,2120.181818181818
2016,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,5830.5
2016,Nombre et coût de projets financés par type de fonds,2020468838.6666667
2016,Répartition des entreprises par statut juridique,3369.6
2017,Création des entreprises enregistrées au CEFORE par localité,1939.8461538461538
2017,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,6304.5
2017,Nombre et coût de projets financés par type de fonds,2121968887.6666667
2018,Création des entreprises enregistrées au CEFORE par localité,1668.1333333333334
2018,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,6255.5
2018,Nombre et coût de projets financés par type de fonds,2031585450.3333333
2019,Création des entreprises enregistrées au CEFORE par localité,1751.6
2019,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,6568.5
2019,Nombre et coût de projets financés par type de fonds,2243252298.6666665
2020,Création des entreprises enregistrées au CEFORE par localité,2085.733333333333
2020,Nombre et coût de projets financés par type de fonds,4592785838.4
2021,Création des entreprises enregistrées au CEFORE par localité,2252.0
2021,Nombre et coût de projets financés par type de fonds,4524754619.25
2022,Création des entreprises enregistrées au CEFORE par localité,2339.3333333333335
2022,Nombre et coût de projets financés par type de fonds,4686254069.8
2023,Création des entreprises enregistrées au CEFORE par localité,2904.9333333333334
2023,Nombre et coût de projets financés par type de fonds,66494702.0
