indicateur,r_gion,produits,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,mois,source_fichier,domaine
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Aubergine locale 'koumba',FCFA/kg,janvier 2024,1450.36,1450.36,janvier 2024,janvier 2024,mensuelle,2024,1,1,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Aubergine locale 'koumba',FCFA/kg,fevrier 2024,1163.28,1163.28,fevrier 2024,fevrier 2024,mensuelle,2024,1,2,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Aubergine locale 'koumba',FCFA/kg,mars 2024,1017.86,1017.86,mars 2024,mars 2024,mensuelle,2024,1,3,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Aubergine locale 'koumba',FCFA/kg,avril 2024,2353.22,2353.22,avril 2024,avril 2024,mensuelle,2024,2,4,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Aubergine locale 'koumba',FCFA/kg,mai 2024,1432.67,1432.67,mai 2024,mai 2024,mensuelle,2024,2,5,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Aubergine locale 'koumba',FCFA/kg,juin 2024,1432.67,1432.67,juin 2024,juin 2024,mensuelle,2024,2,6,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Aubergine locale 'koumba',FCFA/kg,juillet 2024,732.445,732.445,juillet 2024,juillet 2024,mensuelle,2024,3,7,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Aubergine locale 'koumba',FCFA/kg,aout 2024,1125.32,1125.32,aout 2024,aout 2024,mensuelle,2024,3,8,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Aubergine locale 'koumba',FCFA/kg,septembre 2024,544.378,544.378,septembre 2024,septembre 2024,mensuelle,2024,3,9,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Aubergine locale 'koumba',FCFA/kg,novembre 2024,201.756371852055,201.756371852055,novembre 2024,novembre 2024,mensuelle,2024,4,11,Prix moyens mensuels de quelques produits par région2.csv,prix
