annee,indicateur,valeur_moyenne
1992.0,,
1993.0,,
1994.0,,
1995.0,,
1996.0,,
1997.0,,
1998.0,,
1999.0,,
2000.0,,
2001.0,,
2002.0,,
2003.0,,
2004.0,,
2005.0,,
2006.0,,
2007.0,,
2008.0,,
2009.0,,
2010.0,,
2011.0,,
2012.0,,
2013.0,,
2014.0,,
2015.0,,
2016.0,Prix moyens mensuels de quelques produits par région,3159.5127374302265
2016.0,,
2017.0,Prix moyens mensuels de quelques produits par région,3323.1328676602034
2017.0,,
2018.0,Prix moyens mensuels de quelques produits par région,3334.3875429845834
2018.0,,
2019.0,Prix moyens mensuels de quelques produits par région,2891.8845144356956
2019.0,,
2020.0,Prix moyens mensuels de quelques produits par région,3022.316864295125
2020.0,,
2021.0,Prix moyens mensuels de quelques produits par région,3403.7296587926508
2021.0,,
2022.0,Prix moyens mensuels de quelques produits par région,4862.504593175853
2022.0,,
2023.0,Prix moyens mensuels de quelques produits par région,4748.962573867367
2023.0,,
2024.0,Prix moyens mensuels de quelques produits par région,5259.547438800429
2024.0,,
2025.0,Prix moyens mensuels de quelques produits par région,5416.1860597896375
2025.0,,
2026.0,,
,,
