date,region,province,marche,categorie,produit,unit,statut_prix,type_prix,devise,prix_local,prix_usd,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,mois,source_fichier,domaine
janvier 1992,BOUCLE DU MOUHOUN,SOUROU,Tougan,cereales et tubercules,mil,KG,observe,detail,XOF,53.0,0.13,janvier 1992,janvier 1992,mensuelle,1992,1,1,wfp_food_prices_bfa.csv,prix
janvier 1992,CENTRE,KADIOGO,Ouagadougo (Sankaryare),cereales et tubercules,mil,KG,observe,detail,XOF,90.0,0.21,janvier 1992,janvier 1992,mensuelle,1992,1,1,wfp_food_prices_bfa.csv,prix
janvier 1992,CENTRE-EST,BOULGOU,Tenkodogo,cereales et tubercules,mil,KG,observe,detail,XOF,77.0,0.18,janvier 1992,janvier 1992,mensuelle,1992,1,1,wfp_food_prices_bfa.csv,prix
janvier 1992,CENTRE-NORD,BAM,Kongoussi,cereales et tubercules,mil,KG,observe,detail,XOF,55.5,0.13,janvier 1992,janvier 1992,mensuelle,1992,1,1,wfp_food_prices_bfa.csv,prix
janvier 1992,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,69.0,0.16,janvier 1992,janvier 1992,mensuelle,1992,1,1,wfp_food_prices_bfa.csv,prix
janvier 1992,EST,GOURMA,Fada N'Gourma,cereales et tubercules,mil,KG,observe,detail,XOF,70.25,0.17,janvier 1992,janvier 1992,mensuelle,1992,1,1,wfp_food_prices_bfa.csv,prix
janvier 1992,SAHEL,OUDALAN,Gorom Gorom,cereales et tubercules,mil,KG,observe,detail,XOF,75.75,0.18,janvier 1992,janvier 1992,mensuelle,1992,1,1,wfp_food_prices_bfa.csv,prix
janvier 1992,SAHEL,SOUM,Djibo,cereales et tubercules,mil,KG,observe,detail,XOF,57.67,0.14,janvier 1992,janvier 1992,mensuelle,1992,1,1,wfp_food_prices_bfa.csv,prix
fevrier 1992,BOUCLE DU MOUHOUN,SOUROU,Tougan,cereales et tubercules,mil,KG,observe,detail,XOF,61.6,0.15,fevrier 1992,fevrier 1992,mensuelle,1992,1,2,wfp_food_prices_bfa.csv,prix
fevrier 1992,CASCADES,COMOÉ,Banfora,cereales et tubercules,mil,KG,observe,detail,XOF,78.0,0.19,fevrier 1992,fevrier 1992,mensuelle,1992,1,2,wfp_food_prices_bfa.csv,prix
fevrier 1992,CENTRE-NORD,BAM,Kongoussi,cereales et tubercules,mil,KG,observe,detail,XOF,58.0,0.14,fevrier 1992,fevrier 1992,mensuelle,1992,1,2,wfp_food_prices_bfa.csv,prix
fevrier 1992,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,70.4,0.17,fevrier 1992,fevrier 1992,mensuelle,1992,1,2,wfp_food_prices_bfa.csv,prix
fevrier 1992,EST,GOURMA,Fada N'Gourma,cereales et tubercules,mil,KG,observe,detail,XOF,77.6,0.18,fevrier 1992,fevrier 1992,mensuelle,1992,1,2,wfp_food_prices_bfa.csv,prix
fevrier 1992,SAHEL,OUDALAN,Gorom Gorom,cereales et tubercules,mil,KG,observe,detail,XOF,83.25,0.2,fevrier 1992,fevrier 1992,mensuelle,1992,1,2,wfp_food_prices_bfa.csv,prix
fevrier 1992,SAHEL,SOUM,Djibo,cereales et tubercules,mil,KG,observe,detail,XOF,61.0,0.15,fevrier 1992,fevrier 1992,mensuelle,1992,1,2,wfp_food_prices_bfa.csv,prix
