annee,valeur_acces,valeur_ecoles,valeur_resultats,valeur_nationale
1990,0.0,0.0,95632.08,34749.4
1991,0.0,0.0,102307.73,43720.1
1992,0.0,0.0,111912.41,58254.2
1993,0.0,0.0,99215.96,65691.5
1994,0.0,0.0,107312.01,69564.5
1995,0.0,0.0,97586.96,78080.2
1996,0.0,0.0,162666.28393256752,83779.0
1997,0.0,40496.0,186360.87001384964,75930.6
1998,0.0,44910.0,182119.67849508088,92966.3
1999,0.0,47628.0,224439.35409916806,99978.7
2000,69321552.96900117,50998.0,204924.7825665368,55633.7
2001,5355064239.199327,52742.0,251065.21391610848,90197.5
2002,16090040774.719967,57506.0,251486.492889814,130952.3
2003,26135492930.246357,61216.0,294197.7765040367,127038.0
2004,40569682078.782036,67466.0,307100.7773700863,132932.4
2005,52035074129.7123,74106.0,308902.2943433299,181764.3
2006,68579866377.17601,80386.0,347861.7301835094,203947.2
2007,100691421448.41916,87092.0,390288.1307185005,221886.0
2008,124649657514.40573,95874.0,423830.5534762562,266591.4
2009,147683260477.4014,105934.0,530215.1114992863,300466.0
2010,163438699207.91516,115228.0,561590.5789030691,324400.6
2011,185744649661.77103,124024.0,649838.5601685265,368118.5
2012,259219908226.54245,133344.0,757810.895529376,407697.6
2013,263578132703.3933,145596.0,751402.3989119385,443518.8
2014,275801785018.69,156248.0,908974.885634283,482044.4
2015,368809457003.4928,173914.0,923819.6341543134,516654.6
2016,310705157332.53973,191496.0,905068.7204050648,557013.4
2017,335037332897.04675,217814.0,1053753.8030677685,607879.2
2018,96506650471.46153,220544.0,568932.6205497123,667632.6
2019,87387540855.37344,222490.0,518287.68924675573,746146.7
2020,397618584448.48413,224166.0,1254399.973365547,810071.1
2021,423089646185.76245,41672.0,568443.830712836,944253.4
2022,443911001908.6986,197730.0,497277.7,948795.5
2023,489138889399.834,146840.0,149.03784205308722,980158.1
2024,23549112.1981,0.0,0.0,1018149.4
2025,24074835.46,0.0,0.0,247405.6
