indicateur,tranche_d_age,sexe,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Evolution de la population par groupes d'âge et par sexe,0 - 4,Homme,Nombre,1960,390372.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,0 - 4,Homme,Nombre,1975,498652.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,0 - 4,Homme,Nombre,1985,733218.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,0 - 4,Homme,Nombre,1991,804626.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,0 - 4,Homme,Nombre,1996,893256.556535848,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,0 - 4,Homme,Nombre,2006,1230610.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,0 - 4,Homme,Nombre,2019,1666005.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,0 - 4,Femme,Nombre,1960,371845.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,0 - 4,Femme,Nombre,1975,479450.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,0 - 4,Femme,Nombre,1985,730656.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,0 - 4,Femme,Nombre,1991,811848.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,0 - 4,Femme,Nombre,1996,882299.871295401,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
