indicateur,provinces,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Population du Burkina Faso par province en milieu d'année,Sahel,Nombre,2023,1194762,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
Population du Burkina Faso par province en milieu d'année,Nord,Nombre,2023,1889767,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
Population du Burkina Faso par province en milieu d'année,Centre Sud,Nombre,2023,853295,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
Population du Burkina Faso par province en milieu d'année,Cascades,Nombre,2023,915318,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
Population du Burkina Faso par province en milieu d'année,Hauts Bassins,Nombre,2023,2497698,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
Population du Burkina Faso par province en milieu d'année,Boucle du Mouhoun,Nombre,2023,2070115,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
Population du Burkina Faso par province en milieu d'année,Centre Ouest,Nombre,2023,1819156,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
Population du Burkina Faso par province en milieu d'année,Est,Nombre,2023,2173455,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
Population du Burkina Faso par province en milieu d'année,Centre Est,Nombre,2023,1740207,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
Population du Burkina Faso par province en milieu d'année,Centre Nord,Nombre,2023,2075605,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
Population du Burkina Faso par province en milieu d'année,Plateau Central,Nombre,2023,1069468,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
Population du Burkina Faso par province en milieu d'année,Sud Ouest,Nombre,2023,961337,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
Population du Burkina Faso par province en milieu d'année,Centre,Nombre,2023,3492132,2023,2023,annuelle,2023,Population du Burkina Faso par région.csv,demographie
