localite,hommes,femmes,ensemble,age_urbain,age_rural,age_ensemble,age_urbain_1,age_rural_1,age_ensemble_1,age_urbain_2,age_rural_2,age_ensemble_2,age_urbain_3,age_rural_3,age_ensemble_3,age_urbain_4,age_rural_4,age_ensemble_4,age_urbain_5,age_rural_5,age_ensemble_5,age_urbain_6,age_rural_6,age_ensemble_6,age_urbain_7,age_rural_7,age_ensemble_7,age_urbain_8,age_rural_8,age_ensemble_8,age_urbain_9,age_rural_9,age_ensemble_9,age_urbain_10,age_rural_10,age_ensemble_10,age_urbain_11,age_rural_11,age_ensemble_11,age_urbain_12,age_rural_12,age_ensemble_12,age_urbain_13,age_rural_13,age_ensemble_13,age_urbain_14,age_rural_14,age_ensemble_14,age_urbain_15,age_rural_15,age_ensemble_15,age_urbain_16,age_rural_16,age_ensemble_16,age_urbain_17,age_rural_17,age_ensemble_17,age_urbain_18,age_rural_18,age_ensemble_18,age_urbain_19,age_rural_19,age_ensemble_19,age_urbain_20,age_rural_20,age_ensemble_20,age_urbain_21,age_rural_21,age_ensemble_21,age_urbain_22,age_rural_22,age_ensemble_22,age_urbain_23,age_rural_23,age_ensemble_23,age_urbain_24,age_rural_24,age_ensemble_24,age_urbain_25,age_rural_25,age_ensemble_25,age_urbain_26,age_rural_26,age_ensemble_26,age_urbain_27,age_rural_27,age_ensemble_27,age_urbain_28,age_rural_28,age_ensemble_28,age_urbain_29,age_rural_29,age_ensemble_29,age_urbain_30,age_rural_30,age_ensemble_30,age_urbain_31,age_rural_31,age_ensemble_31,age_urbain_32,age_rural_32,age_ensemble_32,age_urbain_33,age_rural_33,age_ensemble_33,age_urbain_34,age_rural_34,age_ensemble_34,age_urbain_35,age_rural_35,age_ensemble_35,age_urbain_36,age_rural_36,age_ensemble_36,age_urbain_37,age_rural_37,age_ensemble_37,age_urbain_38,age_rural_38,age_ensemble_38,age_urbain_39,age_rural_39,age_ensemble_39,age_urbain_40,age_rural_40,age_ensemble_40,age_urbain_41,age_rural_41,age_ensemble_41,age_urbain_42,age_rural_42,age_ensemble_42,age_urbain_43,age_rural_43,age_ensemble_43,age_urbain_44,age_rural_44,valeur,indicateur,annee,date_source,date,periode_normalisee,granularite_temporelle,source_fichier,domaine
0,8239.0,4102.0,4137.0,524.0,260.0,264.0,7715.0,3842.0,3873.0,14030.0,7114.0,6916.0,1300.0,657.0,643.0,12730.0,6457.0,6273.0,11405.0,5637.0,5768.0,688.0,344.0,344.0,10717.0,5293.0,5424.0,6800.0,3410.0,3390.0,714.0,334.0,380.0,6086.0,3076.0,3010.0,4789.0,2249.0,2540.0,732.0,340.0,392.0,4057.0,1909.0,2148.0,22208.0,11046.0,11162.0,3537.0,1734.0,1803.0,18671.0,9312.0,9359.0,16559.0,8241.0,8318.0,3790.0,1892.0,1898.0,12769.0,6349.0,6420.0,20202.0,9923.0,10279.0,3773.0,1826.0,1947.0,16429.0,8097.0,8332.0,15883.0,7939.0,7944.0,1030.0,474.0,556.0,14853.0,7465.0,7388.0,22634.0,11297.0,11337.0,627.0,317.0,310.0,22007.0,10980.0,11027.0,14074.0,7118.0,6956.0,1956.0,979.0,977.0,12118.0,6139.0,5979.0,40758.0,20288.0,20470.0,23964.0,11917.0,12047.0,16794.0,8371.0,8423.0,7720.0,3847.0,3873.0,702.0,342.0,360.0,7018.0,3505.0,3513.0,75209.0,37476.0,37733.0,58142.0,28967.0,29175.0,17067.0,8509.0,8558.0,12414.0,6104.0,6310.0,820.0,446.0,374.0,11594.0,5658.0,5936.0,3395.0,1717.0,4137.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidence par année d'âge selon la province, le milieu de résidence et le sexe.xlsx - Ensemble des provinces.csv",demographie
1,7931.0,3965.0,3966.0,488.0,238.0,250.0,7443.0,3727.0,3716.0,15873.0,7771.0,8102.0,1574.0,772.0,802.0,14299.0,6999.0,7300.0,10606.0,5337.0,5269.0,589.0,293.0,296.0,10017.0,5044.0,4973.0,6927.0,3494.0,3433.0,708.0,348.0,360.0,6219.0,3146.0,3073.0,4316.0,2128.0,2188.0,797.0,400.0,397.0,3519.0,1728.0,1791.0,21944.0,11050.0,10894.0,3563.0,1784.0,1779.0,18381.0,9266.0,9115.0,16722.0,8478.0,8244.0,3713.0,1867.0,1846.0,13009.0,6611.0,6398.0,20209.0,10206.0,10003.0,3801.0,1885.0,1916.0,16408.0,8321.0,8087.0,15277.0,7592.0,7685.0,983.0,514.0,469.0,14294.0,7078.0,7216.0,23537.0,11854.0,11683.0,495.0,237.0,258.0,23042.0,11617.0,11425.0,14263.0,7213.0,7050.0,1889.0,936.0,953.0,12374.0,6277.0,6097.0,38761.0,19474.0,19287.0,22119.0,11107.0,11012.0,16642.0,8367.0,8275.0,7867.0,3961.0,3906.0,711.0,365.0,346.0,7156.0,3596.0,3560.0,82473.0,41595.0,40878.0,63445.0,31929.0,31516.0,19028.0,9666.0,9362.0,12863.0,6467.0,6396.0,866.0,449.0,417.0,11997.0,6018.0,5979.0,3584.0,1853.0,3966.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidence par année d'âge selon la province, le milieu de résidence et le sexe.xlsx - Ensemble des provinces.csv",demographie
2,9772.0,5028.0,4744.0,603.0,306.0,297.0,9169.0,4722.0,4447.0,19390.0,9619.0,9771.0,1751.0,869.0,882.0,17639.0,8750.0,8889.0,13018.0,6706.0,6312.0,694.0,349.0,345.0,12324.0,6357.0,5967.0,8553.0,4328.0,4225.0,905.0,481.0,424.0,7648.0,3847.0,3801.0,5130.0,2589.0,2541.0,755.0,370.0,385.0,4375.0,2219.0,2156.0,27785.0,13877.0,13908.0,4292.0,2181.0,2111.0,23493.0,11696.0,11797.0,20043.0,10109.0,9934.0,3808.0,1908.0,1900.0,16235.0,8201.0,8034.0,23716.0,11880.0,11836.0,4295.0,2138.0,2157.0,19421.0,9742.0,9679.0,18362.0,9298.0,9064.0,1086.0,537.0,549.0,17276.0,8761.0,8515.0,29694.0,15084.0,14610.0,566.0,273.0,293.0,29128.0,14811.0,14317.0,16806.0,8497.0,8309.0,2151.0,1091.0,1060.0,14655.0,7406.0,7249.0,46041.0,23106.0,22935.0,24920.0,12458.0,12462.0,21121.0,10648.0,10473.0,8810.0,4474.0,4336.0,722.0,353.0,369.0,8088.0,4121.0,3967.0,87626.0,44498.0,43128.0,66598.0,33662.0,32936.0,21028.0,10836.0,10192.0,14366.0,7127.0,7239.0,852.0,400.0,452.0,13514.0,6727.0,6787.0,4447.0,2320.0,4744.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidence par année d'âge selon la province, le milieu de résidence et le sexe.xlsx - Ensemble des provinces.csv",demographie
3,9328.0,4739.0,4589.0,534.0,278.0,256.0,8794.0,4461.0,4333.0,18641.0,9269.0,9372.0,1799.0,899.0,900.0,16842.0,8370.0,8472.0,12385.0,6175.0,6210.0,657.0,318.0,339.0,11728.0,5857.0,5871.0,8414.0,4237.0,4177.0,776.0,392.0,384.0,7638.0,3845.0,3793.0,4999.0,2487.0,2512.0,714.0,324.0,390.0,4285.0,2163.0,2122.0,26707.0,13342.0,13365.0,4109.0,2032.0,2077.0,22598.0,11310.0,11288.0,20638.0,10290.0,10348.0,3642.0,1811.0,1831.0,16996.0,8479.0,8517.0,22431.0,11252.0,11179.0,4006.0,1987.0,2019.0,18425.0,9265.0,9160.0,18037.0,8924.0,9113.0,1027.0,511.0,516.0,17010.0,8413.0,8597.0,29572.0,14883.0,14689.0,654.0,328.0,326.0,28918.0,14555.0,14363.0,17370.0,8929.0,8441.0,1971.0,1005.0,966.0,15399.0,7924.0,7475.0,44187.0,22132.0,22055.0,23943.0,12020.0,11923.0,20244.0,10112.0,10132.0,9139.0,4633.0,4506.0,692.0,364.0,328.0,8447.0,4269.0,4178.0,81341.0,40801.0,40540.0,61944.0,30987.0,30957.0,19397.0,9814.0,9583.0,13377.0,6574.0,6803.0,753.0,386.0,367.0,12624.0,6188.0,6436.0,4608.0,2441.0,4589.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidence par année d'âge selon la province, le milieu de résidence et le sexe.xlsx - Ensemble des provinces.csv",demographie
4,9742.0,4938.0,4804.0,536.0,282.0,254.0,9206.0,4656.0,4550.0,17631.0,8822.0,8809.0,1677.0,793.0,884.0,15954.0,8029.0,7925.0,13338.0,6680.0,6658.0,697.0,362.0,335.0,12641.0,6318.0,6323.0,8542.0,4308.0,4234.0,793.0,383.0,410.0,7749.0,3925.0,3824.0,5072.0,2436.0,2636.0,704.0,321.0,383.0,4368.0,2115.0,2253.0,25342.0,12672.0,12670.0,3782.0,1887.0,1895.0,21560.0,10785.0,10775.0,20539.0,10264.0,10275.0,3664.0,1833.0,1831.0,16875.0,8431.0,8444.0,22685.0,11112.0,11573.0,4061.0,1996.0,2065.0,18624.0,9116.0,9508.0,18137.0,8944.0,9193.0,1102.0,568.0,534.0,17035.0,8376.0,8659.0,28367.0,14009.0,14358.0,551.0,271.0,280.0,27816.0,13738.0,14078.0,16730.0,8342.0,8388.0,1936.0,965.0,971.0,14794.0,7377.0,7417.0,45741.0,22567.0,23174.0,24423.0,11875.0,12548.0,21318.0,10692.0,10626.0,9064.0,4444.0,4620.0,706.0,367.0,339.0,8358.0,4077.0,4281.0,81133.0,40583.0,40550.0,62015.0,31066.0,30949.0,19118.0,9517.0,9601.0,14057.0,7046.0,7011.0,790.0,374.0,416.0,13267.0,6672.0,6595.0,4612.0,2311.0,4804.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidence par année d'âge selon la province, le milieu de résidence et le sexe.xlsx - Ensemble des provinces.csv",demographie
5,10362.0,5329.0,5033.0,572.0,294.0,278.0,9790.0,5035.0,4755.0,18473.0,9448.0,9025.0,1718.0,882.0,836.0,16755.0,8566.0,8189.0,13950.0,7079.0,6871.0,680.0,335.0,345.0,13270.0,6744.0,6526.0,8769.0,4485.0,4284.0,858.0,439.0,419.0,7911.0,4046.0,3865.0,5130.0,2560.0,2570.0,601.0,302.0,299.0,4529.0,2258.0,2271.0,25956.0,13037.0,12919.0,3712.0,1846.0,1866.0,22244.0,11191.0,11053.0,22006.0,11133.0,10873.0,3537.0,1740.0,1797.0,18469.0,9393.0,9076.0,22636.0,11467.0,11169.0,4124.0,2000.0,2124.0,18512.0,9467.0,9045.0,18527.0,9455.0,9072.0,1039.0,496.0,543.0,17488.0,8959.0,8529.0,28289.0,14385.0,13904.0,535.0,249.0,286.0,27754.0,14136.0,13618.0,17174.0,8790.0,8384.0,1886.0,949.0,937.0,15288.0,7841.0,7447.0,45082.0,22440.0,22642.0,23129.0,11295.0,11834.0,21953.0,11145.0,10808.0,9234.0,4712.0,4522.0,726.0,373.0,353.0,8508.0,4339.0,4169.0,79716.0,39403.0,40313.0,60508.0,29891.0,30617.0,19208.0,9512.0,9696.0,14383.0,7154.0,7229.0,861.0,440.0,421.0,13522.0,6714.0,6808.0,4209.0,2225.0,5033.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidence par année d'âge selon la province, le milieu de résidence et le sexe.xlsx - Ensemble des provinces.csv",demographie
6,9392.0,4724.0,4668.0,504.0,232.0,272.0,8888.0,4492.0,4396.0,15850.0,7925.0,7925.0,1514.0,729.0,785.0,14336.0,7196.0,7140.0,12601.0,6322.0,6279.0,646.0,321.0,325.0,11955.0,6001.0,5954.0,8066.0,4058.0,4008.0,783.0,403.0,380.0,7283.0,3655.0,3628.0,5166.0,2643.0,2523.0,709.0,340.0,369.0,4457.0,2303.0,2154.0,23078.0,11472.0,11606.0,3545.0,1709.0,1836.0,19533.0,9763.0,9770.0,20185.0,10089.0,10096.0,3221.0,1509.0,1712.0,16964.0,8580.0,8384.0,21307.0,10735.0,10572.0,3819.0,1851.0,1968.0,17488.0,8884.0,8604.0,16492.0,8216.0,8276.0,950.0,458.0,492.0,15542.0,7758.0,7784.0,26073.0,13109.0,12964.0,548.0,279.0,269.0,25525.0,12830.0,12695.0,16069.0,8031.0,8038.0,1885.0,930.0,955.0,14184.0,7101.0,7083.0,42477.0,20840.0,21637.0,21964.0,10621.0,11343.0,20513.0,10219.0,10294.0,8825.0,4481.0,4344.0,620.0,305.0,315.0,8205.0,4176.0,4029.0,71992.0,35322.0,36670.0,55147.0,27032.0,28115.0,16845.0,8290.0,8555.0,14070.0,6851.0,7219.0,871.0,409.0,462.0,13199.0,6442.0,6757.0,4141.0,2177.0,4668.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidence par année d'âge selon la province, le milieu de résidence et le sexe.xlsx - Ensemble des provinces.csv",demographie
7,10020.0,5150.0,4870.0,567.0,282.0,285.0,9453.0,4868.0,4585.0,17575.0,8738.0,8837.0,1699.0,839.0,860.0,15876.0,7899.0,7977.0,13176.0,6699.0,6477.0,753.0,368.0,385.0,12423.0,6331.0,6092.0,9348.0,4766.0,4582.0,805.0,406.0,399.0,8543.0,4360.0,4183.0,5145.0,2564.0,2581.0,630.0,279.0,351.0,4515.0,2285.0,2230.0,25416.0,12839.0,12577.0,3895.0,1942.0,1953.0,21521.0,10897.0,10624.0,24397.0,12185.0,12212.0,3537.0,1684.0,1853.0,20860.0,10501.0,10359.0,22134.0,11078.0,11056.0,4157.0,2065.0,2092.0,17977.0,9013.0,8964.0,18411.0,9202.0,9209.0,1081.0,515.0,566.0,17330.0,8687.0,8643.0,27341.0,13859.0,13482.0,597.0,293.0,304.0,26744.0,13566.0,13178.0,16171.0,8146.0,8025.0,1964.0,949.0,1015.0,14207.0,7197.0,7010.0,45181.0,22454.0,22727.0,23477.0,11285.0,12192.0,21704.0,11169.0,10535.0,9019.0,4665.0,4354.0,696.0,326.0,370.0,8323.0,4339.0,3984.0,74632.0,36546.0,38086.0,57201.0,27912.0,29289.0,17431.0,8634.0,8797.0,13996.0,6991.0,7005.0,861.0,421.0,440.0,13135.0,6570.0,6565.0,4258.0,2261.0,4870.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidence par année d'âge selon la province, le milieu de résidence et le sexe.xlsx - Ensemble des provinces.csv",demographie
8,8875.0,4518.0,4357.0,477.0,224.0,253.0,8398.0,4294.0,4104.0,13545.0,6865.0,6680.0,1357.0,656.0,701.0,12188.0,6209.0,5979.0,10803.0,5515.0,5288.0,691.0,360.0,331.0,10112.0,5155.0,4957.0,8291.0,4240.0,4051.0,758.0,349.0,409.0,7533.0,3891.0,3642.0,4620.0,2361.0,2259.0,537.0,259.0,278.0,4083.0,2102.0,1981.0,21358.0,10762.0,10596.0,3373.0,1689.0,1684.0,17985.0,9073.0,8912.0,20865.0,10396.0,10469.0,3270.0,1524.0,1746.0,17595.0,8872.0,8723.0,19494.0,9832.0,9662.0,3910.0,1924.0,1986.0,15584.0,7908.0,7676.0,14709.0,7340.0,7369.0,983.0,491.0,492.0,13726.0,6849.0,6877.0,19466.0,9826.0,9640.0,526.0,238.0,288.0,18940.0,9588.0,9352.0,13440.0,6722.0,6718.0,1787.0,829.0,958.0,11653.0,5893.0,5760.0,40205.0,19740.0,20465.0,21267.0,10237.0,11030.0,18938.0,9503.0,9435.0,8143.0,4167.0,3976.0,714.0,369.0,345.0,7429.0,3798.0,3631.0,68863.0,33203.0,35660.0,53007.0,25281.0,27726.0,15856.0,7922.0,7934.0,12878.0,6371.0,6507.0,748.0,348.0,400.0,12130.0,6023.0,6107.0,3060.0,1662.0,4357.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidence par année d'âge selon la province, le milieu de résidence et le sexe.xlsx - Ensemble des provinces.csv",demographie
9,8727.0,4422.0,4305.0,453.0,215.0,238.0,8274.0,4207.0,4067.0,14738.0,7365.0,7373.0,1512.0,728.0,784.0,13226.0,6637.0,6589.0,10086.0,5148.0,4938.0,650.0,342.0,308.0,9436.0,4806.0,4630.0,9022.0,4547.0,4475.0,822.0,415.0,407.0,8200.0,4132.0,4068.0,4539.0,2306.0,2233.0,611.0,264.0,347.0,3928.0,2042.0,1886.0,21934.0,11010.0,10924.0,3681.0,1783.0,1898.0,18253.0,9227.0,9026.0,22266.0,11022.0,11244.0,3389.0,1577.0,1812.0,18877.0,9445.0,9432.0,18157.0,9018.0,9139.0,3843.0,1861.0,1982.0,14314.0,7157.0,7157.0,15336.0,7683.0,7653.0,972.0,480.0,492.0,14364.0,7203.0,7161.0,21879.0,11032.0,10847.0,511.0,263.0,248.0,21368.0,10769.0,10599.0,13588.0,6934.0,6654.0,1907.0,914.0,993.0,11681.0,6020.0,5661.0,38988.0,19148.0,19840.0,21107.0,9987.0,11120.0,17881.0,9161.0,8720.0,7757.0,3969.0,3788.0,654.0,321.0,333.0,7103.0,3648.0,3455.0,68059.0,32793.0,35266.0,52223.0,25049.0,27174.0,15836.0,7744.0,8092.0,12053.0,6068.0,5985.0,864.0,417.0,447.0,11189.0,5651.0,5538.0,3275.0,1711.0,4305.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidence par année d'âge selon la province, le milieu de résidence et le sexe.xlsx - Ensemble des provinces.csv",demographie
