localite,hommes,femmes,ensemble,age_urbain,age_rural,age_ensemble,age_urbain_1,age_rural_1,age_ensemble_1,age_urbain_2,age_rural_2,age_ensemble_2,age_urbain_3,age_rural_3,age_ensemble_3,age_urbain_4,age_rural_4,age_ensemble_4,age_urbain_5,age_rural_5,age_ensemble_5,age_urbain_6,age_rural_6,age_ensemble_6,age_urbain_7,age_rural_7,age_ensemble_7,age_urbain_8,age_rural_8,age_ensemble_8,age_urbain_9,age_rural_9,age_ensemble_9,age_urbain_10,age_rural_10,age_ensemble_10,age_urbain_11,age_rural_11,age_ensemble_11,age_urbain_12,age_rural_12,valeur,indicateur,annee,date_source,date,periode_normalisee,granularite_temporelle,source_fichier,domaine
0,56124.0,28007.0,28117.0,4544.0,2285.0,2259.0,51580.0,25722.0,25858.0,25916.0,12717.0,13199.0,3981.0,1929.0,2052.0,21935.0,10788.0,11147.0,75209.0,37476.0,37733.0,58142.0,28967.0,29175.0,17067.0,8509.0,8558.0,48893.0,24294.0,24599.0,8334.0,4184.0,4150.0,40559.0,20110.0,20449.0,55257.0,27711.0,27546.0,5228.0,2570.0,28117.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
1,55309.0,27900.0,27409.0,4195.0,2082.0,2113.0,51114.0,25818.0,25296.0,26153.0,13040.0,13113.0,3980.0,1969.0,2011.0,22173.0,11071.0,11102.0,82473.0,41595.0,40878.0,63445.0,31929.0,31516.0,19028.0,9666.0,9362.0,47653.0,24047.0,23606.0,8233.0,4085.0,4148.0,39420.0,19962.0,19458.0,57911.0,29028.0,28883.0,5369.0,2707.0,27409.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
2,67114.0,34081.0,33033.0,4776.0,2403.0,2373.0,62338.0,31678.0,30660.0,30255.0,15085.0,15170.0,4483.0,2230.0,2253.0,25772.0,12855.0,12917.0,87626.0,44498.0,43128.0,66598.0,33662.0,32936.0,21028.0,10836.0,10192.0,58967.0,29386.0,29581.0,9583.0,4838.0,4745.0,49384.0,24548.0,24836.0,74635.0,37361.0,37274.0,6376.0,3142.0,33033.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
3,64537.0,32410.0,32127.0,4262.0,2063.0,2199.0,60275.0,30347.0,29928.0,28889.0,14454.0,14435.0,4205.0,2086.0,2119.0,24684.0,12368.0,12316.0,81341.0,40801.0,40540.0,61944.0,30987.0,30957.0,19397.0,9814.0,9583.0,58331.0,29367.0,28964.0,9239.0,4589.0,4650.0,49092.0,24778.0,24314.0,72104.0,36438.0,35666.0,6025.0,2982.0,32127.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
4,66765.0,33613.0,33152.0,4471.0,2228.0,2243.0,62294.0,31385.0,30909.0,28842.0,14168.0,14674.0,4206.0,2059.0,2147.0,24636.0,12109.0,12527.0,81133.0,40583.0,40550.0,62015.0,31066.0,30949.0,19118.0,9517.0,9601.0,55774.0,28025.0,27749.0,8930.0,4415.0,4515.0,46844.0,23610.0,23234.0,72421.0,35888.0,36533.0,6059.0,2923.0,33152.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
5,71193.0,36314.0,34879.0,4638.0,2322.0,2316.0,66555.0,33992.0,32563.0,29020.0,14599.0,14421.0,4297.0,2080.0,2217.0,24723.0,12519.0,12204.0,79716.0,39403.0,40313.0,60508.0,29891.0,30617.0,19208.0,9512.0,9696.0,57144.0,28905.0,28239.0,8822.0,4447.0,4375.0,48322.0,24458.0,23864.0,73528.0,37332.0,36196.0,5827.0,2931.0,34879.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
6,65597.0,33139.0,32458.0,4357.0,2093.0,2264.0,61240.0,31046.0,30194.0,27553.0,13872.0,13681.0,3982.0,1931.0,2051.0,23571.0,11941.0,11630.0,71992.0,35322.0,36670.0,55147.0,27032.0,28115.0,16845.0,8290.0,8555.0,51918.0,26246.0,25672.0,8179.0,4012.0,4167.0,43739.0,22234.0,21505.0,63861.0,32061.0,31800.0,5361.0,2622.0,32458.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
7,67552.0,34579.0,32973.0,4765.0,2337.0,2428.0,62787.0,32242.0,30545.0,28538.0,14307.0,14231.0,4322.0,2141.0,2181.0,24216.0,12166.0,12050.0,74632.0,36546.0,38086.0,57201.0,27912.0,29289.0,17431.0,8634.0,8797.0,55726.0,28209.0,27517.0,8928.0,4417.0,4511.0,46798.0,23792.0,23006.0,71588.0,35782.0,35806.0,5923.0,2919.0,32973.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
8,59200.0,30054.0,29146.0,4486.0,2162.0,2324.0,54714.0,27892.0,26822.0,25411.0,12666.0,12745.0,4067.0,1985.0,2082.0,21344.0,10681.0,10663.0,68863.0,33203.0,35660.0,53007.0,25281.0,27726.0,15856.0,7922.0,7934.0,46851.0,23675.0,23176.0,7600.0,3726.0,3874.0,39251.0,19949.0,19302.0,53812.0,27118.0,26694.0,5140.0,2433.0,29146.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
9,55598.0,28442.0,27156.0,4431.0,2166.0,2265.0,51167.0,26276.0,24891.0,23724.0,11767.0,11957.0,4029.0,1953.0,2076.0,19695.0,9814.0,9881.0,68059.0,32793.0,35266.0,52223.0,25049.0,27174.0,15836.0,7744.0,8092.0,49285.0,24898.0,24387.0,8205.0,3964.0,4241.0,41080.0,20934.0,20146.0,60661.0,30438.0,30223.0,5630.0,2738.0,27156.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
