localite,hommes,femmes,ensemble,age_ensemble,age_homme,age_femme,age_ensemble_1,age_homme_1,age_femme_1,valeur,indicateur,annee,date_source,date,periode_normalisee,granularite_temporelle,source_fichier,domaine
1,597021.0,300533.0,296488.0,139184.0,69885.0,69299.0,457837.0,230648.0,227189.0,296488.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
2,721773.0,364212.0,357561.0,152984.0,76900.0,76084.0,568789.0,287312.0,281477.0,357561.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
3,707273.0,356165.0,351108.0,144188.0,72072.0,72116.0,563085.0,284093.0,278992.0,351108.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
4,705806.0,351950.0,353856.0,144341.0,71539.0,72802.0,561465.0,280411.0,281054.0,353856.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
5,721056.0,364512.0,356544.0,141328.0,69887.0,71441.0,579728.0,294625.0,285103.0,356544.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
6,660835.0,331244.0,329591.0,130845.0,63872.0,66973.0,529990.0,267372.0,262618.0,329591.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
7,703793.0,354499.0,349294.0,138816.0,67716.0,71100.0,564977.0,286783.0,278194.0,349294.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
8,595848.0,298903.0,296945.0,125865.0,60502.0,65363.0,469983.0,238401.0,231582.0,296945.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
9,598262.0,301019.0,297243.0,126435.0,60958.0,65477.0,471827.0,240061.0,231766.0,297243.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
10,649121.0,331875.0,317246.0,137865.0,66447.0,71418.0,511256.0,265428.0,245828.0,317246.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
11,486299.0,248138.0,238161.0,114817.0,54767.0,60050.0,371482.0,193371.0,178111.0,238161.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
12,583060.0,295317.0,287743.0,130456.0,61420.0,69036.0,452604.0,233897.0,218707.0,287743.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
13,504484.0,254063.0,250421.0,121297.0,56182.0,65115.0,383187.0,197881.0,185306.0,250421.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
14,464441.0,229264.0,235177.0,117595.0,52678.0,64917.0,346846.0,176586.0,170260.0,235177.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
15,492193.0,249576.0,242617.0,126409.0,56916.0,69493.0,365784.0,192660.0,173124.0,242617.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
16,416865.0,202532.0,214333.0,117748.0,51246.0,66502.0,299117.0,151286.0,147831.0,214333.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
17,423426.0,198613.0,224813.0,120870.0,52660.0,68210.0,302556.0,145953.0,156603.0,224813.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
18,392558.0,177209.0,215349.0,118484.0,52006.0,66478.0,274074.0,125203.0,148871.0,215349.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
19,423604.0,185577.0,238027.0,130316.0,57101.0,73215.0,293288.0,128476.0,164812.0,238027.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
20,489392.0,215260.0,274132.0,143639.0,64659.0,78980.0,345753.0,150601.0,195152.0,274132.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
21,318645.0,145053.0,173592.0,110843.0,50987.0,59856.0,207802.0,94066.0,113736.0,173592.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
22,332846.0,148603.0,184243.0,113635.0,52295.0,61340.0,219211.0,96308.0,122903.0,184243.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
23,302101.0,136536.0,165565.0,106475.0,49141.0,57334.0,195626.0,87395.0,108231.0,165565.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
24,274440.0,123423.0,151017.0,97560.0,45171.0,52389.0,176880.0,78252.0,98628.0,151017.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
25,394568.0,172411.0,222157.0,121221.0,57002.0,64219.0,273347.0,115409.0,157938.0,222157.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
26,261629.0,117724.0,143905.0,91140.0,42843.0,48297.0,170489.0,74881.0,95608.0,143905.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
27,302296.0,135595.0,166701.0,98925.0,47078.0,51847.0,203371.0,88517.0,114854.0,166701.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
28,261812.0,116363.0,145449.0,88749.0,42039.0,46710.0,173063.0,74324.0,98739.0,145449.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
29,279563.0,125127.0,154436.0,93147.0,45116.0,48031.0,186416.0,80011.0,106405.0,154436.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
30,443368.0,195532.0,247836.0,128735.0,64816.0,63919.0,314633.0,130716.0,183917.0,247836.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
31,200493.0,95114.0,105379.0,70909.0,35476.0,35433.0,129584.0,59638.0,69946.0,105379.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
32,265083.0,125212.0,139871.0,89392.0,46172.0,43220.0,175691.0,79040.0,96651.0,139871.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
33,210266.0,101584.0,108682.0,73836.0,37755.0,36081.0,136430.0,63829.0,72601.0,108682.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
34,203048.0,96452.0,106596.0,68699.0,35542.0,33157.0,134349.0,60910.0,73439.0,106596.0,population_residente,2019,2019,2019,2019,annuelle,Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,demographie
