indicateur,age,sexe,annee,date_source,date,periode_normalisee,granularite_temporelle,valeur,region,projection_type,source_fichier
population_projettee,0,homme,2020,2020,2020,2020,annuelle,21793.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2020,2020,2020,2020,annuelle,20617.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2020,2020,2020,2020,annuelle,42410.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2021,2021,2021,2021,annuelle,21835.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2021,2021,2021,2021,annuelle,20633.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2021,2021,2021,2021,annuelle,42468.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2022,2022,2022,2022,annuelle,21943.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2022,2022,2022,2022,annuelle,20734.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2022,2022,2022,2022,annuelle,42677.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2023,2023,2023,2023,annuelle,22019.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2023,2023,2023,2023,annuelle,20809.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2023,2023,2023,2023,annuelle,42828.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2024,2024,2024,2024,annuelle,22074.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2024,2024,2024,2024,annuelle,20863.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2024,2024,2024,2024,annuelle,42937.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2025,2025,2025,2025,annuelle,22125.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2025,2025,2025,2025,annuelle,20916.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2025,2025,2025,2025,annuelle,43041.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2026,2026,2026,2026,annuelle,21910.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2026,2026,2026,2026,annuelle,20718.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2026,2026,2026,2026,annuelle,42628.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2027,2027,2027,2027,annuelle,21692.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2027,2027,2027,2027,annuelle,20518.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2027,2027,2027,2027,annuelle,42210.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2028,2028,2028,2028,annuelle,21745.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2028,2028,2028,2028,annuelle,20580.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2028,2028,2028,2028,annuelle,42325.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2029,2029,2029,2029,annuelle,21842.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2029,2029,2029,2029,annuelle,20676.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2029,2029,2029,2029,annuelle,42518.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2030,2030,2030,2030,annuelle,21895.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2030,2030,2030,2030,annuelle,20730.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2030,2030,2030,2030,annuelle,42625.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2031,2031,2031,2031,annuelle,22183.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2031,2031,2031,2031,annuelle,21003.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2031,2031,2031,2031,annuelle,43186.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2032,2032,2032,2032,annuelle,22480.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2032,2032,2032,2032,annuelle,21289.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2032,2032,2032,2032,annuelle,43769.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2033,2033,2033,2033,annuelle,22784.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2033,2033,2033,2033,annuelle,21574.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2033,2033,2033,2033,annuelle,44358.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
