indicateur,sexe,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Évolution de l’espérance de vie à la naissance,Homme,Année,1985,48.2,1985,1985,annuelle,1985,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Homme,Année,1991,50.7,1991,1991,annuelle,1991,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Homme,Année,1996,53.5,1996,1996,annuelle,1996,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Homme,Année,2006,55.8,2006,2006,annuelle,2006,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Homme,Année,2019,60.0,2019,2019,annuelle,2019,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Femme,Année,1985,48.8,1985,1985,annuelle,1985,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Femme,Année,1991,53.2,1991,1991,annuelle,1991,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Femme,Année,1996,54.1,1996,1996,annuelle,1996,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Femme,Année,2006,57.5,2006,2006,annuelle,2006,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Femme,Année,2019,64.0,2019,2019,annuelle,2019,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Ensemble,Année,1985,48.5,1985,1985,annuelle,1985,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Ensemble,Année,1991,52.2,1991,1991,annuelle,1991,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Ensemble,Année,1996,53.8,1996,1996,annuelle,1996,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Ensemble,Année,2006,56.7,2006,2006,annuelle,2006,Évolution de l’espérance de vie à la naissance.csv,demographie
Évolution de l’espérance de vie à la naissance,Ensemble,Année,2019,61.9,2019,2019,annuelle,2019,Évolution de l’espérance de vie à la naissance.csv,demographie
