indicateur,rubriques,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Evolution des taux de fécondité par tranche d'âge,15 à 19 ans,‰,1993,154.0,1993,1993,annuelle,1993,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,15 à 19 ans,‰,1999,144.0,1999,1999,annuelle,1999,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,15 à 19 ans,‰,2003,131.0,2003,2003,annuelle,2003,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,15 à 19 ans,‰,2006,127.7,2006,2006,annuelle,2006,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,15 à 19 ans,‰,2010,130.0,2010,2010,annuelle,2010,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,15 à 19 ans,‰,2019,73.4,2019,2019,annuelle,2019,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,15 à 19 ans,‰,2021,93.0,2021,2021,annuelle,2021,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,20 à 24 ans,‰,1993,296.0,1993,1993,annuelle,1993,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,20 à 24 ans,‰,1999,305.0,1999,1999,annuelle,1999,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,20 à 24 ans,‰,2003,275.0,2003,2003,annuelle,2003,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,20 à 24 ans,‰,2006,277.1,2006,2006,annuelle,2006,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,20 à 24 ans,‰,2010,264.0,2010,2010,annuelle,2010,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,20 à 24 ans,‰,2019,213.7,2019,2019,annuelle,2019,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,20 à 24 ans,‰,2021,191.0,2021,2021,annuelle,2021,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,25 à 29 ans,‰,1993,292.0,1993,1993,annuelle,1993,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,25 à 29 ans,‰,1999,293.0,1999,1999,annuelle,1999,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,25 à 29 ans,‰,2003,271.0,2003,2003,annuelle,2003,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,25 à 29 ans,‰,2006,280.2,2006,2006,annuelle,2006,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,25 à 29 ans,‰,2010,269.0,2010,2010,annuelle,2010,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,25 à 29 ans,‰,2019,241.0,2019,2019,annuelle,2019,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,25 à 29 ans,‰,2021,206.0,2021,2021,annuelle,2021,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,30 à 34 ans,‰,1993,258.0,1993,1993,annuelle,1993,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,30 à 34 ans,‰,1999,264.0,1999,1999,annuelle,1999,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,30 à 34 ans,‰,2003,241.0,2003,2003,annuelle,2003,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,30 à 34 ans,‰,2006,240.6,2006,2006,annuelle,2006,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,30 à 34 ans,‰,2010,237.0,2010,2010,annuelle,2010,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,30 à 34 ans,‰,2019,215.1,2019,2019,annuelle,2019,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,30 à 34 ans,‰,2021,181.0,2021,2021,annuelle,2021,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,35 à 39 ans,‰,1993,220.0,1993,1993,annuelle,1993,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,35 à 39 ans,‰,1999,214.0,1999,1999,annuelle,1999,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,35 à 39 ans,‰,2003,181.0,2003,2003,annuelle,2003,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,35 à 39 ans,‰,2006,182.0,2006,2006,annuelle,2006,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,35 à 39 ans,‰,2010,189.0,2010,2010,annuelle,2010,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,35 à 39 ans,‰,2019,173.1,2019,2019,annuelle,2019,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,35 à 39 ans,‰,2021,135.0,2021,2021,annuelle,2021,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,40 à 44 ans,‰,1993,111.0,1993,1993,annuelle,1993,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,40 à 44 ans,‰,1999,112.0,1999,1999,annuelle,1999,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,40 à 44 ans,‰,2003,106.0,2003,2003,annuelle,2003,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,40 à 44 ans,‰,2006,93.4,2006,2006,annuelle,2006,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,40 à 44 ans,‰,2010,87.0,2010,2010,annuelle,2010,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,40 à 44 ans,‰,2019,97.7,2019,2019,annuelle,2019,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,40 à 44 ans,‰,2021,63.0,2021,2021,annuelle,2021,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,45 à 49 ans,‰,1993,50.0,1993,1993,annuelle,1993,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,45 à 49 ans,‰,1999,28.0,1999,1999,annuelle,1999,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,45 à 49 ans,‰,2003,42.0,2003,2003,annuelle,2003,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,45 à 49 ans,‰,2006,40.1,2006,2006,annuelle,2006,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,45 à 49 ans,‰,2010,23.0,2010,2010,annuelle,2010,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,45 à 49 ans,‰,2019,62.9,2019,2019,annuelle,2019,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,45 à 49 ans,‰,2021,20.0,2021,2021,annuelle,2021,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,Indice synthétique de fécondité (15 à 49 ans),Enfants/Femme,1993,6.9,1993,1993,annuelle,1993,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,Indice synthétique de fécondité (15 à 49 ans),Enfants/Femme,1999,6.8,1999,1999,annuelle,1999,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,Indice synthétique de fécondité (15 à 49 ans),Enfants/Femme,2003,6.2,2003,2003,annuelle,2003,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,Indice synthétique de fécondité (15 à 49 ans),Enfants/Femme,2006,6.2,2006,2006,annuelle,2006,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,Indice synthétique de fécondité (15 à 49 ans),Enfants/Femme,2010,6.0,2010,2010,annuelle,2010,Évolution des  taux de fecondite.csv,demographie
Evolution des taux de fécondité par tranche d'âge,Indice synthétique de fécondité (15 à 49 ans),Enfants/Femme,2019,5.4,2019,2019,annuelle,2019,Évolution des  taux de fecondite.csv,demographie
