indicateur,rubriques,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité infantile,‰,1960,182.0,1960,1960,annuelle,1960,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité infantile,‰,1975,167.0,1975,1975,annuelle,1975,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité infantile,‰,1985,134.0,1985,1985,annuelle,1985,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité infantile,‰,1991,114.6,1991,1991,annuelle,1991,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité infantile,‰,1993,93.7,1993,1993,annuelle,1993,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité infantile,‰,1996,107.0,1996,1996,annuelle,1996,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité infantile,‰,1999,105.3,1999,1999,annuelle,1999,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité infantile,‰,2003,81.0,2003,2003,annuelle,2003,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité infantile,‰,2006,91.7,2006,2006,annuelle,2006,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité infantile,‰,2010,65.0,2010,2010,annuelle,2010,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité infantile,‰,2019,55.9,2019,2019,annuelle,2019,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité infantile,‰,2021,30.0,2021,2021,annuelle,2021,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité juvénile,‰,1960,217.0,1960,1960,annuelle,1960,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité juvénile,‰,1975,123.0,1975,1975,annuelle,1975,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité juvénile,‰,1985,95.0,1985,1985,annuelle,1985,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité juvénile,‰,1991,79.4,1991,1991,annuelle,1991,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité juvénile,‰,1993,103.0,1993,1993,annuelle,1993,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité juvénile,‰,1996,75.1,1996,1996,annuelle,1996,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité juvénile,‰,1999,127.1,1999,1999,annuelle,1999,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité juvénile,‰,2003,111.0,2003,2003,annuelle,2003,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité juvénile,‰,2006,55.3,2006,2006,annuelle,2006,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité juvénile,‰,2010,68.0,2010,2010,annuelle,2010,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité juvénile,‰,2019,33.3,2019,2019,annuelle,2019,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité juvénile,‰,2021,18.0,2021,2021,annuelle,2021,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité Infanto-Juvénile,‰,1960,360.0,1960,1960,annuelle,1960,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité Infanto-Juvénile,‰,1975,269.0,1975,1975,annuelle,1975,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité Infanto-Juvénile,‰,1985,216.2,1985,1985,annuelle,1985,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité Infanto-Juvénile,‰,1991,184.9,1991,1991,annuelle,1991,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité Infanto-Juvénile,‰,1993,187.0,1993,1993,annuelle,1993,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité Infanto-Juvénile,‰,1996,174.2,1996,1996,annuelle,1996,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité Infanto-Juvénile,‰,1999,219.1,1999,1999,annuelle,1999,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile",Quotient de mortalité Infanto-Juvénile,‰,2003,184.0,2003,2003,annuelle,2003,"Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",demographie
