indicateur,region,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Effectif des réfugiés au Burkina Faso par région administrative,TOTAL,Nombre,2019,25902,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,TOTAL,Nombre,2020,20284,2020,2020,annuelle,2020,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,TOTAL,Nombre,2021,25042,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,TOTAL,Nombre,2022,34932,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,TOTAL,Nombre,2023,38884,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,TOTAL,Nombre,2024,41411,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,TOTAL,Nombre,2025,42962,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SAHEL,Nombre,2019,24643,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SAHEL,Nombre,2020,17958,2020,2020,annuelle,2020,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SAHEL,Nombre,2021,21172,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SAHEL,Nombre,2022,26133,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SAHEL,Nombre,2023,27522,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SAHEL,Nombre,2024,228114,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SAHEL,Nombre,2025,28832,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,NORD,Nombre,2019,1,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,NORD,Nombre,2020,1,2020,2020,annuelle,2020,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,NORD,Nombre,2021,885,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,NORD,Nombre,2022,2402,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,NORD,Nombre,2023,3071,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,NORD,Nombre,2024,3308,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,NORD,Nombre,2025,3421,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE NORD,Nombre,2019,13,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE NORD,Nombre,2021,0,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE NORD,Nombre,2022,0,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE NORD,Nombre,2023,0,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE NORD,Nombre,2024,0,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE NORD,Nombre,2025,0,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE,Nombre,2019,721,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE,Nombre,2020,1774,2020,2020,annuelle,2020,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE,Nombre,2021,1746,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE,Nombre,2022,3851,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE,Nombre,2023,4511,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE,Nombre,2024,4636,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE,Nombre,2025,4869,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE SUD,Nombre,2019,0,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE SUD,Nombre,2021,0,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE SUD,Nombre,2022,0,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE SUD,Nombre,2023,0,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE SUD,Nombre,2024,0,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE SUD,Nombre,2025,0,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE OUEST,Nombre,2019,1,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE OUEST,Nombre,2021,0,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE OUEST,Nombre,2022,0,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE OUEST,Nombre,2023,1,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE OUEST,Nombre,2024,0,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE OUEST,Nombre,2025,0,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE EST,Nombre,2019,4,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE EST,Nombre,2021,0,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE EST,Nombre,2022,0,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE EST,Nombre,2023,0,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE EST,Nombre,2024,0,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE EST,Nombre,2025,0,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,HAUTS BASSINS,Nombre,2019,518,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,HAUTS BASSINS,Nombre,2020,551,2020,2020,annuelle,2020,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,HAUTS BASSINS,Nombre,2021,1232,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,HAUTS BASSINS,Nombre,2022,2162,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
