iso3,name,annee_source,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_internal_displacements,conflict_internal_displacements_raw,source_onglet,figure_cause,figure_category,description,figures,figures_rounded,country,sex,cause,0_4,5_11,12_17,18_59,60,title_global_internal_displacement_database_gidd,source_fichier,domaine
BFA,Burkina Faso,2024,2063000,2062534,380000,379980,1_Displacement_data,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
BFA,Burkina Faso,2023,2063000,2062534,713000,713417,1_Displacement_data,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
BFA,Burkina Faso,2022,1882000,1882391,438000,438462,1_Displacement_data,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
BFA,Burkina Faso,2021,1580000,1579976,682000,682245,1_Displacement_data,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
BFA,Burkina Faso,2020,1075000,1074993,515000,514960,1_Displacement_data,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
BFA,Burkina Faso,2019,560000,560033,513000,513004,1_Displacement_data,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
BFA,Burkina Faso,2018,47000,47029,42000,42118,1_Displacement_data,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
BFA,Burkina Faso,2017,4900,4911,4900,4911,1_Displacement_data,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
BFA,Burkina Faso,2016,700,700,700,700,1_Displacement_data,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
ISO3,Name,Year,Conflict Stock Displacement,Conflict Stock Displacement (Raw),Conflict Internal Displacements,Conflict Internal Displacements (Raw),1_Displacement_data,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
BFA,Burkina Faso,2024,2063000,2062534,380000,379980,1_Displacement_data,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
BFA,Burkina Faso,2023,2063000,2062534,713000,713417,1_Displacement_data,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
