indicateur,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,source_onglet,region_destination,province_destination,commune_destination,hommes,femmes,enfants_de_moins_de_5_ans,enfants_de_plus_de_5_ans,total_enfants,total_individus,admin_1_pcode,admin_2_pcode,admin_3_pcode,date_donnn_e,enregistrement_des_personnes_deplacees_internes
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2019,25902.0,2019,2019,annuelle,2019.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2020,20284.0,2020,2020,annuelle,2020.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2021,25042.0,2021,2021,annuelle,2021.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2022,34932.0,2022,2022,annuelle,2022.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2023,38884.0,2023,2023,annuelle,2023.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2024,41411.0,2024,2024,annuelle,2024.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2025,42962.0,2025,2025,annuelle,2025.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2019,24643.0,2019,2019,annuelle,2019.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2020,17958.0,2020,2020,annuelle,2020.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2021,21172.0,2021,2021,annuelle,2021.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2022,26133.0,2022,2022,annuelle,2022.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2023,27522.0,2023,2023,annuelle,2023.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2024,228114.0,2024,2024,annuelle,2024.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2025,28832.0,2025,2025,annuelle,2025.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2019,1.0,2019,2019,annuelle,2019.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2020,1.0,2020,2020,annuelle,2020.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
