enregistrement_des_personnes_deplacees_internes,source_onglet,r_gion,total_pdi,pdi_hommes,pdi_femmes,pdi_enfants,pdi_personnes_g_es,pdi_personnes_avec_handicap,source_fichier,domaine
Situation actualisée au 31 décembre 2022,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
CONASUR-BURKINA FASO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
PROVINCES,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
#adm2 +name,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BALE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BALE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BALE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BALE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BALE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BALE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BANWA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BANWA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BANWA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BANWA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BANWA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOSSI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOSSI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOSSI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOSSI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOSSI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOSSI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOSSI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOSSI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOSSI,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
MOUHOUN,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
MOUHOUN,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
MOUHOUN,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
MOUHOUN,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
MOUHOUN,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
MOUHOUN,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAYALA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAYALA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAYALA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAYALA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAYALA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAYALA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SOUROU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SOUROU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SOUROU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SOUROU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
SOUROU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
COMOE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
COMOE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
COMOE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
COMOE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
COMOE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
COMOE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
COMOE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
COMOE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
COMOE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
