indicateur,rubrique,milieu,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (AA_PO),Milieu rural,%,2003,19.9,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (AA_PO),Milieu urbain,%,2003,52.3,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (AA_PO),Ensemble,%,2003,46.4,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (AA_CTR),Milieu rural,%,2003,7.8,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (AA_CTR),Milieu urbain,%,2003,92.2,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (AA_CTR),Ensemble,%,2003,100.0,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (AA_P1),Milieu rural,%,2003,5.5,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (AA_P1),Milieu urbain,%,2003,17.9,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (AA_P1),Ensemble,%,2003,15.6,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (AA_CTR),Milieu rural,%,2003,6.4,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (AA_CTR),Milieu urbain,%,2003,93.6,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (AA_CTR),Ensemble,%,2003,100.0,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (AA_P2),Milieu rural,%,2003,2.2,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (AA_P2),Milieu urbain,%,2003,8.2,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (AA_P2),Ensemble,%,2003,7.1,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (AA_CTR),Milieu rural,%,2003,5.6,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (AA_CTR),Milieu urbain,%,2003,94.4,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (AA_CTR),Ensemble,%,2003,100.0,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),Milieu rural,%,2003,21.7,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),Milieu rural,%,2009,25.2,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),Milieu rural,%,2014,47.5,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),Milieu rural,%,2018,44.6,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),Milieu urbain,%,2003,54.6,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),Milieu urbain,%,2009,52.8,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
