indicateur,rubriques,r_gion,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Boucle du Mouhoun,%,2003,89.9,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Boucle du Mouhoun,%,2005,88.6363906860352,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Boucle du Mouhoun,%,2007,90.6,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Boucle du Mouhoun,%,2018,93.0,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Cascades,%,2003,90.8,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Cascades,%,2005,93.0461502075195,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Cascades,%,2007,86.9,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Cascades,%,2018,75.4,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Centre,%,2003,73.4,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Centre,%,2005,75.987663269043,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Centre,%,2007,71.6,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Centre,%,2018,61.4,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Centre-Est,%,2003,82.8,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Centre-Est,%,2005,84.7,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Centre-Est,%,2007,81.4,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Centre-Est,%,2018,91.3,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Bicyclette,Centre-Nord,%,2003,84.9,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
