indicateur,rubrique,localites,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'eau potable,NATIONAL,%,2014,76.3,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'eau potable,NATIONAL,%,2018,78.1,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'eau potable,NATIONAL,%,2021,77.2,2021,2021,annuelle,2021,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'eau potable,Milieu Urbain,%,2014,93.5,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'eau potable,Milieu Urbain,%,2018,94.9,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'eau potable,Milieu Urbain,%,2021,91.3,2021,2021,annuelle,2021,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'eau potable,Milieu Rural,%,2014,69.6,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'eau potable,Milieu Rural,%,2018,70.4,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'eau potable,Milieu Rural,%,2021,71.2,2021,2021,annuelle,2021,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'assainissement (Latrine améliorée),NATIONAL,%,2014,8.1,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'assainissement (Latrine améliorée),NATIONAL,%,2018,14.4,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'assainissement (Latrine améliorée),NATIONAL,%,2021,15.2,2021,2021,annuelle,2021,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'assainissement (Latrine améliorée),Milieu Urbain,%,2014,18.8,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'assainissement (Latrine améliorée),Milieu Urbain,%,2018,30.1,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,Accès à l'assainissement (Latrine améliorée),Milieu Urbain,%,2021,29.3,2021,2021,annuelle,2021,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
