indicateur,r_gion,rubrique,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Boucle du Mouhoun,Bois ramassé,%,2018,69.9,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Boucle du Mouhoun,Bois acheté,%,2018,14.2,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Boucle du Mouhoun,Charbon de bois,%,2018,9.2,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Boucle du Mouhoun,Gaz,%,2018,6.8,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Boucle du Mouhoun,Electricité,%,2018,0.0,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Boucle du Mouhoun,Déchets d'animaux,%,2018,0.0,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Boucle du Mouhoun,Autre combustible,%,2018,0.0,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Boucle du Mouhoun,Total,%,2018,100.0,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Cascades,Bois ramassé,%,2018,67.2,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Cascades,Bois acheté,%,2018,3.6,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Cascades,Charbon de bois,%,2018,16.1,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Cascades,Gaz,%,2018,12.8,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Cascades,Electricité,%,2018,0.0,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Cascades,Déchets d'animaux,%,2018,0.0,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Cascades,Autre combustible,%,2018,0.3,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Cascades,Total,%,2018,100.0,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre,Bois ramassé,%,2018,5.4,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre,Bois acheté,%,2018,3.6,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre,Charbon de bois,%,2018,12.6,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre,Gaz,%,2018,76.6,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre,Electricité,%,2018,1.1,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre,Déchets d'animaux,%,2018,0.0,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre,Autre combustible,%,2018,0.6,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre,Total,%,2018,100.0,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre-Est,Bois ramassé,%,2018,55.8,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre-Est,Bois acheté,%,2018,30.9,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre-Est,Charbon de bois,%,2018,3.0,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre-Est,Gaz,%,2018,9.7,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre-Est,Electricité,%,2018,0.2,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre-Est,Déchets d'animaux,%,2018,0.2,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre-Est,Autre combustible,%,2018,0.2,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre-Est,Total,%,2018,100.0,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre-Nord,Bois ramassé,%,2018,77.5,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre-Nord,Bois acheté,%,2018,12.3,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
Répartition ménages par Rég selon le mode d'énergie pour la cuisine,Centre-Nord,Charbon de bois,%,2018,0.8,2018,2018,annuelle,2018,Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,vulnerabilite_menages
