annee,indicateur,valeur_moyenne
1990,Nombre d'accidents du travail,3784.0
1991,Nombre d'accidents du travail,2727.0
1991,Population utilisant des combustibles modernes pour cuisiner,1.5
1991,Pourcentage des ménages ayant accès à des robinets,4.6
1991,Pourcentage des ménages ayant des toilettes saines,0.5
1991,Pourcentage des ménages ayant une évacuation saine des ordures,7.6
1991,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,4.9
1992,Nombre d'accidents du travail,2828.0
1993,Nombre d'accidents du travail,3189.0
1993,Pourcentage des ménages ayant accès à des robinets,16.6
1993,Pourcentage des ménages ayant des toilettes saines,0.9
1993,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,6.2
1993,Pourcentage des ménages possédant au moins un téléviseur,4.8
1993,Pourcentage des ménages possédant au moins une voiture,1.9
1994,Dépenses annuelles de consommation par ménage,532.0
1994,Dépenses annuelles de consommation par tête,68.6
1994,Evolution des indices de pauvreté,10290.85
1994,Indice de Gini,0.63
1994,Nombre d'accidents du travail,3158.0
1994,Population utilisant des combustibles modernes pour cuisiner,2.7
1994,Pourcentage des dépenses alimentaires dans l'ensemble des dépenses des ménages,45.8
1994,Pourcentage des ménages ayant accès à des robinets,17.5
1994,Pourcentage des ménages ayant des toilettes saines,1.4
1994,Pourcentage des ménages ayant une évacuation saine des ordures,9.9
1994,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,6.3
1994,Pourcentage des ménages possédant au moins un téléviseur,5.2
1994,Pourcentage des ménages possédant au moins une voiture,1.7
1994,Profondeur de la pauvreté,0.139
1994,Seuil de pauvreté,41.1
1994,Taux de pauvreté au seuil de pauvreté national,44.5
1995,Nombre d'accidents du travail,2312.0
1996,Nombre d'accidents du travail,3072.0
1996,Nombre d'employeurs du régime général,10.0
1996,Population utilisant des combustibles modernes pour cuisiner,1.9
1996,Pourcentage des ménages ayant accès à des robinets,13.0
1996,Pourcentage des ménages ayant des toilettes saines,0.8
1996,Pourcentage des ménages ayant une évacuation saine des ordures,7.8
1996,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,5.0
1997,Nombre d'accidents du travail,3945.0
1997,Nombre d'allocataires,52.1
1997,Nombre d'employeurs du régime général,11.4
1997,Nombre d'enfants d'allocataires,134.9
1998,Dépenses annuelles de consommation par ménage,751.4
1998,Dépenses annuelles de consommation par tête,62.6
1998,Evolution des indices de pauvreté,18188.725
1998,Nombre d'accidents du travail,4371.0
1998,Nombre d'allocataires,53.9
1998,Nombre d'employeurs du régime général,12.9
1998,Nombre d'enfants d'allocataires,140.1
1998,Population utilisant des combustibles modernes pour cuisiner,4.0
1998,Pourcentage des dépenses alimentaires dans l'ensemble des dépenses des ménages,52.2
1998,Pourcentage des ménages ayant accès à des robinets,21.1
1998,Pourcentage des ménages ayant des toilettes saines,1.3
1998,Pourcentage des ménages ayant une évacuation saine des ordures,5.3
1998,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,8.1
1998,Pourcentage des ménages possédant au moins un téléviseur,7.4
1998,Pourcentage des ménages possédant au moins une voiture,2.2
1998,Profondeur de la pauvreté,0.137
1998,Seuil de pauvreté,72.7
1998,Taux de pauvreté au seuil de pauvreté national,45.3
1999,Nombre d'accidents du travail,4118.0
1999,Nombre d'allocataires,56.1
1999,Nombre d'employeurs du régime général,14.2
1999,Nombre d'enfants d'allocataires,147.0
1999,Pourcentage des ménages ayant accès à des robinets,14.1
1999,Pourcentage des ménages ayant des toilettes saines,0.7
1999,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,6.9
1999,Pourcentage des ménages possédant au moins un téléviseur,6.4
1999,Pourcentage des ménages possédant au moins une voiture,1.9
2000,Nombre d'accidents du travail,3988.0
2000,Nombre d'allocataires,60.7
2000,Nombre d'employeurs du régime général,15.2
2000,Nombre d'enfants d'allocataires,162.9
2001,Nombre d'accidents du travail,3369.0
2001,Nombre d'allocataires,64.1
2001,Nombre d'employeurs du régime général,16.4
2001,Nombre d'enfants d'allocataires,173.0
2001,Nombre de pensionnés,26.8
2002,Nombre d'accidents du travail,3233.0
2002,Nombre d'allocataires,67.2
2002,Nombre d'employeurs du régime général,17.5
2002,Nombre d'enfants d'allocataires,179.9
2002,Nombre de pensionnés,28.2
2003,Dépenses annuelles de consommation par ménage,866.4
2003,Dépenses annuelles de consommation par tête,135.2
2003,Evolution des indices de pauvreté,20685.275
2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,43.375
2003,Indicateurs de pauvreté et contributions des régions à la pauvreté,19.665584415584416
2003,Nombre d'accidents du travail,3089.0
2003,Nombre d'allocataires,70.3
2003,Nombre d'employeurs du régime général,18.7
2003,Nombre d'enfants d'allocataires,186.4
2003,Nombre d'immatriculés,138.3
2003,Nombre de pensionnés,31.9
2003,Population utilisant des combustibles modernes pour cuisiner,2.9
2003,Pourcentage des dépenses alimentaires dans l'ensemble des dépenses des ménages,48.8
2003,Pourcentage des ménages ayant accès à des robinets,21.3
2003,Pourcentage des ménages ayant des toilettes saines,2.1
2003,Pourcentage des ménages disposant de certains biens par région,33.91020408163265
2003,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,11.4
2003,Pourcentage des ménages possédant au moins un téléviseur,11.9
2003,Pourcentage des ménages possédant au moins une voiture,2.9
2003,Profondeur de la pauvreté,0.156
2003,Seuil de pauvreté,82.7
2003,Taux de pauvreté au seuil de pauvreté national,46.4
2004,Nombre d'accidents du travail,2268.0
2004,Nombre d'allocataires,73.4
2004,Nombre d'employeurs du régime général,19.9
2004,Nombre d'enfants d'allocataires,196.9
2004,Nombre d'immatriculés,150.0
2004,Nombre de pensionnés,33.1
2005,Nombre d'accidents du travail,3548.0
2005,Nombre d'allocataires,76.9
2005,Nombre d'employeurs du régime général,21.0
2005,Nombre d'enfants d'allocataires,207.4
2005,Nombre d'immatriculés,162.4
2005,Nombre de pensionnés,33.8
2005,Population utilisant des combustibles modernes pour cuisiner,4.8
2005,Pourcentage des ménages ayant des toilettes saines,4.5
2005,Pourcentage des ménages disposant de certains biens par région,34.10990004247549
2005,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,12.7
2005,Pourcentage des ménages possédant au moins un téléviseur,13.6
2005,Pourcentage des ménages possédant au moins une voiture,3.1
2006,Nombre d'accidents du travail,2143.0
2006,Nombre d'allocataires,72.2
2006,Nombre d'employeurs du régime général,22.4
2006,Nombre d'enfants d'allocataires,192.5
2006,Nombre d'immatriculés,175.3
2006,Nombre de pensionnés,35.5
2006,Population utilisant des combustibles modernes pour cuisiner,4.4
2006,Pourcentage de la population ayant accès à des robinets,27.2
2006,Pourcentage de la population ayant des toilettes saines,0.6
2006,Pourcentage des ménages ayant accès à des robinets,23.8
2006,Pourcentage des ménages ayant des toilettes saines,2.4
2006,Pourcentage des ménages ayant une évacuation saine des ordures,10.1
2006,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,11.6
