annee,valeur_couverture,valeur_epidemiologie,valeur_infrastructures,valeur_nationale
1960,0.0,841.0,0.0,0.0
1975,0.0,629.0,0.0,0.0
1985,0.0,1122.1,0.0,0.0
1990,0.0,0.0,0.0,3402.2
1991,0.0,440.5,0.0,4098.82
1992,0.0,0.0,0.0,1052.55
1993,166.2,1123.4,0.0,4315.3
1994,36.1,452.40000000000003,0.0,3925.4700000000003
1995,0.0,0.0,4173.0,4243.99
1996,0.0,417.29999999999995,5667.0,4783.62
1997,0.0,0.0,6690.0,5174.56
1998,336.4,72.5,2975.0,2169.11
1999,203.3,1088.1,4116.0,5173.11
2000,235.5,0.0,4149.0,3711.32
2001,260.9,0.0,5047.0,6939.1
2002,278.90000000000003,0.0,5811.0,8455.53
2003,539.9,970.4,1351.0,9693.45
2004,1234.7,0.0,8921.0,9847.78
2005,1250.6,32.7,1366.0,5881.759999999999
2006,1245.7,653.7,9256.0,11715.24
2007,1430.5,44.6,10395.0,13034.06
2008,1485.5,0.0,11283.0,13969.94
2009,1439.7,0.0,12402.0,16784.62
2010,1603.5879167201865,721.4,11191.0,20102.94
2011,1451.0124552363345,0.0,14268.0,21592.14
2012,1487.9,0.0,15083.0,29506.61
2013,1414.1957359033054,0.0,15656.0,24184.05
2014,1492.1,32202.6,16931.0,26859.78
2015,415.8,29925.5,18489.0,28080.93
2016,1346.5017609155884,26227.0,18774.0,31190.579999999998
2017,1366.3315841196454,48007.284052794355,32270.0,36863.35
2018,1919.2794552338576,43704.749163518616,33210.0,40430.75
2019,386.7,12880.0,33514.0,21139.07
2020,1314.7,4232033.14018778,37274.0,25160.920000000002
2021,818.7,32176.4,39412.0,45428.4
2022,400.4560566694867,59835.774796988524,11700.0,44060.79
2023,382.6348567030034,176246.44083384427,8028.0,43483.94
2024,0.0,100168.0,0.0,42787.659999999996
