indicateur,branche,Unit,Date,Value
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2007Q1,1.3
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2007Q2,1.3
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2007Q3,108.7
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2007Q4,288.8
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2008Q1,463.6
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2008Q2,379.2
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2008Q3,22.2
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2008Q4,275.7
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2009Q1,820.4
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2009Q2,737.3
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2009Q3,906
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2009Q4,1160.2
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2010Q1,1113.2
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2010Q2,1108.5
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2010Q3,1083.3
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2010Q4,1379.8
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2011Q1,1336.5
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2011Q2,1236.9
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2011Q3,1150.5
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2011Q4,1022
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2012Q1,1236.1
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2012Q2,1055.9
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2012Q3,1091.3
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2012Q4,1275.2
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2013Q1,1041.2
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2013Q2,926.5
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2013Q3,814.9
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2013Q4,1119.7
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2014Q1,1146.3
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2014Q2,1019.9
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2014Q3,897.1
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100  2007,2014Q4,985.2
