"indicateur","branche","sexe","Unit","Date","Value"
"Répartition des travailleurs par branches d'activités selon le sexe","Agriculture, chasse, sylviculture","Homme","%","2003","82.6"
"Répartition des travailleurs par branches d'activités selon le sexe","Agriculture, chasse, sylviculture","Homme","%","2005","82.199333190918"
"Répartition des travailleurs par branches d'activités selon le sexe","Agriculture, chasse, sylviculture","Homme","%","2007","68"
"Répartition des travailleurs par branches d'activités selon le sexe","Agriculture, chasse, sylviculture","Homme","%","2010","78.1872096613156"
"Répartition des travailleurs par branches d'activités selon le sexe","Agriculture, chasse, sylviculture","Femme","%","2003","87.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Agriculture, chasse, sylviculture","Femme","%","2005","87.147102355957"
"Répartition des travailleurs par branches d'activités selon le sexe","Agriculture, chasse, sylviculture","Femme","%","2007","67.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Agriculture, chasse, sylviculture","Femme","%","2010","83.4186472090702"
"Répartition des travailleurs par branches d'activités selon le sexe","Agriculture, chasse, sylviculture","Ensemble","%","2003","84.9"
"Répartition des travailleurs par branches d'activités selon le sexe","Agriculture, chasse, sylviculture","Ensemble","%","2005","84.6927261352539"
"Répartition des travailleurs par branches d'activités selon le sexe","Agriculture, chasse, sylviculture","Ensemble","%","2007","67.4"
"Répartition des travailleurs par branches d'activités selon le sexe","Agriculture, chasse, sylviculture","Ensemble","%","2010","80.9306828868412"
"Répartition des travailleurs par branches d'activités selon le sexe","Pêche, pisciculture, aquaculture","Homme","%","2003","0.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Pêche, pisciculture, aquaculture","Homme","%","2005","0.142914190888405"
"Répartition des travailleurs par branches d'activités selon le sexe","Pêche, pisciculture, aquaculture","Homme","%","2007","0.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Pêche, pisciculture, aquaculture","Homme","%","2010","0.18446622955558"
"Répartition des travailleurs par branches d'activités selon le sexe","Pêche, pisciculture, aquaculture","Femme","%","2003","0"
"Répartition des travailleurs par branches d'activités selon le sexe","Pêche, pisciculture, aquaculture","Femme","%","2005","0.101368680596352"
"Répartition des travailleurs par branches d'activités selon le sexe","Pêche, pisciculture, aquaculture","Femme","%","2007","0"
"Répartition des travailleurs par branches d'activités selon le sexe","Pêche, pisciculture, aquaculture","Femme","%","2010","0.0718158148440989"
"Répartition des travailleurs par branches d'activités selon le sexe","Pêche, pisciculture, aquaculture","Ensemble","%","2003","0"
"Répartition des travailleurs par branches d'activités selon le sexe","Pêche, pisciculture, aquaculture","Ensemble","%","2005","0.121977902948856"
"Répartition des travailleurs par branches d'activités selon le sexe","Pêche, pisciculture, aquaculture","Ensemble","%","2007","0"
"Répartition des travailleurs par branches d'activités selon le sexe","Pêche, pisciculture, aquaculture","Ensemble","%","2010","0.125390039926221"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités extractives","Homme","%","2003","0.6"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités extractives","Homme","%","2005","0.329576343297958"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités extractives","Homme","%","2007","3.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités extractives","Homme","%","2010","0.604098788229943"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités extractives","Femme","%","2003","0.4"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités extractives","Femme","%","2005","0.175730273127556"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités extractives","Femme","%","2007","2.4"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités extractives","Femme","%","2010","0.20481052925097"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités extractives","Ensemble","%","2003","0.5"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités extractives","Ensemble","%","2005","0.252048045396805"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités extractives","Ensemble","%","2007","4.8"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités extractives","Ensemble","%","2010","0.394703829812499"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités de fabrication","Homme","%","2003","2.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités de fabrication","Homme","%","2005","2.10891509056091"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités de fabrication","Homme","%","2007","3.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités de fabrication","Homme","%","2010","3.45046946049985"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités de fabrication","Femme","%","2003","1.6"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités de fabrication","Femme","%","2005","1.80119013786316"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités de fabrication","Femme","%","2007","3.5"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités de fabrication","Femme","%","2010","3.54469446821159"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités de fabrication","Ensemble","%","2003","2"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités de fabrication","Ensemble","%","2005","1.95383858680725"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités de fabrication","Ensemble","%","2007","3.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités de fabrication","Ensemble","%","2010","3.49988298851627"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Homme","%","2003","0.5"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Homme","%","2007","0.4"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Homme","%","2010","0.21329182031629"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Femme","%","2003","0.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Femme","%","2005","0.0477054230868816"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Femme","%","2007","0.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Femme","%","2010","0.0663057201082581"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Ensemble","%","2003","0.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Ensemble","%","2005","0.166697144508362"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Ensemble","%","2007","0.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Ensemble","%","2010","0.136209292471103"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Homme","%","2003","1.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Homme","%","2005","1.2169086933136"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Homme","%","2007","2.9"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Homme","%","2010","1.75725789493326"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Femme","%","2003","0.1"
