"indicateur","milieu","Unit","Date","Value"
"Evolution du taux de chômage selon le milieu de résidence","Ensemble","%","1994","2.6"
"Evolution du taux de chômage selon le milieu de résidence","Ensemble","%","1998","2.5"
"Evolution du taux de chômage selon le milieu de résidence","Ensemble","%","2003","2.8"
"Evolution du taux de chômage selon le milieu de résidence","Ensemble","%","2005","2.74010992050171"
"Evolution du taux de chômage selon le milieu de résidence","Ensemble","%","2007","3.3"
"Evolution du taux de chômage selon le milieu de résidence","Ensemble","%","2010","5.45605618622292"
"Evolution du taux de chômage selon le milieu de résidence","Ensemble","%","2014","14.1"
"Evolution du taux de chômage selon le milieu de résidence","Ensemble","%","2015","4"
"Evolution du taux de chômage selon le milieu de résidence","Ensemble","%","2018","4.7"
"Evolution du taux de chômage selon le milieu de résidence","Ensemble","%","2021","3.9"
"Evolution du taux de chômage selon le milieu de résidence","Urbain","%","1994","15.6"
"Evolution du taux de chômage selon le milieu de résidence","Urbain","%","1998","15.3"
"Evolution du taux de chômage selon le milieu de résidence","Urbain","%","2003","13.8"
"Evolution du taux de chômage selon le milieu de résidence","Urbain","%","2005","10.422830581665"
"Evolution du taux de chômage selon le milieu de résidence","Urbain","%","2007","8.6"
"Evolution du taux de chômage selon le milieu de résidence","Urbain","%","2010","19.4348574234873"
"Evolution du taux de chômage selon le milieu de résidence","Urbain","%","2014","13"
"Evolution du taux de chômage selon le milieu de résidence","Urbain","%","2015","11.6"
"Evolution du taux de chômage selon le milieu de résidence","Urbain","%","2018","7.4"
"Evolution du taux de chômage selon le milieu de résidence","Urbain","%","2021","7.1"
"Evolution du taux de chômage selon le milieu de résidence","Rural","%","1994","0.8"
"Evolution du taux de chômage selon le milieu de résidence","Rural","%","1998","0.5"
"Evolution du taux de chômage selon le milieu de résidence","Rural","%","2003","0.8"
"Evolution du taux de chômage selon le milieu de résidence","Rural","%","2005","0.773467183113098"
"Evolution du taux de chômage selon le milieu de résidence","Rural","%","2007","2.2"
"Evolution du taux de chômage selon le milieu de résidence","Rural","%","2010","1.05959637971729"
"Evolution du taux de chômage selon le milieu de résidence","Rural","%","2014","14.5"
"Evolution du taux de chômage selon le milieu de résidence","Rural","%","2015","1.6"
"Evolution du taux de chômage selon le milieu de résidence","Rural","%","2018","3.3"
"Evolution du taux de chômage selon le milieu de résidence","Rural","%","2021","2.6"
