"indicateur","tranche-d-age","Unit","Date","Value"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","18 à 30 ans","Nombre","2010","649"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","18 à 30 ans","Nombre","2012","1297"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","18 à 30 ans","Nombre","2013","1514"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","18 à 30 ans","Nombre","2014","1516"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","18 à 30 ans","Nombre","2015","1293"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","18 à 30 ans","Nombre","2016","2435"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","18 à 30 ans","Nombre","2017","2670"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","18 à 30 ans","Nombre","2018","4961"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","18 à 30 ans","Nombre","2019","5878"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","30 à 55 ans","Nombre","2010","3192"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","30 à 55 ans","Nombre","2012","3927"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","30 à 55 ans","Nombre","2013","4820"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","30 à 55 ans","Nombre","2014","5765"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","30 à 55 ans","Nombre","2015","5467"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","30 à 55 ans","Nombre","2016","7776"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","30 à 55 ans","Nombre","2017","9515"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","30 à 55 ans","Nombre","2018","6475"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","30 à 55 ans","Nombre","2019","6416"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","55 ans et plus","Nombre","2010","729"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","55 ans et plus","Nombre","2011","912"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","55 ans et plus","Nombre","2012","704"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","55 ans et plus","Nombre","2013","846"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","55 ans et plus","Nombre","2014","1280"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","55 ans et plus","Nombre","2015","804"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","55 ans et plus","Nombre","2016","1450"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","55 ans et plus","Nombre","2017","424"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","55 ans et plus","Nombre","2018","1075"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","55 ans et plus","Nombre","2019","843"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","Ensemble","Nombre","2010","4570"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","Ensemble","Nombre","2011","4949"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","Ensemble","Nombre","2012","5928"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","Ensemble","Nombre","2013","7180"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","Ensemble","Nombre","2014","8561"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","Ensemble","Nombre","2015","7564"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","Ensemble","Nombre","2016","11661"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","Ensemble","Nombre","2017","12609"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","Ensemble","Nombre","2018","12511"
"Création des entreprises enregistrées au CEFORE selon l’âge du promoteur","Ensemble","Nombre","2019","13137"
