"indicateur","type","rubrique","Unit","Date","Value"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2003","1255"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2004","1374"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2005","1457"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2006","1797"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2007","1808"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2008","1741"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2009","2885"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2011","2104"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2012","2290"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2013","10615"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2014","11566"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2015","12550"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2016","13032"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2017","13326"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2018","12702"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2019","13792"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2020","24192"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2021","18477"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2022","20349"
"Nombre et coût de projets financés par type de fonds","Ensemble","Nombre","Nombre","2023","15106"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2003","957000000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2004","912300000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2005","1310000000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2006","1522000000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2007","1426300000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2008","1461500000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2009","2465200000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2010","2170000000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2011","1370600000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2012","1636400000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2013","8802584000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2014","10008400000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2015","11837100000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2016","12122800000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2017","12731800000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2018","12189500000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2019","13459500000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2020","22963905000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2021","18099000000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2022","23431300000"
"Nombre et coût de projets financés par type de fonds","Ensemble","Coût","FCFA","2023","199469000"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2003","59"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2004","60"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2005","107"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2006","56"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2007","39"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2008","25"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2009","42"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2010","95"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2011","103"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2012","48"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2013","157"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2014","234"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2015","101"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2016","140"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2017","105"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2018","84"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2019","62"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2020","95"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2022","64"
"Nombre et coût de projets financés par type de fonds","FONADR","Nombre","Nombre","2023","76"
"Nombre et coût de projets financés par type de fonds","FONADR","Coût","FCFA","2003","197600000"
"Nombre et coût de projets financés par type de fonds","FONADR","Coût","FCFA","2004","234100000"
"Nombre et coût de projets financés par type de fonds","FONADR","Coût","FCFA","2005","296000000"
"Nombre et coût de projets financés par type de fonds","FONADR","Coût","FCFA","2006","288400000"
"Nombre et coût de projets financés par type de fonds","FONADR","Coût","FCFA","2007","155000000"
