"indicateur","localité","Unit","Date","Value"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2011","2"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2012","74"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2013","100"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2014","141"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2015","115"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2016","216"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2017","264"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2018","218"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2019","241"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2020","250"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2021","323"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2022","401"
"Création des entreprises enregistrées au CEFORE par localité","Dédougou","Nombre","2023","463"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2010","3611"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2011","3771"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2012","4374"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2013","5293"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2014","5760"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2015","5223"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2016","7466"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2017","8133"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2018","8332"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2019","8837"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2020","10691"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2021","12093"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2022","12895"
"Création des entreprises enregistrées au CEFORE par localité","Ouagadougou","Nombre","2023","14953"
"Création des entreprises enregistrées au CEFORE par localité","Tenkodogo","Nombre","2010","126"
"Création des entreprises enregistrées au CEFORE par localité","Tenkodogo","Nombre","2011","141"
"Création des entreprises enregistrées au CEFORE par localité","Tenkodogo","Nombre","2012","189"
"Création des entreprises enregistrées au CEFORE par localité","Tenkodogo","Nombre","2013","195"
"Création des entreprises enregistrées au CEFORE par localité","Tenkodogo","Nombre","2014","289"
