"indicateur","région","produits","Unit","Date","Value"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2024M1","1450.36"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2024M2","1163.28"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2024M3","1017.86"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2024M4","2353.22"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2024M5","1432.67"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2024M6","1432.67"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2024M7","732.445"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2024M8","1125.32"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2024M9","544.378"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2024M11","201.756371852055"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2024M12","201.756"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2025M1","349.319913272493"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2025M2","174.50372135846"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2025M3","322.55658817816"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2025M4","270.863940364165"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2025M5","562.44275015762"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2025M6","794.933853257891"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2025M7","459.480258038761"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2025M8","344.102078589176"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Aubergine locale 'koumba'","FCFA/kg","2025M9","216.250360849075"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Farine de blé","FCFA/kg","2024M1","575"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Farine de blé","FCFA/kg","2024M2","575"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Farine de blé","FCFA/kg","2024M3","575"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Farine de blé","FCFA/kg","2024M4","575"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Farine de blé","FCFA/kg","2024M5","575"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Farine de blé","FCFA/kg","2024M6","575"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Farine de blé","FCFA/kg","2024M7","525"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Farine de blé","FCFA/kg","2024M8","550"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Farine de blé","FCFA/kg","2024M9","600"
