date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
1992-01-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,53,0.13
1992-01-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,90,0.21
1992-01-15,CENTRE-EST,BOULGOU,Tenkodogo,140,11.78,-0.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,77,0.18
1992-01-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,55.5,0.13
1992-01-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,69,0.16
1992-01-15,EST,GOURMA,Fada N'Gourma,134,12.06,0.36,cereals and tubers,Millet,73,KG,actual,Retail,XOF,70.25,0.17
1992-01-15,SAHEL,OUDALAN,Gorom Gorom,135,14.44,-0.24,cereals and tubers,Millet,73,KG,actual,Retail,XOF,75.75,0.18
1992-01-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,57.67,0.14
1992-02-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,61.6,0.15
1992-02-15,CASCADES,COMOÉ,Banfora,129,10.63,-4.77,cereals and tubers,Millet,73,KG,actual,Retail,XOF,78,0.19
1992-02-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,58,0.14
1992-02-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,70.4,0.17
1992-02-15,EST,GOURMA,Fada N'Gourma,134,12.06,0.36,cereals and tubers,Millet,73,KG,actual,Retail,XOF,77.6,0.18
1992-02-15,SAHEL,OUDALAN,Gorom Gorom,135,14.44,-0.24,cereals and tubers,Millet,73,KG,actual,Retail,XOF,83.25,0.2
1992-02-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,61,0.15
1992-02-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,71,0.17
1992-03-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,69,0.16
1992-03-15,CASCADES,COMOÉ,Banfora,129,10.63,-4.77,cereals and tubers,Millet,73,KG,actual,Retail,XOF,82.33,0.2
1992-03-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,87.25,0.21
1992-03-15,CENTRE-EST,BOULGOU,Tenkodogo,140,11.78,-0.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,80.75,0.19
1992-03-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,64,0.15
1992-03-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,71.75,0.17
1992-03-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,62,0.15
1992-03-15,SAHEL,SÉNO,Dori,133,14.03,-0.03,cereals and tubers,Millet,73,KG,actual,Retail,XOF,90,0.21
1992-03-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,78,0.19
1992-04-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,66,0.16
1992-04-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,83.5,0.2
1992-04-15,CENTRE-EST,BOULGOU,Tenkodogo,140,11.78,-0.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,80,0.19
1992-04-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,71,0.17
1992-04-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,65,0.15
1992-04-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,79.67,0.19
1992-05-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,68,0.16
1992-05-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,87,0.21
1992-05-15,CENTRE-EST,BOULGOU,Tenkodogo,140,11.78,-0.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,79,0.19
1992-05-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,64,0.15
