"indicateurs","rubriques","Unit","Date","Value"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2000","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2001","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2002","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2003","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2004","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2005","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2006","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2007","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2008","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2009","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2010","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2011","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2012","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2013","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2014","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2015","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2016","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2017","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2018","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2019","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2020","1"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2021","2"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2022","2"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'opérateurs","","2023","2"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2000","53217"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2001","58036"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2002","61908"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2003","66639"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2004","85225"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2005","91191"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2006","94758"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2007","116746"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2008","148157"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2009","152461"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2010","143963"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2011","141529"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2012","141358"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2013","137421"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2014","124595"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2015","75075"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2016","75727"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2017","76000"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2018","76760"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2019","75291"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2020","75039"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2021","81374"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2022","82473"
"Indicateurs de télécommunications de téléphonie fixe","Nombre d'abonnement","","2023","81718"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2000","0.469001170365775"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2001","0.499327487541118"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2002","0.519967139635635"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2003","0.546355571639654"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2004","0.682037731071542"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2005","0.71230269728475"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2006","0.67600933762956"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2007","0.81915451656931"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2008","1.0057383776859"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2009","1.00140034864215"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2010","0.91515612793789"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2011","0.871024985724887"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2012","0.842459410773072"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2013","0.793295724316098"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2014","0.69"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2015","0.406899674339343"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2016","0.4"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2018","0.4"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2019","0.36"
