"indicateurs","rubriques","Unit","Date","Value"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2000","1"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2001","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2002","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2003","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2004","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2005","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2006","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2007","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2008","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2009","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2010","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2011","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2012","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2013","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2014","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2015","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2016","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2017","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2018","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2019","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2020","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2021","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2022","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'opérateurs","Nombre","2023","3"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2000","30245"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2001","76186"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2002","111013"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2003","238094"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2004","395939"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2005","633554"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2006","1016605"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2007","1858039"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2008","3024150"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2009","3823625"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2010","5707850"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2011","7682100"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2012","9976105"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2013","11240886"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2014","12496391"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2015","14446897"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2016","15404040"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2017","17946375"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2018","19339109"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2019","20364508"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2020","22117218"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2021","24708389"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2022","25659436"
"Indicateurs de télécommunications de téléphonie mobile","Nombre d'abonnements","Nombre","2023","26747464"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2000","69201092"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2001","5354887693"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2002","16089828108"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2003","26135146503"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2004","40569153594"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2005","52034300000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2006","68578708000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2007","100689400000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2008","124646441000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2009","147679239000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2010","163432800000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2011","185736790000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2012","259209764610"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2013","263566730000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2014","275789140000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2015","298576000000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2016","297802200000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2017","318824700000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2018","78560900000"
"Indicateurs de télécommunications de téléphonie mobile","Chiffre d'affaires (en millions FCFA)","FCFA","2019","87231000000"
