"indicateurs","rubriques","Unit","Date","Value"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","ONATEL SA","Nombre","2019","8546348"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","ONATEL SA","Nombre","2020","9387859"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","ONATEL SA","Nombre","2021","10456670"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","ONATEL SA","Nombre","2022","11047958"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","ONATEL SA","Nombre","2023","11563016"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","TELECEL FASO SA","Nombre","2019","2947876"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","TELECEL FASO SA","Nombre","2020","3135518"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","TELECEL FASO SA","Nombre","2021","3323092"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","TELECEL FASO SA","Nombre","2022","3075947"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","TELECEL FASO SA","Nombre","2023","2902575"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","ORANGE BF SA","Nombre","2019","8870284"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","ORANGE BF SA","Nombre","2020","9593841"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","ORANGE BF SA","Nombre","2021","10928627"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","ORANGE BF SA","Nombre","2022","11535531"
"Nombre d’abonnements actifs par opérateur de téléphonie mobile","ORANGE BF SA","Nombre","2023","12281873"
