"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8"
2865,"trDefinition","Countries having defined UAS",,,33,"BFA","Burkina Faso","Yes",2015,"","","",,,,,,,,
2865,"trDefinition","Countries having defined UAS",,,33,"BFA","Burkina Faso","Yes",2017,"","","",,,,,,,,
2865,"trDefinition","Countries having defined UAS",,,33,"BFA","Burkina Faso","Yes",2018,"","","",,,,,,,,
2865,"trDefinition","Countries having defined UAS",,,33,"BFA","Burkina Faso","Yes",2019,"","","",,,,,,,,
2865,"trDefinition","Countries having defined UAS",,,33,"BFA","Burkina Faso","Yes",2022,"","","",,,,,,,,
3071,"trOthFinanceMech","Financing mechanisms for universal access",,,33,"BFA","Burkina Faso","No",2015,"","","",,,,,,,,
3071,"trOthFinanceMech","Financing mechanisms for universal access",,,33,"BFA","Burkina Faso","No",2017,"","","",,,,,,,,
3071,"trOthFinanceMech","Financing mechanisms for universal access",,,33,"BFA","Burkina Faso","No",2018,"","","",,,,,,,,
3071,"trOthFinanceMech","Financing mechanisms for universal access",,,33,"BFA","Burkina Faso","No",2019,"","","",,,,,,,,
3071,"trOthFinanceMech","Financing mechanisms for universal access",,,33,"BFA","Burkina Faso","Yes",2022,"","","",,,,,,,,
3183,"trUSF_IsOperational","Countries with an operational Universal Service Fund (USF)",,,33,"BFA","Burkina Faso","Yes",2015,"","","",,,,,,,,
3183,"trUSF_IsOperational","Countries with an operational Universal Service Fund (USF)",,,33,"BFA","Burkina Faso","Yes",2017,"","","",,,,,,,,
3183,"trUSF_IsOperational","Countries with an operational Universal Service Fund (USF)",,,33,"BFA","Burkina Faso","Yes",2018,"","","",,,,,,,,
3183,"trUSF_IsOperational","Countries with an operational Universal Service Fund (USF)",,,33,"BFA","Burkina Faso","Yes",2019,"","","",,,,,,,,
3183,"trUSF_IsOperational","Countries with an operational Universal Service Fund (USF)",,,33,"BFA","Burkina Faso","Yes",2022,"","","",,,,,,,,
3197,"trUSFOtherSource_YesNo","USF financing","trUSF_HowFundsUsedSelect",,33,"BFA","Burkina Faso","No",2015,"","","",,,,,,,,
3197,"trUSFOtherSource_YesNo","USF financing","trUSF_HowFundsUsedSelect",,33,"BFA","Burkina Faso","Yes",2017,"","","",,,,,,,,
3197,"trUSFOtherSource_YesNo","USF financing","trUSF_HowFundsUsedSelect",,33,"BFA","Burkina Faso","Yes",2018,"","","",,,,,,,,
3197,"trUSFOtherSource_YesNo","USF financing","trUSF_HowFundsUsedSelect",,33,"BFA","Burkina Faso","Yes",2019,"","","",,,,,,,,
3197,"trUSFOtherSource_YesNo","USF financing","trUSF_HowFundsUsedSelect",,33,"BFA","Burkina Faso","Yes",2022,"","","",,,,,,,,
3945,"trQOS_MonitoringRequired","Quality of service monitoring required",,,33,"BFA","Burkina Faso","Yes",2015,"","","",,,,,,,,
3945,"trQOS_MonitoringRequired","Quality of service monitoring required",,,33,"BFA","Burkina Faso","Yes",2017,"","","",,,,,,,,
3945,"trQOS_MonitoringRequired","Quality of service monitoring required",,,33,"BFA","Burkina Faso","Yes",2018,"","","",,,,,,,,
3945,"trQOS_MonitoringRequired","Quality of service monitoring required",,,33,"BFA","Burkina Faso","Yes",2019,"","","",,,,,,,,
3945,"trQOS_MonitoringRequired","Quality of service monitoring required",,,33,"BFA","Burkina Faso","Yes",2022,"","","",,,,,,,,
4330,"trUSAdopted","Universal Access/Service (UAS) policy",,,33,"BFA","Burkina Faso","No",2015,"","","",,,,,,,,
4330,"trUSAdopted","Universal Access/Service (UAS) policy",,,33,"BFA","Burkina Faso","Yes",2017,"","","",,,,,,,,
4330,"trUSAdopted","Universal Access/Service (UAS) policy",,,33,"BFA","Burkina Faso","Yes",2018,"","","",,,,,,,,
4330,"trUSAdopted","Universal Access/Service (UAS) policy",,,33,"BFA","Burkina Faso","Yes",2019,"","","",,,,,,,,
4330,"trUSAdopted","Universal Access/Service (UAS) policy",,,33,"BFA","Burkina Faso","Yes",2022,"","","",,,,,,,,
21642,"trMunicipalNetworkInitiativesExist","Municipal network initiatives",,,33,"BFA","Burkina Faso","No",2017,"","","",,,,,,,,
21642,"trMunicipalNetworkInitiativesExist","Municipal network initiatives",,,33,"BFA","Burkina Faso","No",2018,"","","",,,,,,,,
21642,"trMunicipalNetworkInitiativesExist","Municipal network initiatives",,,33,"BFA","Burkina Faso","No",2019,"","","",,,,,,,,
21642,"trMunicipalNetworkInitiativesExist","Municipal network initiatives",,,33,"BFA","Burkina Faso","No",2022,"","","",,,,,,,,
54,"i1313wm","Fixed-to-mobile telephone traffic",,"minutes",33,"BFA","Burkina Faso","2.56247e+007",2015,"","Autorité de Régulation des Communications Électroniques et des Postes (ARCEP)","Refers to total traffic from all fixed-telephone networks to all mobile-cellular networks within the country",,,,,,,,
54,"i1313wm","Fixed-to-mobile telephone traffic",,"minutes",33,"BFA","Burkina Faso","2.21807e+007",2016,"","Autorité de régulation des communications","Refers to total traffic from all fixed-telephone networks to all mobile-cellular networks within the country",,,,,,,,
54,"i1313wm","Fixed-to-mobile telephone traffic",,"minutes",33,"BFA","Burkina Faso","1.76813e+007",2017,"","Autorité de régulation des communications","Refers to total traffic from all fixed-telephone networks to all mobile-cellular networks within the country",,,,,,,,
54,"i1313wm","Fixed-to-mobile telephone traffic",,"minutes",33,"BFA","Burkina Faso","1.83174e+007",2018,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to total traffic from all fixed-telephone networks to all mobile-cellular networks within the country",,,,,,,,
54,"i1313wm","Fixed-to-mobile telephone traffic",,"minutes",33,"BFA","Burkina Faso","1.32482e+007",2020,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to total traffic from all fixed-telephone networks to all mobile-cellular networks within the country",,,,,,,,
56,"i131m","Domestic fixed-to-fixed telephone traffic",,"minutes",33,"BFA","Burkina Faso","1.2388e+007",2015,"","Autorité de Régulation des Communications Électroniques et des Postes (ARCEP)","Refers to completed local and domestic long distance fixed-telephone voice traffic",,,,,,,,
56,"i131m","Domestic fixed-to-fixed telephone traffic",,"minutes",33,"BFA","Burkina Faso","8.62371e+006",2016,"","Autorité de régulation des communications","Refers to completed local and domestic long distance fixed-telephone voice traffic",,,,,,,,
56,"i131m","Domestic fixed-to-fixed telephone traffic",,"minutes",33,"BFA","Burkina Faso","6.97787e+006",2017,"","Autorité de régulation des communications","Refers to completed local and domestic long distance fixed-telephone voice traffic",,,,,,,,
56,"i131m","Domestic fixed-to-fixed telephone traffic",,"minutes",33,"BFA","Burkina Faso","5.09375e+006",2018,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to completed local and domestic long distance fixed-telephone voice traffic",,,,,,,,
56,"i131m","Domestic fixed-to-fixed telephone traffic",,"minutes",33,"BFA","Burkina Faso","4.88817e+006",2020,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to completed local and domestic long distance fixed-telephone voice traffic",,,,,,,,
63,"i132m","International outgoing fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","4.21012e+006",2015,"","Autorité de Régulation des Communications Électroniques et des Postes (ARCEP)","Refers to effective (completed) fixed telephone voice traffic originating in a given country to destinations outside that country, including traffic to mobile phones outside the country.",,,,,,,,
63,"i132m","International outgoing fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","4.16197e+006",2016,"","Autorité de régulation des communications","Refers to effective (completed) fixed telephone voice traffic originating in a given country to destinations outside that country, including traffic to mobile phones outside the country.",,,,,,,,
63,"i132m","International outgoing fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","3.34753e+006",2017,"","Autorité de régulation des communications","Refers to effective (completed) fixed telephone voice traffic originating in a given country to destinations outside that country, including traffic to mobile phones outside the country.",,,,,,,,
63,"i132m","International outgoing fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","2.68653e+006",2018,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to effective (completed) fixed telephone voice traffic originating in a given country to destinations outside that country, including traffic to mobile phones outside the country.",,,,,,,,
63,"i132m","International outgoing fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","1.55418e+006",2020,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to effective (completed) fixed telephone voice traffic originating in a given country to destinations outside that country, including traffic to mobile phones outside the country.",,,,,,,,
64,"i132mb","International incoming and outgoing fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","6.42006e+006",2015,"","","Refers to the sum of international incoming and outgoing fixed-telephone traffic",,,,,,,,
64,"i132mb","International incoming and outgoing fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","6.37893e+006",2016,"","","Refers to the sum of international incoming and outgoing fixed-telephone traffic",,,,,,,,
64,"i132mb","International incoming and outgoing fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","5.03087e+006",2017,"","","Refers to the sum of international incoming and outgoing fixed-telephone traffic",,,,,,,,
64,"i132mb","International incoming and outgoing fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","3.91634e+006",2018,"","","Refers to the sum of international incoming and outgoing fixed-telephone traffic",,,,,,,,
64,"i132mb","International incoming and outgoing fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","2.20449e+006",2020,"","","Refers to the sum of international incoming and outgoing fixed-telephone traffic",,,,,,,,
65,"i132mi","International incoming fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","2.20995e+006",2015,"","Autorité de Régulation des Communications Électroniques et des Postes (ARCEP)","Refers to effective (completed) fixed-telephone voice traffic originating outside the country with a destination inside the country, irrespective of whether the call was from a fixed or mobile subscriber",,,,,,,,
65,"i132mi","International incoming fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","2.21696e+006",2016,"","Autorité de régulation des communications","Refers to effective (completed) fixed-telephone voice traffic originating outside the country with a destination inside the country, irrespective of whether the call was from a fixed or mobile subscriber",,,,,,,,
65,"i132mi","International incoming fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","1.68334e+006",2017,"","Autorité de régulation des communications","Refers to effective (completed) fixed-telephone voice traffic originating outside the country with a destination inside the country, irrespective of whether the call was from a fixed or mobile subscriber",,,,,,,,
65,"i132mi","International incoming fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","1.22981e+006",2018,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to effective (completed) fixed-telephone voice traffic originating outside the country with a destination inside the country, irrespective of whether the call was from a fixed or mobile subscriber",,,,,,,,
65,"i132mi","International incoming fixed-telephone traffic",,"minutes",33,"BFA","Burkina Faso","650302",2020,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to effective (completed) fixed-telephone voice traffic originating outside the country with a destination inside the country, irrespective of whether the call was from a fixed or mobile subscriber",,,,,,,,
76,"i1332wmf","Outgoing mobile traffic to fixed networks",,"minutes",33,"BFA","Burkina Faso","2.11719e+007",2015,"","Autorité de Régulation des Communications Électroniques et des Postes (ARCEP)","Refers to the number of minutes of calls made from mobile-cellular networks to fixedline telephone networks within the country",,,,,,,,
76,"i1332wmf","Outgoing mobile traffic to fixed networks",,"minutes",33,"BFA","Burkina Faso","2.36853e+007",2016,"","Autorité de régulation des communications","Refers to the number of minutes of calls made from mobile-cellular networks to fixedline telephone networks within the country",,,,,,,,
76,"i1332wmf","Outgoing mobile traffic to fixed networks",,"minutes",33,"BFA","Burkina Faso","2.12129e+007",2017,"","Autorité de régulation des communications","Refers to the number of minutes of calls made from mobile-cellular networks to fixedline telephone networks within the country",,,,,,,,
76,"i1332wmf","Outgoing mobile traffic to fixed networks",,"minutes",33,"BFA","Burkina Faso","2.19665e+007",2018,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to the number of minutes of calls made from mobile-cellular networks to fixedline telephone networks within the country",,,,,,,,
80,"i133sms","SMS sent",,"count",33,"BFA","Burkina Faso","1.85995e+009",2015,"","Autorité de Régulation des Communications Électroniques et des Postes (ARCEP)","Refers to the total number of mobile short-message service (SMS) messages sent, both to national and international destinations",,,,,,,,
80,"i133sms","SMS sent",,"count",33,"BFA","Burkina Faso","3.66268e+009",2016,"","Autorité de régulation des communications","Refers to the total number of mobile short-message service (SMS) messages sent, both to national and international destinations",,,,,,,,
80,"i133sms","SMS sent",,"count",33,"BFA","Burkina Faso","5.56713e+009",2017,"","Autorité de régulation des communications","Refers to the total number of mobile short-message service (SMS) messages sent, both to national and international destinations",,,,,,,,
80,"i133sms","SMS sent",,"count",33,"BFA","Burkina Faso","7.07193e+009",2018,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to the total number of mobile short-message service (SMS) messages sent, both to national and international destinations",,,,,,,,
80,"i133sms","SMS sent",,"count",33,"BFA","Burkina Faso","1.3482e+008",2020,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to the total number of mobile short-message service (SMS) messages sent, both to national and international destinations",,,,,,,,
82,"i133wm","Domestic mobile-telephone traffic",,"minutes",33,"BFA","Burkina Faso","6.29692e+009",2015,"","Autorité de Régulation des Communications Électroniques et des Postes (ARCEP)","Domestic mobile-telephone traffic refers to the total number of minutes of calls made by mobile subscribers within a country (including minutes to fixed-telephone and minutes to mobile-phone subscribers)",,,,,,,,
82,"i133wm","Domestic mobile-telephone traffic",,"minutes",33,"BFA","Burkina Faso","7.09996e+009",2016,"","Autorité de régulation des communications","Domestic mobile-telephone traffic refers to the total number of minutes of calls made by mobile subscribers within a country (including minutes to fixed-telephone and minutes to mobile-phone subscribers)",,,,,,,,
82,"i133wm","Domestic mobile-telephone traffic",,"minutes",33,"BFA","Burkina Faso","8.33574e+009",2017,"","Autorité de régulation des communications","Domestic mobile-telephone traffic refers to the total number of minutes of calls made by mobile subscribers within a country (including minutes to fixed-telephone and minutes to mobile-phone subscribers)",,,,,,,,
82,"i133wm","Domestic mobile-telephone traffic",,"minutes",33,"BFA","Burkina Faso","8.26148e+009",2018,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Domestic mobile-telephone traffic refers to the total number of minutes of calls made by mobile subscribers within a country (including minutes to fixed-telephone and minutes to mobile-phone subscribers)",,,,,,,,
82,"i133wm","Domestic mobile-telephone traffic",,"minutes",33,"BFA","Burkina Faso","1.13584e+010",2020,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Domestic mobile-telephone traffic refers to the total number of minutes of calls made by mobile subscribers within a country (including minutes to fixed-telephone and minutes to mobile-phone subscribers)",,,,,,,,
447,"i1333wm","Outgoing mobile traffic to international",,"minutes",33,"BFA","Burkina Faso","1.92003e+008",2015,"","Autorité de Régulation des Communications Électroniques et des Postes (ARCEP)","Refers to the number of mobile minutes originating in a country to any destinations outside that country",,,,,,,,
447,"i1333wm","Outgoing mobile traffic to international",,"minutes",33,"BFA","Burkina Faso","2.03499e+008",2016,"","Autorité de régulation des communications","Refers to the number of mobile minutes originating in a country to any destinations outside that country",,,,,,,,
447,"i1333wm","Outgoing mobile traffic to international",,"minutes",33,"BFA","Burkina Faso","2.09632e+008",2017,"","Autorité de régulation des communications","Refers to the number of mobile minutes originating in a country to any destinations outside that country",,,,,,,,
447,"i1333wm","Outgoing mobile traffic to international",,"minutes",33,"BFA","Burkina Faso","2.55777e+008",2018,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to the number of mobile minutes originating in a country to any destinations outside that country",,,,,,,,
447,"i1333wm","Outgoing mobile traffic to international",,"minutes",33,"BFA","Burkina Faso","2.3177e+008",2020,"","Autorité de régulation des communications électroniques et des Postes (ARCEP)","Refers to the number of mobile minutes originating in a country to any destinations outside that country",,,,,,,,
4250,"i132tb","Total international telephone traffic",,"minutes",33,"BFA","Burkina Faso","6.05029e+008",2015,"","","Refers to the sum of international incoming and outgoing telephone traffic",,,,,,,,
4250,"i132tb","Total international telephone traffic",,"minutes",33,"BFA","Burkina Faso","5.96565e+008",2016,"","","Refers to the sum of international incoming and outgoing telephone traffic",,,,,,,,
4250,"i132tb","Total international telephone traffic",,"minutes",33,"BFA","Burkina Faso","6.42107e+008",2017,"","","Refers to the sum of international incoming and outgoing telephone traffic",,,,,,,,
4250,"i132tb","Total international telephone traffic",,"minutes",33,"BFA","Burkina Faso","7.23168e+008",2018,"","","Refers to the sum of international incoming and outgoing telephone traffic",,,,,,,,
