"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4"
3099,"trRA_CollegialBody","Is the Regulatory Authority a collegial body?",,,33,"BFA","Burkina Faso","Yes",2015,"","","",,,,
3099,"trRA_CollegialBody","Is the Regulatory Authority a collegial body?",,,33,"BFA","Burkina Faso","Yes",2017,"","","",,,,
3099,"trRA_CollegialBody","Is the Regulatory Authority a collegial body?",,,33,"BFA","Burkina Faso","Yes",2018,"","","",,,,
3099,"trRA_CollegialBody","Is the Regulatory Authority a collegial body?",,,33,"BFA","Burkina Faso","Yes",2019,"","","",,,,
3099,"trRA_CollegialBody","Is the Regulatory Authority a collegial body?",,,33,"BFA","Burkina Faso","Yes",2022,"","","",,,,
3117,"trRAHeadResponsibleForDaily","Is the Head of the Commission also responsible for day-to-day administrative matters?",,,33,"BFA","Burkina Faso","Yes",2015,"","","",,,,
3117,"trRAHeadResponsibleForDaily","Is the Head of the Commission also responsible for day-to-day administrative matters?",,,33,"BFA","Burkina Faso","No",2017,"","","",,,,
3117,"trRAHeadResponsibleForDaily","Is the Head of the Commission also responsible for day-to-day administrative matters?",,,33,"BFA","Burkina Faso","Yes",2018,"","","",,,,
3117,"trRAHeadResponsibleForDaily","Is the Head of the Commission also responsible for day-to-day administrative matters?",,,33,"BFA","Burkina Faso","Yes",2019,"","","",,,,
3117,"trRAHeadResponsibleForDaily","Is the Head of the Commission also responsible for day-to-day administrative matters?",,,33,"BFA","Burkina Faso","Yes",2022,"","","",,,,
3144,"trSeparate_Regulator","Separate ICT regulator",,,33,"BFA","Burkina Faso","Yes",2015,"","","",,,,
12577,"trNormalPeriodOfAppointmentRenewable","Is the term of Head/Commissioners renewable?",,,33,"BFA","Burkina Faso","No",2015,"","","",,,,
11731,"trNatBBPlan","National broadband plan exists",,,33,"BFA","Burkina Faso","No",2015,"","","",,,,
3144,"trSeparate_Regulator","Separate ICT regulator",,,33,"BFA","Burkina Faso","Yes",2017,"","","",,,,
11731,"trNatBBPlan","National broadband plan exists",,,33,"BFA","Burkina Faso","No",2017,"","","",,,,
21666,"trDoesRegulatorResponsibilitiesToCC","National entity responsible for cloud computing",,,33,"BFA","Burkina Faso","No",2017,"","","",,,,
21668,"trCountryPolicyCC","Cloud computing policies",,,33,"BFA","Burkina Faso","No",2017,"","","",,,,
21562,"trDoesLawClearSelectionHead","Does the law establish a clear appointment process and selection criteria for the Head/Chairperson/Commissioners of the ICT Regulatory Authority?",,,33,"BFA","Burkina Faso","Yes",2017,"","","",,,,
12577,"trNormalPeriodOfAppointmentRenewable","Is the term of Head/Commissioners renewable?",,,33,"BFA","Burkina Faso","No",2017,"","","",,,,
21565,"trAreGroundsRemovalHeadSet","Are the grounds for removal of the Head/Commissioners of the ICT Regulatory Authority set forth in the law?",,,33,"BFA","Burkina Faso","Yes",2017,"","","",,,,
3144,"trSeparate_Regulator","Separate ICT regulator",,,33,"BFA","Burkina Faso","Yes",2018,"","","",,,,
21565,"trAreGroundsRemovalHeadSet","Are the grounds for removal of the Head/Commissioners of the ICT Regulatory Authority set forth in the law?",,,33,"BFA","Burkina Faso","Yes",2018,"","","",,,,
21666,"trDoesRegulatorResponsibilitiesToCC","National entity responsible for cloud computing",,,33,"BFA","Burkina Faso","No",2018,"","","",,,,
12577,"trNormalPeriodOfAppointmentRenewable","Is the term of Head/Commissioners renewable?",,,33,"BFA","Burkina Faso","No",2018,"","","",,,,
