domaine,chemin_relatif,format,nb_lignes,nb_colonnes,nb_valeurs_vides,ratio_valeurs_vides,colonnes,statut_analyse,message
education,data_raw/education/acces_numerique/ITU/itu_data_extract_1775481045210.csv,csv,293,13,597,0.156734,"﻿""seriesID"" | seriesCode | seriesName | seriesParent | seriesUnits | entityID | entityIso | entityName | dataValue | dataYear | dataNote | dataSource | seriesDescription",OK,"Delimiteur detecte: ,"
education,data_raw/education/acces_numerique/ITU/itu_data_extract_1775484548867.csv,csv,260,13,486,0.143787,"﻿""seriesID"" | seriesCode | seriesName | seriesParent | seriesUnits | entityID | entityIso | entityName | dataValue | dataYear | dataNote | dataSource | seriesDescription",OK,"Delimiteur detecte: ,"
education,data_raw/education/acces_numerique/ITU/itu_data_extract_1775484721989.csv,csv,177,16,1148,0.405367,"﻿""seriesID"" | seriesCode | seriesName | seriesParent | seriesUnits | entityID | entityIso | entityName | dataValue | dataYear | dataNote | dataSource | seriesDescription | dataValue 1 | dataValue 2 | dataValue 3",OK,"Delimiteur detecte: ,"
education,data_raw/education/acces_numerique/ITU/itu_data_extract_1775484841053.csv,csv,167,21,1820,0.518962,"﻿""seriesID"" | seriesCode | seriesName | seriesParent | seriesUnits | entityID | entityIso | entityName | dataValue | dataYear | dataNote | dataSource | seriesDescription | dataValue 1 | dataValue 2 | dataValue 3 | dataValue 4 | dataValue 5 | dataValue 6 | dataValue 7 | dataValue 8",OK,"Delimiteur detecte: ,"
education,data_raw/education/acces_numerique/ITU/itu_data_extract_1775486509768.csv,csv,250,16,1622,0.4055,"﻿""seriesID"" | seriesCode | seriesName | seriesParent | seriesUnits | entityID | entityIso | entityName | dataValue | dataYear | dataNote | dataSource | seriesDescription | dataValue 1 | dataValue 2 | dataValue 3",OK,"Delimiteur detecte: ,"
education,data_raw/education/acces_numerique/ITU/itu_data_extract_1775486806072.csv,csv,283,17,2291,0.4762,"﻿""seriesID"" | seriesCode | seriesName | seriesParent | seriesUnits | entityID | entityIso | entityName | dataValue | dataYear | dataNote | dataSource | seriesDescription | dataValue 1 | dataValue 2 | dataValue 3 | dataValue 4",OK,"Delimiteur detecte: ,"
education,data_raw/education/acces_numerique/ITU/itu_data_extract_1775486892753.csv,csv,283,17,2291,0.4762,"﻿""seriesID"" | seriesCode | seriesName | seriesParent | seriesUnits | entityID | entityIso | entityName | dataValue | dataYear | dataNote | dataSource | seriesDescription | dataValue 1 | dataValue 2 | dataValue 3 | dataValue 4",OK,"Delimiteur detecte: ,"
education,data_raw/education/acces_numerique/Indicateurs de télécommunications de téléphonie fixe.csv,csv,118,5,118,0.2,indicateurs | rubriques | Unit | Date | Value,OK,"Delimiteur detecte: ,"
education,data_raw/education/acces_numerique/Indicateurs de télécommunications de téléphonie mobile.csv,csv,72,5,0,0.0,indicateurs | rubriques | Unit | Date | Value,OK,"Delimiteur detecte: ,"
education,data_raw/education/acces_numerique/Nombre d’abonnements actifs par opérateur de téléphonie mobile.csv,csv,15,5,0,0.0,indicateurs | rubriques | Unit | Date | Value,OK,"Delimiteur detecte: ,"
education,data_raw/education/ecoles_fermes-ouvertes/2017-2025-bfa-education-in-danger-incident-data.xlsx,xlsx,187,35,909,0.138885,Date | Event Description | Country | Country ISO | Admin 1 | Latitude | Longitude | Geo Precision | Location of event | Reported Perpetrator | Reported Perpetrator Name | Weapon Carried/Used | Type of education facility | Attacks on Schools | Attacks on Universities | Military Occupation of Education facility | Arson attack on education facility | Forced Entry into education facility | Damage/Destruction To Ed facility Event | Attacks on Students and Teachers | Educators Killed | Educators Injured | Educators Kidnapped | Educators Arrested | Known Educators Kidnap Or Arrest Outcome | Students Attacked in School | Students Killed | Students Injured | Students Kidnapped | Known Student Kidnap Or Arrest Outcome | Students Arrested | Sexual Violence Affecting School Age Children | SiND Event ID | Date Event Entered | Date Event Modified,OK,Feuille analysee: Sheet1
