"indicateur","commune","rubrique","Unit","Date","Value"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Ensemble","Nombre","2018","5"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Ensemble","Nombre","2019","11"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Ensemble","Nombre","2020","25"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Ensemble","Nombre","2021","2"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Ensemble","Nombre","2022","96"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Public","Nombre","2018","3"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Public","Nombre","2019","11"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Public","Nombre","2020","20"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Public","Nombre","2021","2"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Public","Nombre","2022","69"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Privé","Nombre","2018","2"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Privé","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Privé","Nombre","2020","5"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Privé","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Region","Privé","Nombre","2022","27"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Ensemble","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Ensemble","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Ensemble","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Ensemble","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Ensemble","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Public","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Public","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Public","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Public","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Public","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Privé","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Privé","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Privé","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Privé","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balé","Privé","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Bagassi","Ensemble","Nombre","2018","0"
