"indicateur","rubriques","Unit","Date","Value"
"Evolution des résultats du BEPC","Présents","Nombre","1996","33515"
"Evolution des résultats du BEPC","Présents","Nombre","1997","36102"
"Evolution des résultats du BEPC","Présents","Nombre","1998","35368"
"Evolution des résultats du BEPC","Présents","Nombre","1999","35351"
"Evolution des résultats du BEPC","Présents","Nombre","2000","34715"
"Evolution des résultats du BEPC","Présents","Nombre","2001","39143"
"Evolution des résultats du BEPC","Présents","Nombre","2002","44708"
"Evolution des résultats du BEPC","Présents","Nombre","2003","50809"
"Evolution des résultats du BEPC","Présents","Nombre","2004","50310"
"Evolution des résultats du BEPC","Présents","Nombre","2005","54389"
"Evolution des résultats du BEPC","Présents","Nombre","2006","65766"
"Evolution des résultats du BEPC","Présents","Nombre","2007","76389"
"Evolution des résultats du BEPC","Présents","Nombre","2008","90651"
"Evolution des résultats du BEPC","Présents","Nombre","2009","97529"
"Evolution des résultats du BEPC","Présents","Nombre","2010","111428"
"Evolution des résultats du BEPC","Présents","Nombre","2011","124838"
"Evolution des résultats du BEPC","Présents","Nombre","2012","139314"
"Evolution des résultats du BEPC","Présents","Nombre","2013","139020"
"Evolution des résultats du BEPC","Présents","Nombre","2014","179493"
"Evolution des résultats du BEPC","Présents","Nombre","2015","207814"
"Evolution des résultats du BEPC","Présents","Nombre","2016","224404"
"Evolution des résultats du BEPC","Présents","Nombre","2017","267450"
"Evolution des résultats du BEPC","Présents","Nombre","2018","305543"
"Evolution des résultats du BEPC","Présents","Nombre","2019","293473"
"Evolution des résultats du BEPC","Présents","Nombre","2020","302915"
"Evolution des résultats du BEPC","Présents","Nombre","2021","288893"
"Evolution des résultats du BEPC","Présents","Nombre","2022","249553"
"Evolution des résultats du BEPC","Admis","Nombre","1996","8675"
"Evolution des résultats du BEPC","Admis","Nombre","1997","13448"
"Evolution des résultats du BEPC","Admis","Nombre","1998","13285"
"Evolution des résultats du BEPC","Admis","Nombre","1999","15068"
"Evolution des résultats du BEPC","Admis","Nombre","2000","13823"
"Evolution des résultats du BEPC","Admis","Nombre","2001","13273"
"Evolution des résultats du BEPC","Admis","Nombre","2002","10811"
"Evolution des résultats du BEPC","Admis","Nombre","2003","24195"
"Evolution des résultats du BEPC","Admis","Nombre","2004","23460"
"Evolution des résultats du BEPC","Admis","Nombre","2005","19723"
"Evolution des résultats du BEPC","Admis","Nombre","2006","24956"
"Evolution des résultats du BEPC","Admis","Nombre","2007","24270"
"Evolution des résultats du BEPC","Admis","Nombre","2008","35095"
"Evolution des résultats du BEPC","Admis","Nombre","2009","27608"
"Evolution des résultats du BEPC","Admis","Nombre","2010","34274"
"Evolution des résultats du BEPC","Admis","Nombre","2011","38251"
"Evolution des résultats du BEPC","Admis","Nombre","2012","72864"
"Evolution des résultats du BEPC","Admis","Nombre","2013","31368"
"Evolution des résultats du BEPC","Admis","Nombre","2014","51576"
"Evolution des résultats du BEPC","Admis","Nombre","2015","81259"
"Evolution des résultats du BEPC","Admis","Nombre","2016","66549"
"Evolution des résultats du BEPC","Admis","Nombre","2017","77168"
"Evolution des résultats du BEPC","Admis","Nombre","2018","131212"
"Evolution des résultats du BEPC","Admis","Nombre","2019","78125"
"Evolution des résultats du BEPC","Admis","Nombre","2020","110472"
"Evolution des résultats du BEPC","Admis","Nombre","2021","80418"
"Evolution des résultats du BEPC","Admis","Nombre","2022","103186"
"Evolution des résultats du BEPC","Pourcentage","%","1996","25.8839325675071"
"Evolution des résultats du BEPC","Pourcentage","%","1997","37.2500138496482"
"Evolution des résultats du BEPC","Pourcentage","%","1998","37.5622031214657"
"Evolution des résultats du BEPC","Pourcentage","%","1999","42.6239710333512"
"Evolution des résultats du BEPC","Pourcentage","%","2000","39.8185222526285"
"Evolution des résultats du BEPC","Pourcentage","%","2001","33.9090003321156"
"Evolution des résultats du BEPC","Pourcentage","%","2002","24.1813545674152"
"Evolution des résultats du BEPC","Pourcentage","%","2003","47.61951622744"
"Evolution des résultats du BEPC","Pourcentage","%","2004","46.6308884913536"
"Evolution des résultats du BEPC","Pourcentage","%","2005","36.2628472669106"
"Evolution des résultats du BEPC","Pourcentage","%","2006","37.9466593680625"
"Evolution des résultats du BEPC","Pourcentage","%","2007","31.8"
"Evolution des résultats du BEPC","Pourcentage","%","2008","38.7144102105879"
"Evolution des résultats du BEPC","Pourcentage","%","2009","28.307477775841"
"Evolution des résultats du BEPC","Pourcentage","%","2010","30.758875686542"
"Evolution des résultats du BEPC","Pourcentage","%","2011","30.640510101091"
"Evolution des résultats du BEPC","Pourcentage","%","2012","52.3019940565916"
"Evolution des résultats du BEPC","Pourcentage","%","2013","22.6"
"Evolution des résultats du BEPC","Pourcentage","%","2014","28.7"
"Evolution des résultats du BEPC","Pourcentage","%","2015","39.1017929494644"
"Evolution des résultats du BEPC","Pourcentage","%","2016","29.7"
"Evolution des résultats du BEPC","Pourcentage","%","2017","28.853243596934"
"Evolution des résultats du BEPC","Pourcentage","%","2018","42.9438736937191"
"Evolution des résultats du BEPC","Pourcentage","%","2019","26.6208475737121"
"Evolution des résultats du BEPC","Pourcentage","%","2020","36.47"
"Evolution des résultats du BEPC","Pourcentage","%","2021","24.42"
"Evolution des résultats du BEPC","Pourcentage","%","2022","41.3"
"Evolution des résultats du BEPC","Pourcentage","%","2023","38.2726393503845"
