"indicateur","rubrique","Unit","Date","Value"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","1990","64546"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","1991","68687"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","1992","69726"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","1993","64405"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","1994","72422"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","1995","81249"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","1996","81132"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","1997","84064"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","1998","84692"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","1999","96915"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2000","94668"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2001","110607"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2002","106192"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2003","114186"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2004","118163"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2005","120846"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2006","131913"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2007","144220"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2008","160059"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2009","204836"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2010","216886"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2011","258288"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2012","290562"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2013","316478"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2014","328695"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2015","309285"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2016","319583"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2017","349659"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Présentés","Nombre","2020","404628"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","1990","31038"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","1991","33572"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","1992","42126"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","1993","34757"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","1994","34842"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","1995","16281"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","1996","39270"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","1997","52647"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","1998","35886"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","1999","62643"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","2000","46477"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","2001","68849"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","2002","66797"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","2003","79947"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","2004","87127"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","2005","83395"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Admis","Nombre","2006","92216"
