"indicateur","rubriques","Unit","Date","Value"
"Evolution des résultats du baccaulauréat","Présents","Nombre","1998","10248"
"Evolution des résultats du baccaulauréat","Présents","Nombre","1999","10926"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2000","11923"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2001","15257"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2002","17945"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2003","19441"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2004","21217"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2005","22860"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2006","26117"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2007","34572"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2008","33492"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2009","37666"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2010","40270"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2011","44734"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2012","47396"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2013","53122"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2014","57498"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2015","70887"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2016","68590"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2017","72949"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2018","93711"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2019","107089"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2020","121377"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2021","148447"
"Evolution des résultats du baccaulauréat","Présents","Nombre","2022","137758"
"Evolution des résultats du baccaulauréat","Admis","Nombre","1998","2536"
"Evolution des résultats du baccaulauréat","Admis","Nombre","1999","3398"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2000","3203"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2001","3815"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2002","4919"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2003","5474"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2004","6672"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2005","7551"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2006","6760"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2007","14360"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2008","10831"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2009","13616"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2010","15674"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2011","18305"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2012","18197"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2013","18539"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2014","21266"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2015","26960"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2016","27390"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2017","28618"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2018","38317"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2019","39482"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2020","47948"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2021","50569"
"Evolution des résultats du baccaulauréat","Admis","Nombre","2022","6635"
"Evolution des résultats du baccaulauréat","Pourcentage","%","1998","24.7462919594067"
"Evolution des résultats du baccaulauréat","Pourcentage","%","1999","31.1001281347245"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2000","26.8640442841567"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2001","25.0049157763649"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2002","27.4115352465868"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2003","28.1569878092691"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2004","31.4464815949474"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2005","33.0314960629921"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2006","25.8835241413639"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2007","41.5307185005206"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2008","32.3390660456228"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2009","36.1493123772102"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2010","38.9222746461386"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2011","40.9196584253588"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2012","38.3935353194362"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2013","34.8989119385565"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2014","36.9856342829316"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2015","38.0323613638608"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2016","39.9329348301502"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2017","39.23"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2018","40.8959460468888"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2019","36.8683991819888"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2020","39.5033655470147"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2021","34.0653566592791"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2022","41.1"
"Evolution des résultats du baccaulauréat","Pourcentage","%","2023","39.2652027027027"
