domaine,chemin_relatif,format,nb_lignes,nb_colonnes,nb_valeurs_vides,ratio_valeurs_vides,colonnes,statut_analyse,message
population,data_raw/population/demographie/Densité par région et province des quatres derniers recensements.csv,csv,236,5,0,0.0,indicateur | localités | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/Evolution de la population par groupes d'âge et par sexe.csv,csv,381,6,0,0.0,indicateur | tranche-d-age | sexe | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/Population du Burkina Faso par groupes d'âge et par sexe.csv,csv,1539,6,0,0.0,indicateur | ages | sexe | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/Population du Burkina Faso par province.csv,csv,1242,5,0,0.0,indicateur | provinces | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/Population du Burkina Faso par région et selon le sexe.csv,csv,1176,6,0,0.0,indicateur | regions | sexe | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/Population du Burkina Faso par région.csv,csv,13,5,0,0.0,indicateur | provinces | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/evolution_des_taux_de_fecondite_par_tranche_age_afristat.csv,csv,72,8,0,0.0,indicateurs | pays | source | sexe | age | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/fichier_localite_population/Fichier des localités du Burkina Faso.xlsx - Fichier Village 2019.csv,csv,10362,20,10459,0.050468,"Tableau: Répartition de la population résidente par sexe et par groupe d’âge selon la région, la province, la commune, l’arrondissement, le village et le secteur |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ",OK,"Delimiteur detecte: ,"
population,"data_raw/population/demographie/fichier_localite_population/Population résidence par année d'âge selon la province, le milieu de résidence et le sexe.xlsx - Ensemble des provinces.csv",csv,86,406,1038,0.029728,Répartition de la population résidente (ménages ordinaires et collectifs) par année d’âge selon le milieu de résidence et le sexe en 2019 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,"data_raw/population/demographie/fichier_localite_population/Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",csv,86,118,302,0.02976,Répartition de la population résidente (ménages ordinaires et collectifs) par année d’âge selon le milieu de résidence et le sexe en 2019 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/fichier_localite_population/Population résidente par année d'âge selon le milieu de résidence et le sexe.xlsx - Milieu de résidence.csv,csv,85,10,17,0.02,Répartition de la population résidente (ménages ordinaires et collectifs) par année d’âge selon le milieu de résidence et le sexe en 2019 |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/indice_dh_afristat.csv,csv,69,5,69,0.2,indicateurs | pays | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/BANKUI.xlsx - BANKUI.csv,csv,352,50,1199,0.068125, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/DJORO.xlsx - DJORO.csv,csv,440,50,1499,0.068136, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/GOULMOU.xlsx - GOULMOU.csv,csv,264,50,899,0.068106, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/GUIRIKO.xlsx - GUIRIKO.csv,csv,352,50,1199,0.068125, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/KADIOGO.xlsx - KADIOGO.csv,csv,88,50,299,0.067955, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
