"indicateur","localités","Unit","Date","Value"
"Densité par région et province des quatres derniers recensements","Burkina Faso","Habitants/km2","1985","29.4156719504809"
"Densité par région et province des quatres derniers recensements","Burkina Faso","Habitants/km2","1996","38.087075829874"
"Densité par région et province des quatres derniers recensements","Burkina Faso","Habitants/km2","2006","51.4"
"Densité par région et province des quatres derniers recensements","Burkina Faso","Habitants/km2","2019","75.1"
"Densité par région et province des quatres derniers recensements","Région de la Boucle du Mouhoun","Habitants/km2","1985","26.7464726889526"
"Densité par région et province des quatres derniers recensements","Région de la Boucle du Mouhoun","Habitants/km2","1996","34.3790176219191"
"Densité par région et province des quatres derniers recensements","Région de la Boucle du Mouhoun","Habitants/km2","2006","42.2325683507991"
"Densité par région et province des quatres derniers recensements","Région de la Boucle du Mouhoun","Habitants/km2","2019","55"
"Densité par région et province des quatres derniers recensements","Bale","Habitants/km2","1985","28.1381636205396"
"Densité par région et province des quatres derniers recensements","Bale","Habitants/km2","1996","36.5905134899913"
"Densité par région et province des quatres derniers recensements","Bale","Habitants/km2","2006","46.4366840731071"
"Densité par région et province des quatres derniers recensements","Bale","Habitants/km2","2019","65.5"
"Densité par région et province des quatres derniers recensements","Banwa","Habitants/km2","1985","26.9977921195652"
"Densité par région et province des quatres derniers recensements","Banwa","Habitants/km2","1996","36.5653872282609"
"Densité par région et province des quatres derniers recensements","Banwa","Habitants/km2","2006","45.7498301630435"
"Densité par région et province des quatres derniers recensements","Banwa","Habitants/km2","2019","59.8"
"Densité par région et province des quatres derniers recensements","Kossi","Habitants/km2","1985","24.8739082969432"
"Densité par région et province des quatres derniers recensements","Kossi","Habitants/km2","1996","31.4810316593886"
"Densité par région et province des quatres derniers recensements","Kossi","Habitants/km2","2006","38.0111899563319"
"Densité par région et province des quatres derniers recensements","Kossi","Habitants/km2","2019","48.1"
"Densité par région et province des quatres derniers recensements","Mouhoun","Habitants/km2","1985","26.2866796816339"
"Densité par région et province des quatres derniers recensements","Mouhoun","Habitants/km2","1996","35.3493016969515"
"Densité par région et province des quatres derniers recensements","Mouhoun","Habitants/km2","2006","44.6538519297192"
"Densité par région et province des quatres derniers recensements","Mouhoun","Habitants/km2","2019","57"
"Densité par région et province des quatres derniers recensements","Nayala","Habitants/km2","1985","29.8111139434107"
"Densité par région et province des quatres derniers recensements","Nayala","Habitants/km2","1996","34.7675248534285"
"Densité par région et province des quatres derniers recensements","Nayala","Habitants/km2","2006","41.6602090237064"
"Densité par région et province des quatres derniers recensements","Nayala","Habitants/km2","2019","60"
"Densité par région et province des quatres derniers recensements","Sourou","Habitants/km2","1985","26.2064840499307"
"Densité par région et province des quatres derniers recensements","Sourou","Habitants/km2","1996","32.6823855755895"
"Densité par région et province des quatres derniers recensements","Sourou","Habitants/km2","2006","38.249306518724"
"Densité par région et province des quatres derniers recensements","Sourou","Habitants/km2","2019","47.7"
"Densité par région et province des quatres derniers recensements","Région des Cascades","Habitants/km2","1985","13.7441683845069"
"Densité par région et province des quatres derniers recensements","Région des Cascades","Habitants/km2","1996","18.1351307366822"
"Densité par région et province des quatres derniers recensements","Région des Cascades","Habitants/km2","2006","28.8493002061408"
"Densité par région et province des quatres derniers recensements","Région des Cascades","Habitants/km2","2019","44"
"Densité par région et province des quatres derniers recensements","Comoe","Habitants/km2","1985","11.6650764605934"
"Densité par région et province des quatres derniers recensements","Comoe","Habitants/km2","1996","15.7741471703045"
"Densité par région et province des quatres derniers recensements","Comoe","Habitants/km2","2006","26.6323356423997"
"Densité par région et province des quatres derniers recensements","Comoe","Habitants/km2","2019","41.1"
