"indicateur","tranche-d-age","sexe","Unit","Date","Value"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Homme","Nombre","1960","390372"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Homme","Nombre","1975","498652"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Homme","Nombre","1985","733218"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Homme","Nombre","1991","804626"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Homme","Nombre","1996","893256.556535848"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Homme","Nombre","2006","1230610"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Homme","Nombre","2019","1666005"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Femme","Nombre","1960","371845"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Femme","Nombre","1975","479450"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Femme","Nombre","1985","730656"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Femme","Nombre","1991","811848"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Femme","Nombre","1996","882299.871295401"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Femme","Nombre","2006","1206303"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Femme","Nombre","2019","1653059"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Ensemble","Nombre","1960","762217"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Ensemble","Nombre","1975","978102"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Ensemble","Nombre","1985","1463874"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Ensemble","Nombre","1991","1616474"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Ensemble","Nombre","1996","1775556.42783125"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Ensemble","Nombre","2006","2436913"
"Evolution de la population par groupes d'âge et par sexe","0 - 4","Ensemble","Nombre","2019","3319064"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Homme","Nombre","1960","356083"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Homme","Nombre","1975","486228"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Homme","Nombre","1985","728896"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Homme","Nombre","1991","858744"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Homme","Nombre","1996","916816.476370555"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Homme","Nombre","2006","1176473"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Homme","Nombre","2019","1650177"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Femme","Nombre","1960","309485"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Femme","Nombre","1975","445566"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Femme","Nombre","1985","717881"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Femme","Nombre","1991","853900"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Femme","Nombre","1996","888680.603570517"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Femme","Nombre","2006","1139237"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Femme","Nombre","2019","1629617"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Ensemble","Nombre","1960","665568"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Ensemble","Nombre","1975","931794"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Ensemble","Nombre","1985","1446777"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Ensemble","Nombre","1991","1712644"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Ensemble","Nombre","1996","1805497.07994107"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Ensemble","Nombre","2006","2315710"
"Evolution de la population par groupes d'âge et par sexe","5 - 9","Ensemble","Nombre","2019","3279794"
"Evolution de la population par groupes d'âge et par sexe","10-14","Homme","Nombre","1960","214728"
"Evolution de la population par groupes d'âge et par sexe","10-14","Homme","Nombre","1975","350695"
"Evolution de la population par groupes d'âge et par sexe","10-14","Homme","Nombre","1985","485220"
"Evolution de la population par groupes d'âge et par sexe","10-14","Homme","Nombre","1991","637300"
"Evolution de la population par groupes d'âge et par sexe","10-14","Homme","Nombre","1996","709590.201684288"
"Evolution de la population par groupes d'âge et par sexe","10-14","Homme","Nombre","2006","900103"
"Evolution de la population par groupes d'âge et par sexe","10-14","Homme","Nombre","2019","1358657"
"Evolution de la population par groupes d'âge et par sexe","10-14","Femme","Nombre","1960","162373"
"Evolution de la population par groupes d'âge et par sexe","10-14","Femme","Nombre","1975","299868"
"Evolution de la population par groupes d'âge et par sexe","10-14","Femme","Nombre","1985","453847"
"Evolution de la population par groupes d'âge et par sexe","10-14","Femme","Nombre","1991","601675"
"Evolution de la population par groupes d'âge et par sexe","10-14","Femme","Nombre","1996","671354.227572072"
"Evolution de la population par groupes d'âge et par sexe","10-14","Femme","Nombre","2006","846485"
"Evolution de la population par groupes d'âge et par sexe","10-14","Femme","Nombre","2019","1328748"
"Evolution de la population par groupes d'âge et par sexe","10-14","Ensemble","Nombre","1960","377101"
"Evolution de la population par groupes d'âge et par sexe","10-14","Ensemble","Nombre","1975","650563"
"Evolution de la population par groupes d'âge et par sexe","10-14","Ensemble","Nombre","1985","939067"
"Evolution de la population par groupes d'âge et par sexe","10-14","Ensemble","Nombre","1991","1238975"
"Evolution de la population par groupes d'âge et par sexe","10-14","Ensemble","Nombre","1996","1380944.42925636"
"Evolution de la population par groupes d'âge et par sexe","10-14","Ensemble","Nombre","2006","1746588"
"Evolution de la population par groupes d'âge et par sexe","10-14","Ensemble","Nombre","2019","2687405"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Homme","Nombre","1960","179426"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Homme","Nombre","1975","281798"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Homme","Nombre","1985","392777"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Homme","Nombre","1991","488321"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Homme","Nombre","1996","536253.780143598"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Homme","Nombre","2006","710323"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Homme","Nombre","2019","1013507"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Femme","Nombre","1960","159026"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Femme","Nombre","1975","263161"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Femme","Nombre","1985","381370"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Femme","Nombre","1991","408660"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Femme","Nombre","1996","550596.158759351"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Femme","Nombre","2006","764962"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Femme","Nombre","2019","1135139"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Ensemble","Nombre","1960","338452"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Ensemble","Nombre","1975","544959"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Ensemble","Nombre","1985","774147"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Ensemble","Nombre","1991","896981"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Ensemble","Nombre","1996","1086849.93890295"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Ensemble","Nombre","2006","1475285"
"Evolution de la population par groupes d'âge et par sexe","15 - 19","Ensemble","Nombre","2019","2148646"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Homme","Nombre","1960","147568"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Homme","Nombre","1975","187488"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Homme","Nombre","1985","258655"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Homme","Nombre","1991","307892"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Homme","Nombre","1996","341581.683181886"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Homme","Nombre","2006","530425"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Homme","Nombre","2019","768875"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Femme","Nombre","1960","210562"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Femme","Nombre","1975","223630"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Femme","Nombre","1985","320404"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Femme","Nombre","1991","312027"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Femme","Nombre","1996","428962.696846583"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Femme","Nombre","2006","654953"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Femme","Nombre","2019","948549"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Ensemble","Nombre","1960","358130"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Ensemble","Nombre","1975","411118"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Ensemble","Nombre","1985","579059"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Ensemble","Nombre","1991","619919"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Ensemble","Nombre","1996","770544.380028469"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Ensemble","Nombre","2006","1185378"
"Evolution de la population par groupes d'âge et par sexe","20 - 24","Ensemble","Nombre","2019","1717424"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Homme","Nombre","1960","164441"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Homme","Nombre","1975","182406"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Homme","Nombre","1985","212374"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Homme","Nombre","1991","230667"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Homme","Nombre","1996","286482.680482613"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Homme","Nombre","2006","448431"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Homme","Nombre","2019","667220"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Femme","Nombre","1960","209119"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Femme","Nombre","1975","238313"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Femme","Nombre","1985","300565"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Femme","Nombre","1991","329054"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Femme","Nombre","1996","382836.909268746"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Femme","Nombre","2006","560854"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Femme","Nombre","2019","832648"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Ensemble","Nombre","1960","373560"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Ensemble","Nombre","1975","420719"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Ensemble","Nombre","1985","512939"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Ensemble","Nombre","1991","559721"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Ensemble","Nombre","1996","669319.589751358"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Ensemble","Nombre","2006","1009285"
"Evolution de la population par groupes d'âge et par sexe","25 - 29","Ensemble","Nombre","2019","1499868"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Homme","Nombre","1960","121712"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Homme","Nombre","1975","150782"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Homme","Nombre","1985","170789"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Homme","Nombre","1991","182224"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Homme","Nombre","1996","251092.592053043"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Homme","Nombre","2006","363408"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Homme","Nombre","2019","613894"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Femme","Nombre","1960","160241"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Femme","Nombre","1975","185794"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Femme","Nombre","1985","227811"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Femme","Nombre","1991","275927"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Femme","Nombre","1996","323951.664923017"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Femme","Nombre","2006","431412"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Femme","Nombre","2019","708364"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Ensemble","Nombre","1960","281953"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Ensemble","Nombre","1975","336576"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Ensemble","Nombre","1985","398600"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Ensemble","Nombre","1991","458151"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Ensemble","Nombre","1996","575044.25697606"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Ensemble","Nombre","2006","794820"
"Evolution de la population par groupes d'âge et par sexe","30 - 34","Ensemble","Nombre","2019","1322258"
"Evolution de la population par groupes d'âge et par sexe","35 - 39","Homme","Nombre","1960","134963"
