"indicateur","provinces","Unit","Date","Value"
"Population du Burkina Faso par province en milieu d'année","Sahel","Nombre","2023","1194762"
"Population du Burkina Faso par province en milieu d'année","Nord","Nombre","2023","1889767"
"Population du Burkina Faso par province en milieu d'année","Centre Sud","Nombre","2023","853295"
"Population du Burkina Faso par province en milieu d'année","Cascades","Nombre","2023","915318"
"Population du Burkina Faso par province en milieu d'année","Hauts Bassins","Nombre","2023","2497698"
"Population du Burkina Faso par province en milieu d'année","Boucle du Mouhoun","Nombre","2023","2070115"
"Population du Burkina Faso par province en milieu d'année","Centre Ouest","Nombre","2023","1819156"
"Population du Burkina Faso par province en milieu d'année","Est","Nombre","2023","2173455"
"Population du Burkina Faso par province en milieu d'année","Centre Est","Nombre","2023","1740207"
"Population du Burkina Faso par province en milieu d'année","Centre Nord","Nombre","2023","2075605"
"Population du Burkina Faso par province en milieu d'année","Plateau Central","Nombre","2023","1069468"
"Population du Burkina Faso par province en milieu d'année","Sud Ouest","Nombre","2023","961337"
"Population du Burkina Faso par province en milieu d'année","Centre","Nombre","2023","3492132"
