,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  6 391   ,  6 047   ,  12 438   ,  6 409   ,  6 056   ,  12 465   ,  6 449   ,  6 092   ,  12 541   ,  6 475   ,  6 120   ,  12 595   ,  6 497   ,  6 141   ,  12 638   ,  6 518   ,  6 162   ,  12 680   ,  6 327   ,  5 983   ,  12 310   ,  6 135   ,  5 804   ,  11 939   ,  6 172   ,  5 841   ,  12 013   ,  6 222   ,  5 889   ,  12 111   ,  6 257   ,  5 925   ,  12 182   ,  6 363   ,  6 023   ,  12 386   ,  6 468   ,  6 127   ,  12 595   ,  6 580   ,  6 229   ,  12 809   ,  6 686   ,  6 331   ,  13 017   ,  6 789   ,  6 429   ,  13 218   
,1,  6 282   ,  5 955   ,  12 237   ,  6 245   ,  5 902   ,  12 147   ,  6 268   ,  5 918   ,  12 186   ,  6 310   ,  5 956   ,  12 266   ,  6 342   ,  5 987   ,  12 329   ,  6 370   ,  6 012   ,  12 382   ,  6 189   ,  5 842   ,  12 031   ,  6 006   ,  5 671   ,  11 677   ,  6 050   ,  5 714   ,  11 764   ,  6 106   ,  5 768   ,  11 874   ,  6 151   ,  5 810   ,  11 961   ,  6 191   ,  5 847   ,  12 038   ,  6 297   ,  5 948   ,  12 245   ,  6 406   ,  6 053   ,  12 459   ,  6 518   ,  6 157   ,  12 675   ,  6 630   ,  6 262   ,  12 892   
,2,  6 110   ,  5 815   ,  11 925   ,  6 215   ,  5 882   ,  12 097   ,  6 181   ,  5 835   ,  12 016   ,  6 206   ,  5 852   ,  12 058   ,  6 249   ,  5 894   ,  12 143   ,  6 286   ,  5 927   ,  12 213   ,  6 113   ,  5 763   ,  11 876   ,  5 933   ,  5 595   ,  11 528   ,  5 979   ,  5 642   ,  11 621   ,  6 040   ,  5 700   ,  11 740   ,  6 092   ,  5 747   ,  11 839   ,  6 136   ,  5 789   ,  11 925   ,  6 178   ,  5 828   ,  12 006   ,  6 284   ,  5 929   ,  12 213   ,  6 396   ,  6 036   ,  12 432   ,  6 510   ,  6 142   ,  12 652   
,3,  5 889   ,  5 626   ,  11 515   ,  6 032   ,  5 726   ,  11 758   ,  6 137   ,  5 795   ,  11 932   ,  6 104   ,  5 750   ,  11 854   ,  6 132   ,  5 770   ,  11 902   ,  6 179   ,  5 811   ,  11 990   ,  6 013   ,  5 658   ,  11 671   ,  5 843   ,  5 497   ,  11 340   ,  5 890   ,  5 545   ,  11 435   ,  5 952   ,  5 603   ,  11 555   ,  6 006   ,  5 653   ,  11 659   ,  6 055   ,  5 700   ,  11 755   ,  6 100   ,  5 741   ,  11 841   ,  6 143   ,  5 782   ,  11 925   ,  6 250   ,  5 883   ,  12 133   ,  6 364   ,  5 989   ,  12 353   
,4,  5 675   ,  5 439   ,  11 114   ,  5 827   ,  5 548   ,  11 375   ,  5 970   ,  5 649   ,  11 619   ,  6 076   ,  5 718   ,  11 794   ,  6 047   ,  5 675   ,  11 722   ,  6 075   ,  5 697   ,  11 772   ,  5 924   ,  5 555   ,  11 479   ,  5 762   ,  5 403   ,  11 165   ,  5 813   ,  5 455   ,  11 268   ,  5 876   ,  5 513   ,  11 389   ,  5 931   ,  5 563   ,  11 494   ,  5 983   ,  5 614   ,  11 597   ,  6 035   ,  5 661   ,  11 696   ,  6 081   ,  5 702   ,  11 783   ,  6 124   ,  5 743   ,  11 867   ,  6 233   ,  5 844   ,  12 077   
,5,  5 418   ,  5 206   ,  10 624   ,  5 622   ,  5 375   ,  10 997   ,  5 775   ,  5 486   ,  11 261   ,  5 921   ,  5 587   ,  11 508   ,  6 025   ,  5 658   ,  11 683   ,  5 998   ,  5 617   ,  11 615   ,  5 834   ,  5 457   ,  11 291   ,  5 683   ,  5 317   ,  11 000   ,  5 742   ,  5 375   ,  11 117   ,  5 806   ,  5 437   ,  11 243   ,  5 863   ,  5 487   ,  11 350   ,  5 917   ,  5 536   ,  11 453   ,  5 969   ,  5 586   ,  11 555   ,  6 021   ,  5 634   ,  11 655   ,  6 068   ,  5 677   ,  11 745   ,  6 111   ,  5 717   ,  11 828   
,6,  5 198   ,  4 991   ,  10 189   ,  5 393   ,  5 169   ,  10 562   ,  5 599   ,  5 340   ,  10 939   ,  5 753   ,  5 450   ,  11 203   ,  5 897   ,  5 553   ,  11 450   ,  6 005   ,  5 626   ,  11 631   ,  5 785   ,  5 404   ,  11 189   ,  5 621   ,  5 247   ,  10 868   ,  5 690   ,  5 313   ,  11 003   ,  5 760   ,  5 378   ,  11 138   ,  5 818   ,  5 432   ,  11 250   ,  5 873   ,  5 482   ,  11 355   ,  5 927   ,  5 532   ,  11 459   ,  5 982   ,  5 581   ,  11 563   ,  6 035   ,  5 630   ,  11 665   ,  6 081   ,  5 673   ,  11 754   
,7,  5 050   ,  4 830   ,  9 880   ,  5 178   ,  4 962   ,  10 140   ,  5 376   ,  5 139   ,  10 515   ,  5 579   ,  5 310   ,  10 889   ,  5 734   ,  5 423   ,  11 157   ,  5 881   ,  5 525   ,  11 406   ,  5 794   ,  5 418   ,  11 212   ,  5 577   ,  5 201   ,  10 778   ,  5 631   ,  5 248   ,  10 879   ,  5 711   ,  5 322   ,  11 033   ,  5 774   ,  5 380   ,  11 154   ,  5 832   ,  5 434   ,  11 266   ,  5 887   ,  5 483   ,  11 370   ,  5 942   ,  5 534   ,  11 476   ,  5 995   ,  5 584   ,  11 579   ,  6 048   ,  5 631   ,  11 679   
