,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUGOURIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  3 013   ,  2 859   ,  5 872   ,  3 030   ,  2 871   ,  5 901   ,  3 055   ,  2 894   ,  5 949   ,  3 075   ,  2 913   ,  5 988   ,  3 093   ,  2 929   ,  6 022   ,  3 110   ,  2 944   ,  6 054   ,  3 167   ,  2 996   ,  6 163   ,  3 225   ,  3 049   ,  6 274   ,  3 229   ,  3 054   ,  6 283   ,  3 241   ,  3 064   ,  6 305   ,  3 247   ,  3 068   ,  6 315   ,  3 286   ,  3 104   ,  6 390   ,  3 329   ,  3 142   ,  6 471   ,  3 371   ,  3 180   ,  6 551   ,  3 411   ,  3 217   ,  6 628   ,  3 449   ,  3 250   ,  6 699   
,1,  2 965   ,  2 824   ,  5 789   ,  2 954   ,  2 805   ,  5 759   ,  2 973   ,  2 820   ,  5 793   ,  3 001   ,  2 843   ,  5 844   ,  3 023   ,  2 864   ,  5 887   ,  3 043   ,  2 881   ,  5 924   ,  3 102   ,  2 935   ,  6 037   ,  3 159   ,  2 988   ,  6 147   ,  3 169   ,  2 996   ,  6 165   ,  3 185   ,  3 010   ,  6 195   ,  3 195   ,  3 016   ,  6 211   ,  3 202   ,  3 022   ,  6 224   ,  3 243   ,  3 060   ,  6 303   ,  3 285   ,  3 099   ,  6 384   ,  3 329   ,  3 138   ,  6 467   ,  3 371   ,  3 175   ,  6 546   
,2,  2 887   ,  2 765   ,  5 652   ,  2 944   ,  2 805   ,  5 749   ,  2 935   ,  2 788   ,  5 723   ,  2 955   ,  2 802   ,  5 757   ,  2 982   ,  2 827   ,  5 809   ,  3 006   ,  2 849   ,  5 855   ,  3 066   ,  2 903   ,  5 969   ,  3 125   ,  2 957   ,  6 082   ,  3 136   ,  2 966   ,  6 102   ,  3 155   ,  2 982   ,  6 137   ,  3 166   ,  2 993   ,  6 159   ,  3 177   ,  3 001   ,  6 178   ,  3 185   ,  3 006   ,  6 191   ,  3 227   ,  3 045   ,  6 272   ,  3 269   ,  3 084   ,  6 353   ,  3 314   ,  3 124   ,  6 438   
,3,  2 785   ,  2 684   ,  5 469   ,  2 861   ,  2 738   ,  5 599   ,  2 917   ,  2 778   ,  5 695   ,  2 910   ,  2 761   ,  5 671   ,  2 929   ,  2 776   ,  5 705   ,  2 957   ,  2 801   ,  5 758   ,  3 020   ,  2 860   ,  5 880   ,  3 080   ,  2 915   ,  5 995   ,  3 092   ,  2 925   ,  6 017   ,  3 111   ,  2 941   ,  6 052   ,  3 127   ,  2 953   ,  6 080   ,  3 138   ,  2 962   ,  6 100   ,  3 149   ,  2 972   ,  6 121   ,  3 157   ,  2 978   ,  6 135   ,  3 199   ,  3 015   ,  6 214   ,  3 243   ,  3 055   ,  6 298   
,4,  2 687   ,  2 601   ,  5 288   ,  2 766   ,  2 661   ,  5 427   ,  2 842   ,  2 715   ,  5 557   ,  2 900   ,  2 755   ,  5 655   ,  2 891   ,  2 739   ,  5 630   ,  2 911   ,  2 755   ,  5 666   ,  2 978   ,  2 815   ,  5 793   ,  3 041   ,  2 873   ,  5 914   ,  3 055   ,  2 885   ,  5 940   ,  3 075   ,  2 902   ,  5 977   ,  3 090   ,  2 916   ,  6 006   ,  3 105   ,  2 928   ,  6 033   ,  3 118   ,  2 937   ,  6 055   ,  3 128   ,  2 946   ,  6 074   ,  3 138   ,  2 953   ,  6 091   ,  3 179   ,  2 991   ,  6 170   
,5,  2 568   ,  2 498   ,  5 066   ,  2 671   ,  2 587   ,  5 258   ,  2 751   ,  2 646   ,  5 397   ,  2 827   ,  2 700   ,  5 527   ,  2 884   ,  2 740   ,  5 624   ,  2 878   ,  2 723   ,  5 601   ,  2 935   ,  2 774   ,  5 709   ,  3 002   ,  2 837   ,  5 839   ,  3 022   ,  2 853   ,  5 875   ,  3 042   ,  2 870   ,  5 912   ,  3 057   ,  2 883   ,  5 940   ,  3 073   ,  2 896   ,  5 969   ,  3 088   ,  2 908   ,  5 996   ,  3 101   ,  2 919   ,  6 020   ,  3 112   ,  2 928   ,  6 040   ,  3 121   ,  2 934   ,  6 055   
,6,  2 467   ,  2 402   ,  4 869   ,  2 566   ,  2 494   ,  5 060   ,  2 671   ,  2 582   ,  5 253   ,  2 750   ,  2 642   ,  5 392   ,  2 826   ,  2 696   ,  5 522   ,  2 884   ,  2 736   ,  5 620   ,  2 914   ,  2 756   ,  5 670   ,  2 974   ,  2 807   ,  5 781   ,  2 996   ,  2 827   ,  5 823   ,  3 021   ,  2 849   ,  5 870   ,  3 038   ,  2 863   ,  5 901   ,  3 054   ,  2 876   ,  5 930   ,  3 070   ,  2 889   ,  5 959   ,  3 084   ,  2 902   ,  5 986   ,  3 098   ,  2 913   ,  6 011   ,  3 109   ,  2 920   ,  6 029   
,7,  2 398   ,  2 332   ,  4 730   ,  2 466   ,  2 401   ,  4 867   ,  2 566   ,  2 493   ,  5 059   ,  2 670   ,  2 581   ,  5 251   ,  2 751   ,  2 641   ,  5 392   ,  2 827   ,  2 695   ,  5 522   ,  2 923   ,  2 771   ,  5 694   ,  2 954   ,  2 791   ,  5 745   ,  2 969   ,  2 802   ,  5 771   ,  2 998   ,  2 827   ,  5 825   ,  3 019   ,  2 846   ,  5 865   ,  3 035   ,  2 859   ,  5 894   ,  3 051   ,  2 872   ,  5 923   ,  3 067   ,  2 885   ,  5 952   ,  3 082   ,  2 897   ,  5 979   ,  3 096   ,  2 908   ,  6 004   
