,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOULMOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOURMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  10 117   ,  9 750   ,  19 867   ,  10 180   ,  9 807   ,  19 987   ,  10 272   ,  9 904   ,  20 176   ,  10 350   ,  9 986   ,  20 336   ,  10 418   ,  10 058   ,  20 476   ,  10 482   ,  10 124   ,  20 606   ,  10 537   ,  10 182   ,  20 719   ,  10 594   ,  10 239   ,  20 833   ,  10 913   ,  10 557   ,  21 470   ,  10 969   ,  10 616   ,  21 585   ,  11 037   ,  10 685   ,  21 722   ,  11 210   ,  10 855   ,  22 065   ,  11 389   ,  11 032   ,  22 421   ,  11 571   ,  11 210   ,  22 781   ,  11 749   ,  11 383   ,  23 132   ,  11 917   ,  11 546   ,  23 463   
,1,  9 877   ,  9 557   ,  19 434   ,  9 850   ,  9 510   ,  19 360   ,  9 919   ,  9 574   ,  19 493   ,  10 017   ,  9 673   ,  19 690   ,  10 102   ,  9 759   ,  19 861   ,  10 176   ,  9 833   ,  20 009   ,  10 237   ,  9 895   ,  20 132   ,  10 301   ,  9 958   ,  20 259   ,  10 625   ,  10 278   ,  20 903   ,  10 696   ,  10 349   ,  21 045   ,  10 776   ,  10 428   ,  21 204   ,  10 836   ,  10 488   ,  21 324   ,  11 010   ,  10 661   ,  21 671   ,  11 192   ,  10 839   ,  22 031   ,  11 376   ,  11 019   ,  22 395   ,  11 556   ,  11 193   ,  22 749   
,2,  9 542   ,  9 288   ,  18 830   ,  9 737   ,  9 436   ,  19 173   ,  9 715   ,  9 394   ,  19 109   ,  9 786   ,  9 460   ,  19 246   ,  9 887   ,  9 561   ,  19 448   ,  9 974   ,  9 648   ,  19 622   ,  10 042   ,  9 715   ,  19 757   ,  10 108   ,  9 780   ,  19 888   ,  10 432   ,  10 100   ,  20 532   ,  10 509   ,  10 177   ,  20 686   ,  10 599   ,  10 266   ,  20 865   ,  10 668   ,  10 334   ,  21 002   ,  10 729   ,  10 396   ,  21 125   ,  10 904   ,  10 569   ,  21 473   ,  11 087   ,  10 748   ,  21 835   ,  11 271   ,  10 928   ,  22 199   
,3,  9 132   ,  8 944   ,  18 076   ,  9 385   ,  9 139   ,  18 524   ,  9 579   ,  9 288   ,  18 867   ,  9 559   ,  9 248   ,  18 807   ,  9 633   ,  9 315   ,  18 948   ,  9 734   ,  9 415   ,  19 149   ,  9 813   ,  9 493   ,  19 306   ,  9 883   ,  9 562   ,  19 445   ,  10 204   ,  9 878   ,  20 082   ,  10 283   ,  9 957   ,  20 240   ,  10 378   ,  10 050   ,  20 428   ,  10 455   ,  10 125   ,  20 580   ,  10 524   ,  10 194   ,  20 718   ,  10 586   ,  10 256   ,  20 842   ,  10 760   ,  10 428   ,  21 188   ,  10 941   ,  10 604   ,  21 545   
,4,  8 739   ,  8 602   ,  17 341   ,  9 003   ,  8 812   ,  17 815   ,  9 255   ,  9 007   ,  18 262   ,  9 449   ,  9 155   ,  18 604   ,  9 432   ,  9 117   ,  18 549   ,  9 506   ,  9 183   ,  18 689   ,  9 599   ,  9 274   ,  18 873   ,  9 681   ,  9 354   ,  19 035   ,  10 003   ,  9 671   ,  19 674   ,  10 082   ,  9 749   ,  19 831   ,  10 178   ,  9 843   ,  20 021   ,  10 260   ,  9 924   ,  20 184   ,  10 337   ,  9 999   ,  20 336   ,  10 406   ,  10 067   ,  20 473   ,  10 469   ,  10 129   ,  20 598   ,  10 642   ,  10 298   ,  20 940   
,5,  8 285   ,  8 194   ,  16 479   ,  8 626   ,  8 496   ,  17 122   ,  8 889   ,  8 706   ,  17 595   ,  9 140   ,  8 900   ,  18 040   ,  9 334   ,  9 047   ,  18 381   ,  9 318   ,  9 009   ,  18 327   ,  9 384   ,  9 067   ,  18 451   ,  9 480   ,  9 159   ,  18 639   ,  9 809   ,  9 484   ,  19 293   ,  9 893   ,  9 566   ,  19 459   ,  9 988   ,  9 659   ,  19 647   ,  10 071   ,  9 740   ,  19 811   ,  10 153   ,  9 821   ,  19 974   ,  10 230   ,  9 895   ,  20 125   ,  10 300   ,  9 963   ,  20 263   ,  10 362   ,  10 023   ,  20 385   
,6,  7 893   ,  7 818   ,  15 711   ,  8 217   ,  8 128   ,  16 345   ,  8 557   ,  8 430   ,  16 987   ,  8 819   ,  8 638   ,  17 457   ,  9 070   ,  8 832   ,  17 902   ,  9 263   ,  8 977   ,  18 240   ,  9 241   ,  8 933   ,  18 174   ,  9 309   ,  8 992   ,  18 301   ,  9 649   ,  9 327   ,  18 976   ,  9 743   ,  9 418   ,  19 161   ,  9 843   ,  9 515   ,  19 358   ,  9 926   ,  9 596   ,  19 522   ,  10 009   ,  9 677   ,  19 686   ,  10 091   ,  9 756   ,  19 847   ,  10 168   ,  9 831   ,  19 999   ,  10 238   ,  9 896   ,  20 134   
,7,  7 612   ,  7 527   ,  15 139   ,  7 831   ,  7 763   ,  15 594   ,  8 153   ,  8 073   ,  16 226   ,  8 492   ,  8 374   ,  16 866   ,  8 755   ,  8 581   ,  17 336   ,  9 005   ,  8 773   ,  17 778   ,  9 190   ,  8 910   ,  18 100   ,  9 170   ,  8 867   ,  18 037   ,  9 480   ,  9 166   ,  18 646   ,  9 587   ,  9 270   ,  18 857   ,  9 697   ,  9 377   ,  19 074   ,  9 784   ,  9 461   ,  19 245   ,  9 867   ,  9 542   ,  19 409   ,  9 950   ,  9 622   ,  19 572   ,  10 033   ,  9 701   ,  19 734   ,  10 110   ,  9 773   ,  19 883   
