,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUIRIKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  28 174   ,  28 412   ,  56 586   ,  28 396   ,  28 597   ,  56 993   ,  28 693   ,  28 889   ,  57 582   ,  28 943   ,  29 139   ,  58 082   ,  29 156   ,  29 357   ,  58 513   ,  29 356   ,  29 567   ,  58 923   ,  29 530   ,  29 758   ,  59 288   ,  29 697   ,  29 945   ,  59 642   ,  28 170   ,  28 438   ,  56 608   ,  28 351   ,  28 639   ,  56 990   ,  28 473   ,  28 780   ,  57 253   ,  28 897   ,  29 225   ,  58 122   ,  29 339   ,  29 686   ,  59 025   ,  29 787   ,  30 156   ,  59 943   ,  30 227   ,  30 619   ,  60 846   ,  30 643   ,  31 064   ,  61 707   
,1,  27 910   ,  28 230   ,  56 140   ,  27 881   ,  28 109   ,  55 990   ,  28 115   ,  28 309   ,  56 424   ,  28 424   ,  28 613   ,  57 037   ,  28 687   ,  28 875   ,  57 562   ,  28 918   ,  29 111   ,  58 029   ,  29 111   ,  29 315   ,  58 426   ,  29 302   ,  29 519   ,  58 821   ,  27 833   ,  28 067   ,  55 900   ,  28 051   ,  28 301   ,  56 352   ,  28 207   ,  28 473   ,  56 680   ,  28 344   ,  28 623   ,  56 967   ,  28 781   ,  29 080   ,  57 861   ,  29 236   ,  29 557   ,  58 793   ,  29 698   ,  30 044   ,  59 742   ,  30 152   ,  30 526   ,  60 678   
,2,  27 362   ,  27 809   ,  55 171   ,  27 967   ,  28 269   ,  56 236   ,  27 941   ,  28 155   ,  56 096   ,  28 178   ,  28 363   ,  56 541   ,  28 492   ,  28 675   ,  57 167   ,  28 763   ,  28 951   ,  57 714   ,  28 977   ,  29 175   ,  58 152   ,  29 176   ,  29 387   ,  58 563   ,  27 727   ,  27 956   ,  55 683   ,  27 967   ,  28 211   ,  56 178   ,  28 154   ,  28 412   ,  56 566   ,  28 315   ,  28 585   ,  56 900   ,  28 459   ,  28 743   ,  57 202   ,  28 906   ,  29 214   ,  58 120   ,  29 371   ,  29 705   ,  59 076   ,  29 844   ,  30 208   ,  60 052   
,3,  26 575   ,  27 142   ,  53 717   ,  27 358   ,  27 752   ,  55 110   ,  27 962   ,  28 214   ,  56 176   ,  27 935   ,  28 103   ,  56 038   ,  28 172   ,  28 314   ,  56 486   ,  28 488   ,  28 635   ,  57 123   ,  28 737   ,  28 895   ,  57 632   ,  28 952   ,  29 122   ,  58 074   ,  27 525   ,  27 714   ,  55 239   ,  27 772   ,  27 974   ,  55 746   ,  27 976   ,  28 192   ,  56 168   ,  28 163   ,  28 389   ,  56 552   ,  28 330   ,  28 568   ,  56 898   ,  28 477   ,  28 733   ,  57 210   ,  28 929   ,  29 210   ,  58 139   ,  29 402   ,  29 710   ,  59 112   
,4,  26 362   ,  26 812   ,  53 174   ,  27 205   ,  27 482   ,  54 687   ,  28 006   ,  28 102   ,  56 108   ,  28 624   ,  28 573   ,  57 197   ,  28 595   ,  28 465   ,  57 060   ,  28 839   ,  28 687   ,  57 526   ,  29 142   ,  28 994   ,  58 136   ,  29 397   ,  29 260   ,  58 657   ,  27 970   ,  27 867   ,  55 837   ,  28 225   ,  28 135   ,  56 360   ,  28 442   ,  28 361   ,  56 803   ,  28 650   ,  28 576   ,  57 226   ,  28 846   ,  28 781   ,  57 627   ,  29 021   ,  28 968   ,  57 989   ,  29 176   ,  29 142   ,  58 318   ,  29 645   ,  29 636   ,  59 281   
,5,  25 841   ,  26 362   ,  52 203   ,  26 951   ,  27 352   ,  54 303   ,  27 810   ,  28 037   ,  55 847   ,  28 627   ,  28 672   ,  57 299   ,  29 257   ,  29 155   ,  58 412   ,  29 229   ,  29 051   ,  58 280   ,  29 455   ,  29 259   ,  58 714   ,  29 763   ,  29 575   ,  59 338   ,  28 361   ,  28 210   ,  56 571   ,  28 635   ,  28 495   ,  57 130   ,  28 858   ,  28 726   ,  57 584   ,  29 077   ,  28 954   ,  58 031   ,  29 294   ,  29 178   ,  58 472   ,  29 498   ,  29 391   ,  58 889   ,  29 680   ,  29 587   ,  59 267   ,  29 843   ,  29 772   ,  59 615   
,6,  25 134   ,  25 639   ,  50 773   ,  26 208   ,  26 670   ,  52 878   ,  27 330   ,  27 672   ,  55 002   ,  28 200   ,  28 366   ,  56 566   ,  29 026   ,  29 011   ,  58 037   ,  29 664   ,  29 506   ,  59 170   ,  29 612   ,  29 382   ,  58 994   ,  29 840   ,  29 594   ,  59 434   ,  28 483   ,  28 275   ,  56 758   ,  28 794   ,  28 595   ,  57 389   ,  29 033   ,  28 843   ,  57 876   ,  29 258   ,  29 073   ,  58 331   ,  29 483   ,  29 305   ,  58 788   ,  29 705   ,  29 538   ,  59 243   ,  29 913   ,  29 758   ,  59 671   ,  30 103   ,  29 963   ,  60 066   
,7,  24 459   ,  24 747   ,  49 206   ,  25 207   ,  25 539   ,  50 746   ,  26 281   ,  26 567   ,  52 848   ,  27 404   ,  27 567   ,  54 971   ,  28 273   ,  28 260   ,  56 533   ,  29 102   ,  28 908   ,  58 010   ,  29 718   ,  29 382   ,  59 100   ,  29 664   ,  29 259   ,  58 923   ,  28 239   ,  27 857   ,  56 096   ,  28 592   ,  28 216   ,  56 808   ,  28 866   ,  28 496   ,  57 362   ,  29 104   ,  28 738   ,  57 842   ,  29 330   ,  28 970   ,  58 300   ,  29 559   ,  29 205   ,  58 764   ,  29 785   ,  29 439   ,  59 224   ,  29 998   ,  29 667   ,  59 665   
