,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOULSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  9 641   ,  9 260   ,  18 901   ,  9 719   ,  9 324   ,  19 043   ,  9 824   ,  9 425   ,  19 249   ,  9 917   ,  9 512   ,  19 429   ,  9 998   ,  9 589   ,  19 587   ,  10 076   ,  9 662   ,  19 738   ,  10 145   ,  9 725   ,  19 870   ,  10 214   ,  9 786   ,  20 000   ,  11 224   ,  10 752   ,  21 976   ,  11 317   ,  10 835   ,  22 152   ,  11 378   ,  10 887   ,  22 265   ,  11 569   ,  11 063   ,  22 632   ,  11 767   ,  11 247   ,  23 014   ,  11 968   ,  11 434   ,  23 402   ,  12 167   ,  11 618   ,  23 785   ,  12 356   ,  11 792   ,  24 148   
,1,  9 418   ,  9 110   ,  18 528   ,  9 409   ,  9 076   ,  18 485   ,  9 492   ,  9 146   ,  18 638   ,  9 603   ,  9 248   ,  18 851   ,  9 701   ,  9 339   ,  19 040   ,  9 788   ,  9 418   ,  19 206   ,  9 861   ,  9 485   ,  19 346   ,  9 938   ,  9 551   ,  19 489   ,  10 935   ,  10 507   ,  21 442   ,  11 041   ,  10 601   ,  21 642   ,  11 116   ,  10 664   ,  21 780   ,  11 189   ,  10 728   ,  21 917   ,  11 383   ,  10 909   ,  22 292   ,  11 583   ,  11 096   ,  22 679   ,  11 787   ,  11 288   ,  23 075   ,  11 988   ,  11 475   ,  23 463   
,2,  9 104   ,  8 887   ,  17 991   ,  9 307   ,  9 038   ,  18 345   ,  9 302   ,  9 007   ,  18 309   ,  9 387   ,  9 079   ,  18 466   ,  9 500   ,  9 184   ,  18 684   ,  9 599   ,  9 276   ,  18 875   ,  9 679   ,  9 348   ,  19 027   ,  9 757   ,  9 416   ,  19 173   ,  10 741   ,  10 363   ,  21 104   ,  10 855   ,  10 465   ,  21 320   ,  10 939   ,  10 538   ,  21 477   ,  11 021   ,  10 610   ,  21 631   ,  11 098   ,  10 678   ,  21 776   ,  11 292   ,  10 861   ,  22 153   ,  11 495   ,  11 051   ,  22 546   ,  11 700   ,  11 245   ,  22 945   
,3,  8 717   ,  8 590   ,  17 307   ,  8 976   ,  8 787   ,  17 763   ,  9 179   ,  8 939   ,  18 118   ,  9 175   ,  8 910   ,  18 085   ,  9 261   ,  8 981   ,  18 242   ,  9 374   ,  9 086   ,  18 460   ,  9 464   ,  9 169   ,  18 633   ,  9 546   ,  9 242   ,  18 788   ,  10 513   ,  10 174   ,  20 687   ,  10 627   ,  10 277   ,  20 904   ,  10 717   ,  10 356   ,  21 073   ,  10 809   ,  10 436   ,  21 245   ,  10 893   ,  10 510   ,  21 403   ,  10 969   ,  10 579   ,  21 548   ,  11 163   ,  10 762   ,  21 925   ,  11 365   ,  10 952   ,  22 317   
,4,  8 347   ,  8 294   ,  16 641   ,  8 617   ,  8 505   ,  17 122   ,  8 874   ,  8 702   ,  17 576   ,  9 075   ,  8 853   ,  17 928   ,  9 073   ,  8 824   ,  17 897   ,  9 159   ,  8 897   ,  18 056   ,  9 264   ,  8 992   ,  18 256   ,  9 356   ,  9 075   ,  18 431   ,  10 312   ,  10 000   ,  20 312   ,  10 426   ,  10 102   ,  20 528   ,  10 517   ,  10 182   ,  20 699   ,  10 613   ,  10 267   ,  20 880   ,  10 706   ,  10 349   ,  21 055   ,  10 790   ,  10 424   ,  21 214   ,  10 868   ,  10 495   ,  21 363   ,  11 060   ,  10 678   ,  21 738   
,5,  7 920   ,  7 931   ,  15 851   ,  8 261   ,  8 232   ,  16 493   ,  8 529   ,  8 444   ,  16 973   ,  8 785   ,  8 640   ,  17 425   ,  8 985   ,  8 790   ,  17 775   ,  8 985   ,  8 762   ,  17 747   ,  9 063   ,  8 826   ,  17 889   ,  9 168   ,  8 921   ,  18 089   ,  10 120   ,  9 845   ,  19 965   ,  10 238   ,  9 950   ,  20 188   ,  10 329   ,  10 030   ,  20 359   ,  10 426   ,  10 117   ,  20 543   ,  10 523   ,  10 204   ,  20 727   ,  10 615   ,  10 287   ,  20 902   ,  10 700   ,  10 362   ,  21 062   ,  10 778   ,  10 432   ,  21 210   
,6,  7 550   ,  7 597   ,  15 147   ,  7 874   ,  7 906   ,  15 780   ,  8 215   ,  8 209   ,  16 424   ,  8 481   ,  8 419   ,  16 900   ,  8 738   ,  8 616   ,  17 354   ,  8 939   ,  8 766   ,  17 705   ,  8 930   ,  8 728   ,  17 658   ,  9 009   ,  8 793   ,  17 802   ,  9 963   ,  9 719   ,  19 682   ,  10 090   ,  9 835   ,  19 925   ,  10 186   ,  9 919   ,  20 105   ,  10 282   ,  10 006   ,  20 288   ,  10 380   ,  10 093   ,  20 473   ,  10 477   ,  10 181   ,  20 658   ,  10 570   ,  10 265   ,  20 835   ,  10 655   ,  10 342   ,  20 997   
,7,  7 286   ,  7 344   ,  14 630   ,  7 510   ,  7 583   ,  15 093   ,  7 833   ,  7 892   ,  15 725   ,  8 174   ,  8 194   ,  16 368   ,  8 440   ,  8 405   ,  16 845   ,  8 696   ,  8 600   ,  17 296   ,  8 888   ,  8 741   ,  17 629   ,  8 882   ,  8 705   ,  17 587   ,  9 794   ,  9 590   ,  19 384   ,  9 936   ,  9 720   ,  19 656   ,  10 042   ,  9 814   ,  19 856   ,  10 143   ,  9 905   ,  20 048   ,  10 240   ,  9 993   ,  20 233   ,  10 339   ,  10 082   ,  20 421   ,  10 437   ,  10 170   ,  20 607   ,  10 530   ,  10 254   ,  20 784   
