,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIPTAKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUDALAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  2 830   ,  2 640   ,  5 470   ,  2 816   ,  2 626   ,  5 442   ,  2 813   ,  2 619   ,  5 432   ,  2 804   ,  2 612   ,  5 416   ,  2 792   ,  2 601   ,  5 393   ,  2 781   ,  2 593   ,  5 374   ,  2 769   ,  2 581   ,  5 350   ,  2 758   ,  2 572   ,  5 330   ,  3 273   ,  3 057   ,  6 330   ,  3 280   ,  3 066   ,  6 346   ,  3 255   ,  3 047   ,  6 302   ,  3 278   ,  3 070   ,  6 348   ,  3 301   ,  3 095   ,  6 396   ,  3 323   ,  3 120   ,  6 443   ,  3 345   ,  3 145   ,  6 490   ,  3 362   ,  3 166   ,  6 528   
,1,  2 780   ,  2 601   ,  5 381   ,  2 742   ,  2 557   ,  5 299   ,  2 732   ,  2 545   ,  5 277   ,  2 730   ,  2 543   ,  5 273   ,  2 725   ,  2 537   ,  5 262   ,  2 718   ,  2 530   ,  5 248   ,  2 707   ,  2 522   ,  5 229   ,  2 697   ,  2 513   ,  5 210   ,  3 208   ,  2 991   ,  6 199   ,  3 218   ,  3 004   ,  6 222   ,  3 198   ,  2 987   ,  6 185   ,  3 188   ,  2 980   ,  6 168   ,  3 212   ,  3 006   ,  6 218   ,  3 235   ,  3 032   ,  6 267   ,  3 259   ,  3 058   ,  6 317   ,  3 281   ,  3 084   ,  6 365   
,2,  2 703   ,  2 540   ,  5 243   ,  2 729   ,  2 550   ,  5 279   ,  2 694   ,  2 509   ,  5 203   ,  2 685   ,  2 498   ,  5 183   ,  2 685   ,  2 497   ,  5 182   ,  2 681   ,  2 495   ,  5 176   ,  2 672   ,  2 487   ,  5 159   ,  2 665   ,  2 480   ,  5 145   ,  3 169   ,  2 954   ,  6 123   ,  3 182   ,  2 969   ,  6 151   ,  3 166   ,  2 956   ,  6 122   ,  3 158   ,  2 952   ,  6 110   ,  3 149   ,  2 946   ,  6 095   ,  3 173   ,  2 971   ,  6 144   ,  3 197   ,  2 998   ,  6 195   ,  3 220   ,  3 025   ,  6 245   
,3,  2 604   ,  2 458   ,  5 062   ,  2 647   ,  2 482   ,  5 129   ,  2 673   ,  2 493   ,  5 166   ,  2 640   ,  2 454   ,  5 094   ,  2 633   ,  2 445   ,  5 078   ,  2 634   ,  2 446   ,  5 080   ,  2 629   ,  2 443   ,  5 072   ,  2 622   ,  2 437   ,  5 059   ,  3 119   ,  2 903   ,  6 022   ,  3 134   ,  2 918   ,  6 052   ,  3 120   ,  2 907   ,  6 027   ,  3 116   ,  2 906   ,  6 022   ,  3 110   ,  2 902   ,  6 012   ,  3 100   ,  2 897   ,  5 997   ,  3 122   ,  2 923   ,  6 045   ,  3 147   ,  2 950   ,  6 097   
,4,  2 509   ,  2 375   ,  4 884   ,  2 557   ,  2 404   ,  4 961   ,  2 599   ,  2 430   ,  5 029   ,  2 626   ,  2 441   ,  5 067   ,  2 594   ,  2 405   ,  4 999   ,  2 590   ,  2 397   ,  4 987   ,  2 589   ,  2 398   ,  4 987   ,  2 586   ,  2 396   ,  4 982   ,  3 079   ,  2 856   ,  5 935   ,  3 093   ,  2 871   ,  5 964   ,  3 081   ,  2 861   ,  5 942   ,  3 079   ,  2 861   ,  5 940   ,  3 074   ,  2 861   ,  5 935   ,  3 068   ,  2 858   ,  5 926   ,  3 058   ,  2 853   ,  5 911   ,  3 082   ,  2 879   ,  5 961   
,5,  2 394   ,  2 274   ,  4 668   ,  2 467   ,  2 330   ,  4 797   ,  2 514   ,  2 360   ,  4 874   ,  2 557   ,  2 385   ,  4 942   ,  2 585   ,  2 398   ,  4 983   ,  2 554   ,  2 364   ,  4 918   ,  2 547   ,  2 356   ,  4 903   ,  2 550   ,  2 357   ,  4 907   ,  3 040   ,  2 815   ,  5 855   ,  3 055   ,  2 831   ,  5 886   ,  3 044   ,  2 822   ,  5 866   ,  3 043   ,  2 822   ,  5 865   ,  3 040   ,  2 824   ,  5 864   ,  3 036   ,  2 822   ,  5 858   ,  3 029   ,  2 820   ,  5 849   ,  3 020   ,  2 815   ,  5 835   
,6,  2 297   ,  2 180   ,  4 477   ,  2 365   ,  2 241   ,  4 606   ,  2 437   ,  2 296   ,  4 733   ,  2 485   ,  2 326   ,  4 811   ,  2 529   ,  2 353   ,  4 882   ,  2 557   ,  2 367   ,  4 924   ,  2 527   ,  2 333   ,  4 860   ,  2 521   ,  2 325   ,  4 846   ,  3 011   ,  2 782   ,  5 793   ,  3 030   ,  2 801   ,  5 831   ,  3 021   ,  2 793   ,  5 814   ,  3 019   ,  2 794   ,  5 813   ,  3 017   ,  2 795   ,  5 812   ,  3 016   ,  2 797   ,  5 813   ,  3 011   ,  2 796   ,  5 807   ,  3 005   ,  2 793   ,  5 798   
,7,  2 231   ,  2 110   ,  4 341   ,  2 270   ,  2 150   ,  4 420   ,  2 339   ,  2 209   ,  4 548   ,  2 411   ,  2 267   ,  4 678   ,  2 459   ,  2 297   ,  4 756   ,  2 504   ,  2 325   ,  4 829   ,  2 529   ,  2 338   ,  4 867   ,  2 501   ,  2 305   ,  4 806   ,  2 978   ,  2 747   ,  5 725   ,  3 002   ,  2 770   ,  5 772   ,  2 997   ,  2 767   ,  5 764   ,  2 997   ,  2 769   ,  5 766   ,  2 996   ,  2 771   ,  5 767   ,  2 995   ,  2 772   ,  5 767   ,  2 992   ,  2 773   ,  5 765   ,  2 988   ,  2 773   ,  5 761   
