,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAKAMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOULGOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  15 949   ,  15 190   ,  31 139   ,  16 005   ,  15 231   ,  31 236   ,  16 109   ,  15 330   ,  31 439   ,  16 193   ,  15 409   ,  31 602   ,  16 265   ,  15 471   ,  31 736   ,  16 332   ,  15 527   ,  31 859   ,  16 389   ,  15 572   ,  31 961   ,  16 450   ,  15 616   ,  32 066   ,  16 117   ,  15 289   ,  31 406   ,  16 200   ,  15 349   ,  31 549   ,  16 254   ,  15 380   ,  31 634   ,  16 484   ,  15 575   ,  32 059   ,  16 725   ,  15 779   ,  32 504   ,  16 970   ,  15 985   ,  32 955   ,  17 211   ,  16 183   ,  33 394   ,  17 436   ,  16 366   ,  33 802   
,1,  15 577   ,  14 982   ,  30 559   ,  15 494   ,  14 862   ,  30 356   ,  15 563   ,  14 913   ,  30 476   ,  15 681   ,  15 020   ,  30 701   ,  15 778   ,  15 107   ,  30 885   ,  15 862   ,  15 176   ,  31 038   ,  15 930   ,  15 228   ,  31 158   ,  16 003   ,  15 282   ,  31 285   ,  15 700   ,  14 979   ,  30 679   ,  15 803   ,  15 056   ,  30 859   ,  15 877   ,  15 104   ,  30 981   ,  15 941   ,  15 143   ,  31 084   ,  16 176   ,  15 344   ,  31 520   ,  16 423   ,  15 553   ,  31 976   ,  16 673   ,  15 763   ,  32 436   ,  16 917   ,  15 967   ,  32 884   
,2,  15 057   ,  14 653   ,  29 710   ,  15 323   ,  14 838   ,  30 161   ,  15 249   ,  14 726   ,  29 975   ,  15 326   ,  14 783   ,  30 109   ,  15 451   ,  14 894   ,  30 345   ,  15 556   ,  14 985   ,  30 541   ,  15 633   ,  15 046   ,  30 679   ,  15 710   ,  15 104   ,  30 814   ,  15 422   ,  14 813   ,  30 235   ,  15 535   ,  14 901   ,  30 436   ,  15 624   ,  14 964   ,  30 588   ,  15 701   ,  15 015   ,  30 716   ,  15 770   ,  15 058   ,  30 828   ,  16 009   ,  15 262   ,  31 271   ,  16 256   ,  15 474   ,  31 730   ,  16 508   ,  15 686   ,  32 194   
,3,  14 416   ,  14 200   ,  28 616   ,  14 778   ,  14 464   ,  29 242   ,  15 045   ,  14 652   ,  29 697   ,  14 979   ,  14 544   ,  29 523   ,  15 060   ,  14 603   ,  29 663   ,  15 189   ,  14 716   ,  29 905   ,  15 285   ,  14 796   ,  30 081   ,  15 369   ,  14 861   ,  30 230   ,  15 092   ,  14 580   ,  29 672   ,  15 208   ,  14 671   ,  29 879   ,  15 305   ,  14 743   ,  30 048   ,  15 397   ,  14 807   ,  30 204   ,  15 477   ,  14 859   ,  30 336   ,  15 549   ,  14 905   ,  30 454   ,  15 786   ,  15 109   ,  30 895   ,  16 033   ,  15 319   ,  31 352   
,4,  14 054   ,  14 202   ,  28 256   ,  14 441   ,  14 501   ,  28 942   ,  14 808   ,  14 776   ,  29 584   ,  15 083   ,  14 970   ,  30 053   ,  15 023   ,  14 863   ,  29 886   ,  15 110   ,  14 925   ,  30 035   ,  15 232   ,  15 032   ,  30 264   ,  15 336   ,  15 117   ,  30 453   ,  15 072   ,  14 843   ,  29 915   ,  15 189   ,  14 938   ,  30 127   ,  15 290   ,  15 015   ,  30 305   ,  15 392   ,  15 089   ,  30 481   ,  15 487   ,  15 157   ,  30 644   ,  15 571   ,  15 213   ,  30 784   ,  15 645   ,  15 260   ,  30 905   ,  15 886   ,  15 469   ,  31 355   
,5,  13 748   ,  13 796   ,  27 544   ,  14 277   ,  14 260   ,  28 537   ,  14 674   ,  14 564   ,  29 238   ,  15 054   ,  14 841   ,  29 895   ,  15 339   ,  15 040   ,  30 379   ,  15 283   ,  14 933   ,  30 216   ,  15 365   ,  14 987   ,  30 352   ,  15 495   ,  15 097   ,  30 592   ,  15 251   ,  14 845   ,  30 096   ,  15 378   ,  14 948   ,  30 326   ,  15 483   ,  15 027   ,  30 510   ,  15 589   ,  15 105   ,  30 694   ,  15 695   ,  15 180   ,  30 875   ,  15 795   ,  15 250   ,  31 045   ,  15 883   ,  15 308   ,  31 191   ,  15 960   ,  15 355   ,  31 315   
,6,  13 080   ,  13 057   ,  26 137   ,  13 580   ,  13 531   ,  27 111   ,  14 106   ,  13 988   ,  28 094   ,  14 506   ,  14 290   ,  28 796   ,  14 886   ,  14 565   ,  29 451   ,  15 172   ,  14 761   ,  29 933   ,  15 109   ,  14 646   ,  29 755   ,  15 196   ,  14 701   ,  29 897   ,  14 981   ,  14 479   ,  29 460   ,  15 126   ,  14 599   ,  29 725   ,  15 237   ,  14 682   ,  29 919   ,  15 343   ,  14 761   ,  30 104   ,  15 452   ,  14 838   ,  30 290   ,  15 559   ,  14 915   ,  30 474   ,  15 659   ,  14 983   ,  30 642   ,  15 748   ,  15 039   ,  30 787   
,7,  12 828   ,  12 689   ,  25 517   ,  13 163   ,  13 046   ,  26 209   ,  13 671   ,  13 522   ,  27 193   ,  14 206   ,  13 982   ,  28 188   ,  14 613   ,  14 285   ,  28 898   ,  15 000   ,  14 560   ,  29 560   ,  15 282   ,  14 746   ,  30 028   ,  15 224   ,  14 634   ,  29 858   ,  14 969   ,  14 363   ,  29 332   ,  15 137   ,  14 504   ,  29 641   ,  15 267   ,  14 605   ,  29 872   ,  15 381   ,  14 690   ,  30 071   ,  15 491   ,  14 769   ,  30 260   ,  15 602   ,  14 848   ,  30 450   ,  15 713   ,  14 924   ,  30 637   ,  15 815   ,  14 992   ,  30 807   
