,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOULKIEMDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  14 399   ,  13 512   ,  27 911   ,  14 414   ,  13 516   ,  27 930   ,  14 472   ,  13 571   ,  28 043   ,  14 511   ,  13 608   ,  28 119   ,  14 539   ,  13 630   ,  28 169   ,  14 564   ,  13 648   ,  28 212   ,  14 654   ,  13 722   ,  28 376   ,  14 745   ,  13 795   ,  28 540   ,  14 749   ,  13 786   ,  28 535   ,  14 784   ,  13 802   ,  28 586   ,  14 793   ,  13 794   ,  28 587   ,  14 962   ,  13 931   ,  28 893   ,  15 139   ,  14 079   ,  29 218   ,  15 321   ,  14 227   ,  29 548   ,  15 498   ,  14 370   ,  29 868   ,  15 666   ,  14 501   ,  30 167   
,1,  14 100   ,  13 338   ,  27 438   ,  13 991   ,  13 198   ,  27 189   ,  14 018   ,  13 213   ,  27 231   ,  14 088   ,  13 276   ,  27 364   ,  14 142   ,  13 319   ,  27 461   ,  14 183   ,  13 350   ,  27 533   ,  14 280   ,  13 429   ,  27 709   ,  14 382   ,  13 511   ,  27 893   ,  14 405   ,  13 517   ,  27 922   ,  14 460   ,  13 550   ,  28 010   ,  14 488   ,  13 556   ,  28 044   ,  14 507   ,  13 555   ,  28 062   ,  14 682   ,  13 700   ,  28 382   ,  14 865   ,  13 853   ,  28 718   ,  15 054   ,  14 007   ,  29 061   ,  15 238   ,  14 157   ,  29 395   
,2,  13 666   ,  13 054   ,  26 720   ,  13 873   ,  13 189   ,  27 062   ,  13 773   ,  13 056   ,  26 829   ,  13 808   ,  13 076   ,  26 884   ,  13 884   ,  13 142   ,  27 026   ,  13 946   ,  13 192   ,  27 138   ,  14 053   ,  13 280   ,  27 333   ,  14 157   ,  13 364   ,  27 521   ,  14 187   ,  13 377   ,  27 564   ,  14 252   ,  13 422   ,  27 674   ,  14 295   ,  13 441   ,  27 736   ,  14 327   ,  13 451   ,  27 778   ,  14 351   ,  13 455   ,  27 806   ,  14 529   ,  13 605   ,  28 134   ,  14 718   ,  13 761   ,  28 479   ,  14 909   ,  13 919   ,  28 828   
,3,  13 120   ,  12 662   ,  25 782   ,  13 416   ,  12 867   ,  26 283   ,  13 624   ,  13 002   ,  26 626   ,  13 531   ,  12 875   ,  26 406   ,  13 572   ,  12 896   ,  26 468   ,  13 654   ,  12 965   ,  26 619   ,  13 777   ,  13 070   ,  26 847   ,  13 887   ,  13 161   ,  27 048   ,  13 922   ,  13 178   ,  27 100   ,  13 990   ,  13 225   ,  27 215   ,  14 042   ,  13 253   ,  27 295   ,  14 086   ,  13 275   ,  27 361   ,  14 122   ,  13 289   ,  27 411   ,  14 150   ,  13 297   ,  27 447   ,  14 331   ,  13 448   ,  27 779   ,  14 520   ,  13 605   ,  28 125   
,4,  12 597   ,  12 268   ,  24 865   ,  12 911   ,  12 496   ,  25 407   ,  13 207   ,  12 703   ,  25 910   ,  13 419   ,  12 838   ,  26 257   ,  13 331   ,  12 715   ,  26 046   ,  13 378   ,  12 739   ,  26 117   ,  13 520   ,  12 862   ,  26 382   ,  13 647   ,  12 969   ,  26 616   ,  13 692   ,  12 997   ,  26 689   ,  13 761   ,  13 045   ,  26 806   ,  13 815   ,  13 077   ,  26 892   ,  13 869   ,  13 107   ,  26 976   ,  13 916   ,  13 131   ,  27 047   ,  13 956   ,  13 148   ,  27 104   ,  13 986   ,  13 157   ,  27 143   ,  14 169   ,  13 309   ,  27 478   
,5,  11 983   ,  11 771   ,  23 754   ,  12 412   ,  12 139   ,  24 551   ,  12 727   ,  12 368   ,  25 095   ,  13 023   ,  12 574   ,  25 597   ,  13 237   ,  12 711   ,  25 948   ,  13 157   ,  12 591   ,  25 748   ,  13 262   ,  12 669   ,  25 931   ,  13 408   ,  12 793   ,  26 201   ,  13 473   ,  12 841   ,  26 314   ,  13 548   ,  12 894   ,  26 442   ,  13 603   ,  12 927   ,  26 530   ,  13 660   ,  12 960   ,  26 620   ,  13 715   ,  12 993   ,  26 708   ,  13 766   ,  13 019   ,  26 785   ,  13 807   ,  13 039   ,  26 846   ,  13 842   ,  13 049   ,  26 891   
,6,  11 454   ,  11 316   ,  22 770   ,  11 862   ,  11 699   ,  23 561   ,  12 292   ,  12 066   ,  24 358   ,  12 608   ,  12 295   ,  24 903   ,  12 906   ,  12 502   ,  25 408   ,  13 124   ,  12 641   ,  25 765   ,  13 103   ,  12 575   ,  25 678   ,  13 211   ,  12 652   ,  25 863   ,  13 297   ,  12 722   ,  26 019   ,  13 389   ,  12 791   ,  26 180   ,  13 451   ,  12 830   ,  26 281   ,  13 507   ,  12 862   ,  26 369   ,  13 565   ,  12 898   ,  26 463   ,  13 624   ,  12 933   ,  26 557   ,  13 677   ,  12 961   ,  26 638   ,  13 723   ,  12 981   ,  26 704   
,7,  11 084   ,  10 977   ,  22 061   ,  11 345   ,  11 260   ,  22 605   ,  11 752   ,  11 642   ,  23 394   ,  12 182   ,  12 009   ,  24 191   ,  12 500   ,  12 239   ,  24 739   ,  12 802   ,  12 446   ,  25 248   ,  13 076   ,  12 638   ,  25 714   ,  13 059   ,  12 573   ,  25 632   ,  13 107   ,  12 597   ,  25 704   ,  13 220   ,  12 685   ,  25 905   ,  13 299   ,  12 740   ,  26 039   ,  13 360   ,  12 779   ,  26 139   ,  13 418   ,  12 816   ,  26 234   ,  13 480   ,  12 852   ,  26 332   ,  13 541   ,  12 888   ,  26 429   ,  13 596   ,  12 918   ,  26 514   
