,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAZINON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAZEGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  5 460   ,  5 064   ,  10 524   ,  5 444   ,  5 044   ,  10 488   ,  5 445   ,  5 043   ,  10 488   ,  5 440   ,  5 035   ,  10 475   ,  5 430   ,  5 023   ,  10 453   ,  5 421   ,  5 009   ,  10 430   ,  5 408   ,  4 992   ,  10 400   ,  5 397   ,  4 976   ,  10 373   ,  5 382   ,  4 956   ,  10 338   ,  5 380   ,  4 947   ,  10 327   ,  5 371   ,  4 930   ,  10 301   ,  5 420   ,  4 968   ,  10 388   ,  5 474   ,  5 009   ,  10 483   ,  5 529   ,  5 053   ,  10 582   ,  5 584   ,  5 097   ,  10 681   ,  5 637   ,  5 136   ,  10 773   
,1,  5 378   ,  5 016   ,  10 394   ,  5 314   ,  4 942   ,  10 256   ,  5 304   ,  4 926   ,  10 230   ,  5 311   ,  4 928   ,  10 239   ,  5 311   ,  4 924   ,  10 235   ,  5 308   ,  4 916   ,  10 224   ,  5 300   ,  4 901   ,  10 201   ,  5 294   ,  4 889   ,  10 183   ,  5 286   ,  4 875   ,  10 161   ,  5 293   ,  4 873   ,  10 166   ,  5 290   ,  4 861   ,  10 151   ,  5 285   ,  4 849   ,  10 134   ,  5 338   ,  4 891   ,  10 229   ,  5 395   ,  4 937   ,  10 332   ,  5 455   ,  4 984   ,  10 439   ,  5 515   ,  5 031   ,  10 546   
,2,  5 241   ,  4 925   ,  10 166   ,  5 299   ,  4 954   ,  10 253   ,  5 240   ,  4 884   ,  10 124   ,  5 234   ,  4 870   ,  10 104   ,  5 244   ,  4 875   ,  10 119   ,  5 249   ,  4 873   ,  10 122   ,  5 245   ,  4 862   ,  10 107   ,  5 240   ,  4 851   ,  10 091   ,  5 235   ,  4 840   ,  10 075   ,  5 246   ,  4 842   ,  10 088   ,  5 248   ,  4 835   ,  10 083   ,  5 249   ,  4 828   ,  10 077   ,  5 247   ,  4 819   ,  10 066   ,  5 302   ,  4 864   ,  10 166   ,  5 363   ,  4 912   ,  10 275   ,  5 425   ,  4 963   ,  10 388   
,3,  5 059   ,  4 792   ,  9 851   ,  5 153   ,  4 849   ,  10 002   ,  5 212   ,  4 878   ,  10 090   ,  5 157   ,  4 810   ,  9 967   ,  5 154   ,  4 798   ,  9 952   ,  5 166   ,  4 805   ,  9 971   ,  5 169   ,  4 801   ,  9 970   ,  5 168   ,  4 793   ,  9 961   ,  5 166   ,  4 783   ,  9 949   ,  5 177   ,  4 786   ,  9 963   ,  5 184   ,  4 783   ,  9 967   ,  5 189   ,  4 780   ,  9 969   ,  5 192   ,  4 775   ,  9 967   ,  5 193   ,  4 769   ,  9 962   ,  5 250   ,  4 816   ,  10 066   ,  5 313   ,  4 866   ,  10 179   
,4,  4 884   ,  4 656   ,  9 540   ,  4 985   ,  4 723   ,  9 708   ,  5 080   ,  4 780   ,  9 860   ,  5 142   ,  4 811   ,  9 953   ,  5 090   ,  4 745   ,  9 835   ,  5 089   ,  4 735   ,  9 824   ,  5 101   ,  4 738   ,  9 839   ,  5 106   ,  4 737   ,  9 843   ,  5 107   ,  4 731   ,  9 838   ,  5 120   ,  4 735   ,  9 855   ,  5 128   ,  4 734   ,  9 862   ,  5 136   ,  4 733   ,  9 869   ,  5 143   ,  4 732   ,  9 875   ,  5 149   ,  4 729   ,  9 878   ,  5 153   ,  4 726   ,  9 879   ,  5 212   ,  4 774   ,  9 986   
,5,  4 670   ,  4 482   ,  9 152   ,  4 818   ,  4 601   ,  9 419   ,  4 921   ,  4 667   ,  9 588   ,  5 017   ,  4 726   ,  9 743   ,  5 081   ,  4 757   ,  9 838   ,  5 032   ,  4 693   ,  9 725   ,  5 030   ,  4 681   ,  9 711   ,  5 043   ,  4 686   ,  9 729   ,  5 053   ,  4 688   ,  9 741   ,  5 067   ,  4 694   ,  9 761   ,  5 076   ,  4 693   ,  9 769   ,  5 086   ,  4 693   ,  9 779   ,  5 095   ,  4 696   ,  9 791   ,  5 106   ,  4 697   ,  9 803   ,  5 112   ,  4 697   ,  9 809   ,  5 119   ,  4 695   ,  9 814   
,6,  4 487   ,  4 320   ,  8 807   ,  4 629   ,  4 447   ,  9 076   ,  4 777   ,  4 567   ,  9 344   ,  4 882   ,  4 634   ,  9 516   ,  4 979   ,  4 693   ,  9 672   ,  5 045   ,  4 725   ,  9 770   ,  4 995   ,  4 659   ,  9 654   ,  4 994   ,  4 648   ,  9 642   ,  5 012   ,  4 658   ,  9 670   ,  5 034   ,  4 670   ,  9 704   ,  5 045   ,  4 671   ,  9 716   ,  5 054   ,  4 672   ,  9 726   ,  5 067   ,  4 675   ,  9 742   ,  5 079   ,  4 679   ,  9 758   ,  5 091   ,  4 682   ,  9 773   ,  5 101   ,  4 684   ,  9 785   
,7,  4 364   ,  4 203   ,  8 567   ,  4 449   ,  4 291   ,  8 740   ,  4 591   ,  4 419   ,  9 010   ,  4 741   ,  4 538   ,  9 279   ,  4 847   ,  4 607   ,  9 454   ,  4 946   ,  4 666   ,  9 612   ,  5 009   ,  4 695   ,  9 704   ,  4 963   ,  4 632   ,  9 595   ,  4 966   ,  4 625   ,  9 591   ,  4 996   ,  4 643   ,  9 639   ,  5 012   ,  4 651   ,  9 663   ,  5 025   ,  4 654   ,  9 679   ,  5 037   ,  4 657   ,  9 694   ,  5 051   ,  4 663   ,  9 714   ,  5 065   ,  4 668   ,  9 733   ,  5 080   ,  4 673   ,  9 753   
