,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUBRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANZOURGOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,0,  11 683   ,  10 979   ,  22 662   ,  11 739   ,  11 019   ,  22 758   ,  11 830   ,  11 102   ,  22 932   ,  11 906   ,  11 168   ,  23 074   ,  11 969   ,  11 222   ,  23 191   ,  12 029   ,  11 270   ,  23 299   ,  12 081   ,  11 308   ,  23 389   ,  12 134   ,  11 346   ,  23 480   ,  10 629   ,  9 928   ,  20 557   ,  10 685   ,  9 968   ,  20 653   ,  10 719   ,  9 988   ,  20 707   ,  10 870   ,  10 116   ,  20 986   ,  11 027   ,  10 249   ,  21 276   ,  11 186   ,  10 385   ,  21 571   ,  11 340   ,  10 515   ,  21 855   ,  11 486   ,  10 637   ,  22 123   
,1,  11 426   ,  10 823   ,  22 249   ,  11 380   ,  10 747   ,  22 127   ,  11 445   ,  10 793   ,  22 238   ,  11 544   ,  10 880   ,  22 424   ,  11 627   ,  10 951   ,  22 578   ,  11 700   ,  11 008   ,  22 708   ,  11 760   ,  11 052   ,  22 812   ,  11 821   ,  11 096   ,  22 917   ,  10 368   ,  9 722   ,  20 090   ,  10 437   ,  9 773   ,  20 210   ,  10 486   ,  9 804   ,  20 290   ,  10 527   ,  9 829   ,  20 356   ,  10 680   ,  9 961   ,  20 641   ,  10 839   ,  10 099   ,  20 938   ,  11 000   ,  10 237   ,  21 237   ,  11 159   ,  10 371   ,  21 530   
,2,  11 060   ,  10 579   ,  21 639   ,  11 271   ,  10 723   ,  21 994   ,  11 230   ,  10 651   ,  21 881   ,  11 300   ,  10 701   ,  22 001   ,  11 403   ,  10 790   ,  22 193   ,  11 491   ,  10 862   ,  22 353   ,  11 558   ,  10 914   ,  22 472   ,  11 621   ,  10 960   ,  22 581   ,  10 198   ,  9 608   ,  19 806   ,  10 275   ,  9 666   ,  19 941   ,  10 334   ,  9 706   ,  20 040   ,  10 383   ,  9 740   ,  20 123   ,  10 427   ,  9 769   ,  20 196   ,  10 581   ,  9 903   ,  20 484   ,  10 743   ,  10 043   ,  20 786   ,  10 905   ,  10 183   ,  21 088   
,3,  10 606   ,  10 246   ,  20 852   ,  10 885   ,  10 448   ,  21 333   ,  11 096   ,  10 593   ,  21 689   ,  11 060   ,  10 522   ,  21 582   ,  11 131   ,  10 573   ,  21 704   ,  11 236   ,  10 663   ,  21 899   ,  11 317   ,  10 727   ,  22 044   ,  11 386   ,  10 779   ,  22 165   ,  9 995   ,  9 453   ,  19 448   ,  10 074   ,  9 513   ,  19 587   ,  10 137   ,  9 559   ,  19 696   ,  10 196   ,  9 599   ,  19 795   ,  10 247   ,  9 635   ,  19 882   ,  10 293   ,  9 666   ,  19 959   ,  10 447   ,  9 801   ,  20 248   ,  10 608   ,  9 940   ,  20 548   
,4,  10 171   ,  9 914   ,  20 085   ,  10 464   ,  10 133   ,  20 597   ,  10 744   ,  10 334   ,  21 078   ,  10 955   ,  10 479   ,  21 434   ,  10 922   ,  10 411   ,  21 333   ,  10 995   ,  10 462   ,  21 457   ,  11 093   ,  10 543   ,  21 636   ,  11 175   ,  10 608   ,  21 783   ,  9 819   ,  9 310   ,  19 129   ,  9 897   ,  9 370   ,  19 267   ,  9 963   ,  9 418   ,  19 381   ,  10 027   ,  9 465   ,  19 492   ,  10 086   ,  9 508   ,  19 594   ,  10 138   ,  9 545   ,  19 683   ,  10 185   ,  9 576   ,  19 761   ,  10 339   ,  9 711   ,  20 050   
,5,  9 663   ,  9 500   ,  19 163   ,  10 048   ,  9 829   ,  19 877   ,  10 340   ,  10 048   ,  20 388   ,  10 619   ,  10 248   ,  20 867   ,  10 832   ,  10 393   ,  21 225   ,  10 802   ,  10 326   ,  21 128   ,  10 868   ,  10 369   ,  21 237   ,  10 968   ,  10 450   ,  21 418   ,  9 651   ,  9 184   ,  18 835   ,  9 732   ,  9 248   ,  18 980   ,  9 799   ,  9 297   ,  19 096   ,  9 864   ,  9 346   ,  19 210   ,  9 929   ,  9 394   ,  19 323   ,  9 989   ,  9 439   ,  19 428   ,  10 042   ,  9 476   ,  19 518   ,  10 088   ,  9 508   ,  19 596   
,6,  9 225   ,  9 120   ,  18 345   ,  9 591   ,  9 461   ,  19 052   ,  9 975   ,  9 790   ,  19 765   ,  10 269   ,  10 008   ,  20 277   ,  10 548   ,  10 208   ,  20 756   ,  10 761   ,  10 353   ,  21 114   ,  10 725   ,  10 278   ,  21 003   ,  10 794   ,  10 322   ,  21 116   ,  9 513   ,  9 087   ,  18 600   ,  9 606   ,  9 162   ,  18 768   ,  9 677   ,  9 214   ,  18 891   ,  9 743   ,  9 264   ,  19 007   ,  9 809   ,  9 313   ,  19 122   ,  9 874   ,  9 362   ,  19 236   ,  9 935   ,  9 407   ,  19 342   ,  9 989   ,  9 445   ,  19 434   
,7,  8 917   ,  8 836   ,  17 753   ,  9 162   ,  9 093   ,  18 255   ,  9 528   ,  9 433   ,  18 961   ,  9 911   ,  9 762   ,  19 673   ,  10 205   ,  9 981   ,  20 186   ,  10 485   ,  10 180   ,  20 665   ,  10 690   ,  10 316   ,  21 006   ,  10 657   ,  10 243   ,  20 900   ,  9 368   ,  8 986   ,  18 354   ,  9 474   ,  9 074   ,  18 548   ,  9 556   ,  9 137   ,  18 693   ,  9 625   ,  9 190   ,  18 815   ,  9 692   ,  9 241   ,  18 933   ,  9 760   ,  9 292   ,  19 052   ,  9 825   ,  9 342   ,  19 167   ,  9 887   ,  9 386   ,  19 273   
